uniprot_a	uniprot_b	gene_a	gene_b	method	det_method	first_author	reference	mi.score	expansion_methd	role_a	role_b
uniprotkb:P36507	uniprotkb:Q02750-2	MAP2K2	MAP2K1	psi-mi:MI:0007(anti tag coimmunoprecipitation)	psi-mi:MI:0914(association)	Huttlin EL. et al.(2017)	intact:EBI-15481134|doi:10.1038/nature22366|pubmed:28514442|imex:IM-25778	intact-miscore:0.35	psi-mi:MI:1060(spoke expansion)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)
uniprotkb:P15056	uniprotkb:P01116-2	BRAF	KRAS	psi-mi:MI:0007(anti tag coimmunoprecipitation)	psi-mi:MI:0914(association)	Huttlin EL. et al.(2017)	intact:EBI-15481134|doi:10.1038/nature22366|pubmed:28514442|imex:IM-25778	intact-miscore:0.35	psi-mi:MI:1060(spoke expansion)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)
uniprotkb:Q02750	uniprotkb:H7C560	MAP2K1	BRAF	psi-mi:MI:0007(anti tag coimmunoprecipitation)	psi-mi:MI:0914(association)	Cho NH. et al.(2022)	intact:EBI-52315730|pubmed:35271311|imex:IM-30001	intact-miscore:0.35	psi-mi:MI:1060(spoke expansion)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)
uniprotkb:P15056	uniprotkb:Q02750-2	BRAF	MAP2K1	psi-mi:MI:0007(anti tag coimmunoprecipitation)	psi-mi:MI:0914(association)	Huttlin EL. et al.(2017)	intact:EBI-15481134|doi:10.1038/nature22366|pubmed:28514442|imex:IM-25778	intact-miscore:0.35	psi-mi:MI:1060(spoke expansion)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)
uniprotkb:P10398	uniprotkb:P36507	ARAF	MAP2K2	psi-mi:MI:0007(anti tag coimmunoprecipitation)	psi-mi:MI:0914(association)	So J. et al.(2015)	intact:EBI-10054708|pubmed:25852190|imex:IM-23674	intact-miscore:0.91	psi-mi:MI:1060(spoke expansion)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)
uniprotkb:P36507	uniprotkb:P10398	MAP2K2	ARAF	psi-mi:MI:0007(anti tag coimmunoprecipitation)	psi-mi:MI:0914(association)	Kennedy SA et al.(2019)	intact:EBI-22274189|pubmed:31980649|imex:IM-26434	intact-miscore:0.91	psi-mi:MI:1060(spoke expansion)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)
uniprotkb:P10398	uniprotkb:P36507	ARAF	MAP2K2	psi-mi:MI:0096(pull down)	psi-mi:MI:0914(association)	Buljan M. et al.(2020)	intact:EBI-27101182|doi:10.1016/j.molcel.2020.07.001|pubmed:32707033|imex:IM-29257	intact-miscore:0.91	psi-mi:MI:1060(spoke expansion)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)
uniprotkb:P36507	uniprotkb:P10398	MAP2K2	ARAF	psi-mi:MI:0096(pull down)	psi-mi:MI:0914(association)	Buljan M. et al.(2020)	intact:EBI-27101182|doi:10.1016/j.molcel.2020.07.001|pubmed:32707033|imex:IM-29257	intact-miscore:0.91	psi-mi:MI:1060(spoke expansion)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)
uniprotkb:P36507	uniprotkb:P10398	MAP2K2	ARAF	psi-mi:MI:0007(anti tag coimmunoprecipitation)	psi-mi:MI:0914(association)	Cho NH. et al.(2022)	intact:EBI-52315730|pubmed:35271311|imex:IM-30001	intact-miscore:0.91	psi-mi:MI:1060(spoke expansion)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)
uniprotkb:P36507	uniprotkb:P10398	MAP2K2	ARAF	psi-mi:MI:0007(anti tag coimmunoprecipitation)	psi-mi:MI:0914(association)	Lito P. et al.(2014)	intact:EBI-9549228|pubmed:24746704|imex:IM-22983	intact-miscore:0.91	psi-mi:MI:1060(spoke expansion)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)
