ERK_prey_protein	in IntAct	this study	ERK relationship in Signor	OpenCell	BioPlex	Kolch	Gstaiger
ERF	1	1	1	0	0	1	1
DUSP7	1	1	1	0	1	0	1
DUSP9	1	1	1	0	1	1	1
RPS6KA5	1	1	1	0	0	0	1
RPS6KA2	1	1	1	1	1	0	1
DUSP6	1	1	1	0	0	0	1
PARVA	1	1	1	0	0	0	1
MKNK2	1	1	1	0	1	0	1
RPS6KA3	1	1	1	0	1	1	1
RPS6KA1	1	1	1	0	1	1	1
MKNK1	1	1	1	0	1	1	0
ETV3	1	1	1	0	0	1	0
RPS6KA4	1	1	1	0	0	1	0
DUSP4	1	1	1	0	0	1	0
MRTFA	1	1	1	0	0	1	0
FGFR1	0	1	1	0	0	0	0
DUSP1	0	1	1	0	0	0	0
DUSP5	0	1	1	0	0	0	0
DUSP16	0	1	1	0	0	0	0
EIF4EBP1	0	1	1	0	0	0	0
THRB	0	1	1	0	0	0	0
TCF3	0	1	1	0	0	0	0
MAP2K2	0	1	1	0	0	0	0
GAB1	0	1	1	0	0	0	0
PEA15	0	1	1	0	0	0	0
SGK1	0	1	1	0	0	0	0
TOB1	0	1	1	0	0	0	0
ADAM17	0	1	1	0	0	0	0
