ERK_prey_protein	in IntAct	this study	ERK relationship in Signor	OpenCell	BioPlex	Kolch	Gstaiger
MAPK1	1	1	0	0	0	1	1
MAPK3	1	1	0	0	1	0	0
RBM26	1	0	0	0	0	0	0
CELF1	1	0	0	0	0	0	0
TBX3	1	0	0	0	0	0	0
TPM2	1	0	0	0	0	0	0
TIAL1	1	0	0	0	0	0	0
DYNC1I2	1	0	0	0	0	0	0
TTC9C	1	0	0	0	0	0	0
BAG6	1	0	0	0	0	0	0
HSPA7	1	0	0	0	0	1	0
UBL4A	1	0	0	0	0	0	0
IP6K3	1	0	0	0	0	0	0
APOL2	1	0	0	0	0	0	0
CSTF2T	1	0	0	0	0	0	0
TRPS1	1	1	0	0	1	0	0
HSP90AB2P	1	1	0	0	0	1	0
ERF	1	1	1	0	0	1	1
DUSP7	1	1	1	0	1	0	1
RFX7	1	0	0	0	0	0	1
ABHD14B	1	0	0	0	0	0	1
DUSP9	1	1	1	0	1	1	1
RPS6KA6	1	1	0	0	1	0	1
WDR43	1	0	0	0	0	0	0
GSE1	1	0	0	0	0	0	0
UBE2V1	1	0	0	0	0	0	0
PCF11	1	0	0	0	0	0	0
FAM83D	1	1	0	0	1	1	1
RPS6KA5	1	1	1	0	0	0	1
GRSF1	1	1	0	0	0	0	1
RPS6KA2	1	1	1	1	1	0	1
RSU1	1	1	0	0	0	0	1
DUSP6	1	1	1	0	0	0	1
TLK2	1	0	0	0	0	0	1
CHERP	1	1	0	0	0	0	1
PARVA	1	1	1	0	0	0	1
TLK1	1	0	0	0	0	0	1
DHPS	1	1	0	0	1	1	1
NUDT21	1	0	0	0	0	0	0
RBM4	1	0	0	0	0	0	0
HSPA6	1	0	0	0	0	1	0
HMMR	1	1	0	0	1	1	1
LIMS1	1	1	0	0	0	0	1
EIF5A	1	0	0	0	0	0	1
PHF3	1	0	0	0	1	0	1
KHSRP	1	0	0	0	0	0	1
TUBGCP3	1	1	0	0	0	1	1
MKNK2	1	1	1	0	1	0	1
TEK	1	0	0	0	0	0	0
ATF7IP	1	0	0	0	0	0	0
CDC37	1	1	0	0	0	1	0
ILK	1	1	0	0	0	1	1
RPS6KA3	1	1	1	0	1	1	1
CSNK2B	1	0	0	0	0	0	1
GEMIN5	1	0	0	0	0	0	0
TAF6	1	0	0	0	0	0	0
LTN1	1	0	0	0	0	0	1
RPS6KA1	1	1	1	0	1	1	1
TUBG1	1	1	0	0	0	1	1
PFN1	1	0	0	0	0	0	0
SYMPK	1	0	0	0	0	0	0
NCAPD2	1	0	0	0	0	0	1
LRPPRC	1	0	0	0	0	1	0
FKBP5	1	1	0	0	0	1	0
HTT	1	0	0	0	0	0	0
LRRK2	1	0	0	0	0	0	1
PDCD6IP	1	1	0	0	0	0	1
WDCP	1	0	0	0	0	1	0
NKAPL	1	0	0	0	0	1	0
MZT2B	1	1	0	0	0	1	0
NCCRP1	1	0	0	0	0	0	1
SCRN3	1	1	0	0	1	0	0
COBLL1	1	0	0	0	0	0	0
