bait	prey	data
HRAS	ARAF	Kim M. et al.(2021)
HRAS	RAF1	Kim M. et al.(2021)
HRAS	SDSL	Kim M. et al.(2021)
HRAS	DHRS7B	Kim M. et al.(2021)
HRAS	GPD1L	Kim M. et al.(2021)
HRAS	RGL2	Kim M. et al.(2021)
HRAS	GPAT3	Kim M. et al.(2021)
HRAS	RIN1	Kim M. et al.(2021)
HRAS	RIN2	Kim M. et al.(2021)
HRAS	DTYMK	Kim M. et al.(2021)
HRAS	XPO7	Kim M. et al.(2021)
HRAS	GBF1	Kim M. et al.(2021)
HRAS	HEATR6	Kim M. et al.(2021)
HRAS	ACAD9	Kim M. et al.(2021)
HRAS	FUBP1	Kim M. et al.(2021)
HRAS	MTHFD2	Kim M. et al.(2021)
HRAS	DNAAF5	Kim M. et al.(2021)
HRAS	TNPO3	Kim M. et al.(2021)
HRAS	MMS19	Kim M. et al.(2021)
HRAS	XPO5	Kim M. et al.(2021)
HRAS	SARS1	Kim M. et al.(2021)
HRAS	HDLBP	Kim M. et al.(2021)
HRAS	CACYBP	Kim M. et al.(2021)
HRAS	UMPS	Kim M. et al.(2021)
HRAS	DNM2	Kim M. et al.(2021)
HRAS	PDS5A	Kim M. et al.(2021)
HRAS	FANCI	Kim M. et al.(2021)
HRAS	ECPAS	Kim M. et al.(2021)
HRAS	FDFT1	Kim M. et al.(2021)
MAP2K1	BRAF	Cho NH. et al.(2022)
MAP2K2	ARAF	Cho NH. et al.(2022)
MAP2K1	ARAF	Cho NH. et al.(2022)
ARAF	RAF1	Cho NH. et al.(2022)
MAP2K1	MAP2K2	Cho NH. et al.(2022)
MAP2K2	RAF1	Cho NH. et al.(2022)
MAP2K1	RAF1	Cho NH. et al.(2022)
ARAF	YWHAH	Cho NH. et al.(2022)
MAP2K2	KSR1	Cho NH. et al.(2022)
ARAF	CDC37	Cho NH. et al.(2022)
KRAS	NRAS	Cho NH. et al.(2022)
ARAF	YWHAG	Cho NH. et al.(2022)
MAP2K2	YWHAH	Cho NH. et al.(2022)
MAP2K1	MXRA7	Cho NH. et al.(2022)
MAP2K2	YWHAG	Cho NH. et al.(2022)
MAP2K2	YWHAQ	Cho NH. et al.(2022)
ARAF	YWHAB	Cho NH. et al.(2022)
MAP2K1	KSR1	Cho NH. et al.(2022)
MAP2K2	YWHAE	Cho NH. et al.(2022)
MAP2K1	YWHAH	Cho NH. et al.(2022)
MAP2K1	HEXB	Cho NH. et al.(2022)
MAP2K2	YWHAB	Cho NH. et al.(2022)
ARAF	YWHAZ	Cho NH. et al.(2022)
MAP2K1	YWHAQ	Cho NH. et al.(2022)
MAP2K1	YWHAG	Cho NH. et al.(2022)
MAP2K1	YWHAE	Cho NH. et al.(2022)
MAP2K1	YWHAB	Cho NH. et al.(2022)
MAP2K2	YWHAZ	Cho NH. et al.(2022)
MAPK1	RAI1	Cho NH. et al.(2022)
MAPK1	TCF20	Cho NH. et al.(2022)
MAPK1	RPS6KA2	Cho NH. et al.(2022)
MAPK1	PHF14	Cho NH. et al.(2022)
MAP2K1	YWHAZ	Cho NH. et al.(2022)
RAF1	YWHAE	Cho NH. et al.(2022)
RAF1	YWHAB	Cho NH. et al.(2022)
RAF1	YWHAZ	Cho NH. et al.(2022)
KRAS	TRAPPC8	Cho NH. et al.(2022)
KRAS	ARPC1A	Cho NH. et al.(2022)
KRAS	GGCT	Cho NH. et al.(2022)
KRAS	ARL1	Cho NH. et al.(2022)
KRAS	YWHAH	Cho NH. et al.(2022)
KRAS	MARF1	Cho NH. et al.(2022)
KRAS	TRAPPC4	Cho NH. et al.(2022)
KRAS	BAIAP2	Cho NH. et al.(2022)
KRAS	MARK2	Cho NH. et al.(2022)
KRAS	ARPC1B	Cho NH. et al.(2022)
KRAS	YWHAG	Cho NH. et al.(2022)
KRAS	APPL1	Cho NH. et al.(2022)
KRAS	YWHAQ	Cho NH. et al.(2022)
KRAS	YWHAE	Cho NH. et al.(2022)
KRAS	ACTR2	Cho NH. et al.(2022)
KRAS	YWHAB	Cho NH. et al.(2022)
KRAS	YWHAZ	Cho NH. et al.(2022)
ARAF	MAP2K2	So J. et al.(2015)
ARAF	RPL39P5	So J. et al.(2015)
ARAF	BAG2	So J. et al.(2015)
ARAF	RCN2	So J. et al.(2015)
ARAF	SLC25A22	So J. et al.(2015)
ARAF	ATP5MK	So J. et al.(2015)
ARAF	DPM1	So J. et al.(2015)
ARAF	KRAS	So J. et al.(2015)
ARAF	PPP6C	So J. et al.(2015)
ARAF	SLC25A13	So J. et al.(2015)
ARAF	SLC25A1	So J. et al.(2015)
ARAF	LRRC59	So J. et al.(2015)
ARAF	KIFBP	So J. et al.(2015)
ARAF	YBX3	So J. et al.(2015)
ARAF	TIMM50	So J. et al.(2015)
ARAF	EMD	So J. et al.(2015)
ARAF	TECR	So J. et al.(2015)
ARAF	TUBB6	So J. et al.(2015)
ARAF	DNAJA2	So J. et al.(2015)
ARAF	YWHAH	So J. et al.(2015)
ARAF	RCN1	So J. et al.(2015)
ARAF	TUBA4A	So J. et al.(2015)
ARAF	DNAJA1	So J. et al.(2015)
ARAF	AIFM1	So J. et al.(2015)
ARAF	YWHAG	So J. et al.(2015)
ARAF	YWHAQ	So J. et al.(2015)
ARAF	HSPB1	So J. et al.(2015)
ARAF	CALU	So J. et al.(2015)
ARAF	STUB1	So J. et al.(2015)
ARAF	TRIM28	So J. et al.(2015)
ARAF	YWHAE	So J. et al.(2015)
ARAF	SDF4	So J. et al.(2015)
ARAF	RPL37	So J. et al.(2015)
RAF1	KRAS	So J. et al.(2015)
MAPK3	DHPS	So J. et al.(2015)
ARAF	FKBP5	So J. et al.(2015)
ARAF	YWHAB	So J. et al.(2015)
ARAF	DDX5	So J. et al.(2015)
ARAF	ACTA2	So J. et al.(2015)
ARAF	ATP5F1B	So J. et al.(2015)
ARAF	CTNNA1	So J. et al.(2015)
ARAF	YWHAZ	So J. et al.(2015)
RAF1	TIMM50	So J. et al.(2015)
RAF1	EMD	So J. et al.(2015)
RAF1	YWHAH	So J. et al.(2015)
RAF1	DNAJA1	So J. et al.(2015)
RAF1	CALU	So J. et al.(2015)
RAF1	YWHAQ	So J. et al.(2015)
RAF1	YWHAG	So J. et al.(2015)
ARAF	EEF2	So J. et al.(2015)
ARAF	HSP90B1	So J. et al.(2015)
RAF1	YWHAE	So J. et al.(2015)
RAF1	YWHAB	So J. et al.(2015)
RAF1	YWHAZ	So J. et al.(2015)
ARAF	SFN	So J. et al.(2015)
RAF1	CCT8	So J. et al.(2015)
RAF1	SFN	So J. et al.(2015)
MAP2K1	ARAF	Hein MY. et al.(2015)
MAP2K1	RAF1	Hein MY. et al.(2015)
MAP2K1	BRAF	Hein MY. et al.(2015)
MAPK3	RBM26	Hein MY. et al.(2015)
MAPK3	CELF1	Hein MY. et al.(2015)
MAPK3	TBX3	Hein MY. et al.(2015)
MAPK3	TPM2	Hein MY. et al.(2015)
MAPK3	TIAL1	Hein MY. et al.(2015)
MAPK3	DYNC1I2	Hein MY. et al.(2015)
MAPK3	TTC9C	Hein MY. et al.(2015)
MAPK3	BAG6	Hein MY. et al.(2015)
MAPK3	UBL4A	Hein MY. et al.(2015)
MAPK3	IP6K3	Hein MY. et al.(2015)
MAPK3	APOL2	Hein MY. et al.(2015)
MAPK3	CSTF2T	Hein MY. et al.(2015)
MAPK3	TRPS1	Hein MY. et al.(2015)
MAPK3	WDR43	Hein MY. et al.(2015)
MAPK3	GSE1	Hein MY. et al.(2015)
MAPK3	UBE2V1	Hein MY. et al.(2015)
MAPK3	PCF11	Hein MY. et al.(2015)
MAPK3	DHPS	Hein MY. et al.(2015)
MAPK3	NUDT21	Hein MY. et al.(2015)
MAPK3	RBM4	Hein MY. et al.(2015)
MAP2K1	ZNF277	Hein MY. et al.(2015)
MAPK3	ATF7IP	Hein MY. et al.(2015)
MAP2K1	RBM33	Hein MY. et al.(2015)
MAP2K1	KSR1	Hein MY. et al.(2015)
RAF1	ACOX1	Hein MY. et al.(2015)
MAPK3	GEMIN5	Hein MY. et al.(2015)
MAPK3	TAF6	Hein MY. et al.(2015)
MAPK3	LTN1	Hein MY. et al.(2015)
RAF1	SS18L2	Hein MY. et al.(2015)
MAPK3	PFN1	Hein MY. et al.(2015)
MAPK3	SYMPK	Hein MY. et al.(2015)
RAF1	EEF1E1	Hein MY. et al.(2015)
RAF1	PCDH7	Hein MY. et al.(2015)
RAF1	YWHAH	Hein MY. et al.(2015)
RAF1	COPS5	Hein MY. et al.(2015)
MAPK3	HTT	Hein MY. et al.(2015)
MAPK3	LGALS3	Hein MY. et al.(2015)
RAF1	CALU	Hein MY. et al.(2015)
KRAS	NCBP2AS2	Hein MY. et al.(2015)
KRAS	SORBS3	Hein MY. et al.(2015)
KRAS	PML	Hein MY. et al.(2015)
KRAS	FAM83D	Hein MY. et al.(2015)
KRAS	TEDC1	Hein MY. et al.(2015)
KRAS	TTC31	Hein MY. et al.(2015)
KRAS	COPS7B	Hein MY. et al.(2015)
KRAS	LSM11	Hein MY. et al.(2015)
KRAS	MED4	Hein MY. et al.(2015)
KRAS	FSAF1	Hein MY. et al.(2015)
KRAS	TXNL4A	Hein MY. et al.(2015)
KRAS	ABCD3	Hein MY. et al.(2015)
KRAS	GATAD2A	Hein MY. et al.(2015)
KRAS	NUP107	Hein MY. et al.(2015)
KRAS	GOLIM4	Hein MY. et al.(2015)
KRAS	RPS29	Hein MY. et al.(2015)
NRAS	ARAF	Swaney DL. et al.(2021)
NRAS	MAP2K2	Swaney DL. et al.(2021)
NRAS	RAF1	Swaney DL. et al.(2021)
NRAS	BRAF	Swaney DL. et al.(2021)
HRAS	ARAF	Swaney DL. et al.(2021)
HRAS	RAF1	Swaney DL. et al.(2021)
HRAS	BRAF	Swaney DL. et al.(2021)
NRAS	COQ8B	Swaney DL. et al.(2021)
NRAS	RIN1	Swaney DL. et al.(2021)
NRAS	RGL2	Swaney DL. et al.(2021)
NRAS	GCN1	Swaney DL. et al.(2021)
NRAS	LETMD1	Swaney DL. et al.(2021)
NRAS	EXD2	Swaney DL. et al.(2021)
NRAS	TRABD	Swaney DL. et al.(2021)
NRAS	RMDN1	Swaney DL. et al.(2021)
NRAS	RDH13	Swaney DL. et al.(2021)
NRAS	MPP7	Swaney DL. et al.(2021)
NRAS	SAR1A	Swaney DL. et al.(2021)
NRAS	ANXA7	Swaney DL. et al.(2021)
NRAS	MICU1	Swaney DL. et al.(2021)
NRAS	OMA1	Swaney DL. et al.(2021)
NRAS	RIN2	Swaney DL. et al.(2021)
NRAS	ANXA11	Swaney DL. et al.(2021)
NRAS	SOAT1	Swaney DL. et al.(2021)
NRAS	PXN	Swaney DL. et al.(2021)
NRAS	MTHFD2	Swaney DL. et al.(2021)
NRAS	STEAP3	Swaney DL. et al.(2021)
MAPK1	RPS6KA2	Swaney DL. et al.(2021)
MAPK1	ERF	Swaney DL. et al.(2021)
MAPK1	COBLL1	Swaney DL. et al.(2021)
MAPK1	DHPS	Swaney DL. et al.(2021)
MAPK1	RPS6KA3	Swaney DL. et al.(2021)
MAPK1	PHF3	Swaney DL. et al.(2021)
MAPK1	FADD	Swaney DL. et al.(2021)
NRAS	MTOR	Swaney DL. et al.(2021)
HRAS	RGL2	Swaney DL. et al.(2021)
HRAS	RGL3	Swaney DL. et al.(2021)
HRAS	HSDL2	Swaney DL. et al.(2021)
MAPK1	RPS6KA1	Swaney DL. et al.(2021)
MAPK1	SMCHD1	Swaney DL. et al.(2021)
HRAS	RIN1	Swaney DL. et al.(2021)
HRAS	SMTN	Swaney DL. et al.(2021)
HRAS	SAR1A	Swaney DL. et al.(2021)
HRAS	PITPNB	Swaney DL. et al.(2021)
HRAS	DBN1	Swaney DL. et al.(2021)
HRAS	LAMA3	Swaney DL. et al.(2021)
HRAS	FAM83H	Swaney DL. et al.(2021)
HRAS	RMDN1	Swaney DL. et al.(2021)
HRAS	SUGT1	Swaney DL. et al.(2021)
HRAS	FUBP3	Swaney DL. et al.(2021)
HRAS	MORC3	Swaney DL. et al.(2021)
HRAS	UPP1	Swaney DL. et al.(2021)
HRAS	LAMC2	Swaney DL. et al.(2021)
HRAS	H1-0	Swaney DL. et al.(2021)
HRAS	GLYR1	Swaney DL. et al.(2021)
HRAS	AFDN	Swaney DL. et al.(2021)
HRAS	SOAT1	Swaney DL. et al.(2021)
HRAS	SCP2	Swaney DL. et al.(2021)
HRAS	MTHFD2	Swaney DL. et al.(2021)
HRAS	ANXA7	Swaney DL. et al.(2021)
HRAS	PXN	Swaney DL. et al.(2021)
HRAS	DIS3	Swaney DL. et al.(2021)
HRAS	WDR75	Swaney DL. et al.(2021)
HRAS	ANLN	Swaney DL. et al.(2021)
HRAS	LAMB3	Swaney DL. et al.(2021)
MAPK1	MET	Swaney DL. et al.(2021)
HRAS	MYH10	Swaney DL. et al.(2021)
HRAS	MYO1E	Swaney DL. et al.(2021)
HRAS	GARS1	Swaney DL. et al.(2021)
HRAS	EHD1	Swaney DL. et al.(2021)
HRAS	RPL34	Swaney DL. et al.(2021)
HRAS	RPL36	Swaney DL. et al.(2021)
HRAS	RRM1	Swaney DL. et al.(2021)
HRAS	H1-5	Swaney DL. et al.(2021)
HRAS	MET	Swaney DL. et al.(2021)
HRAS	RPL7	Swaney DL. et al.(2021)
HRAS	RPL3	Swaney DL. et al.(2021)
HRAS	RPL4	Swaney DL. et al.(2021)
HRAS	PLEC	Swaney DL. et al.(2021)
MAP2K2	MAP2K1	Huttlin EL. et al.(2021)
BRAF	ARAF	Huttlin EL. et al.(2021)
BRAF	MAP2K2	Huttlin EL. et al.(2021)
BRAF	MAP2K1	Huttlin EL. et al.(2021)
MAPK1	MAPK3	Huttlin EL. et al.(2021)
BRAF	RAF1	Huttlin EL. et al.(2021)
ARAF	APOD	Huttlin EL. et al.(2021)
MAP2K2	HSP90AB4P	Huttlin EL. et al.(2021)
MAP2K2	HSP90AA5P	Huttlin EL. et al.(2021)
MAP2K2	HSP90AA4P	Huttlin EL. et al.(2021)
MAP2K2	EXPH5	Huttlin EL. et al.(2021)
MAP2K2	DMWD	Huttlin EL. et al.(2021)
ARAF	MAP1A	Huttlin EL. et al.(2021)
MAP2K2	ARMCX5	Huttlin EL. et al.(2021)
MAP2K2	CLN6	Huttlin EL. et al.(2021)
MAP2K2	ERF	Huttlin EL. et al.(2021)
MAP2K2	NPRL3	Huttlin EL. et al.(2021)
MAP2K2	FAM91A1	Huttlin EL. et al.(2021)
MAP2K2	HEATR6	Huttlin EL. et al.(2021)
MAP2K2	WDR59	Huttlin EL. et al.(2021)
MAP2K2	FAM83H	Huttlin EL. et al.(2021)
MAP2K2	DNAJB14	Huttlin EL. et al.(2021)
MAP2K2	PISD	Huttlin EL. et al.(2021)
MAP2K2	BAG5	Huttlin EL. et al.(2021)
MAP2K2	PALD1	Huttlin EL. et al.(2021)
MAP2K2	PPIP5K1	Huttlin EL. et al.(2021)
MAP2K2	FAM83D	Huttlin EL. et al.(2021)
MAP2K2	PANK4	Huttlin EL. et al.(2021)
MAP2K2	EDRF1	Huttlin EL. et al.(2021)
MAP2K2	TRAF7	Huttlin EL. et al.(2021)
MAP2K2	HAUS6	Huttlin EL. et al.(2021)
MAP2K2	BBS7	Huttlin EL. et al.(2021)
MAP2K2	RHOT1	Huttlin EL. et al.(2021)
MAP2K2	NEDD1	Huttlin EL. et al.(2021)
MAP2K2	KIFBP	Huttlin EL. et al.(2021)
MAP2K2	DYNC2I2	Huttlin EL. et al.(2021)
MAP2K2	DNAJA3	Huttlin EL. et al.(2021)
MAP2K2	TUBA1C	Huttlin EL. et al.(2021)
MAP2K2	BBS2	Huttlin EL. et al.(2021)
MAP2K2	NRBP1	Huttlin EL. et al.(2021)
BRAF	HRAS	Huttlin EL. et al.(2021)
MAP2K2	BAG3	Huttlin EL. et al.(2021)
MAP2K2	CEP170	Huttlin EL. et al.(2021)
MAP2K2	SHKBP1	Huttlin EL. et al.(2021)
MAP2K2	HPS3	Huttlin EL. et al.(2021)
MAP2K2	PASK	Huttlin EL. et al.(2021)
MAP2K2	EIF2A	Huttlin EL. et al.(2021)
