KrasWT	KrasS17N	KrasG12V	KrasG12D	NrasWT	NrasS17N	NrasQ61K	NrasQ61R	HrasWT	HrasS17N	HrasG13R	HrasQ61R	ArafWT	ArafD447A	ArafS214P	BrafWT	BrafD594N	BrafG469A	BrafV600E	Raf1WT	Raf1D486A	Raf1S257L	Raf1S259F	MEK1WT	MEK1AA	MEK1DD	MEK2WT	MEK2AA	MEK2DD	ERK1WT	ERK1AA	ERK1DD	ERK2WT	ERK2AA	ERK2DD
KrasWT	NA	0.744	0.805	0.768	0.217	0.051	0.111	0.085	0.3	0.024	0.122	0.178	0.037	0.012	0.024	0.023	0.042	0.024	0.037	0.053	0.049	0.122	0.122	0.04	0.061	0.037	0.045	0.038	0.122	0	0	0	0.012	0	0
KrasS17N	0.744	NA	0.843	0.819	0.087	0.077	0.044	0.048	0.233	0.036	0.072	0.089	0.048	0.024	0.048	0	0.014	0	0	0.053	0.048	0.12	0.108	0	0.03	0	0	0	0.084	0	0	0	0.024	0	0
KrasG12V	0.805	0.843	NA	0.883	0.304	0.051	0.444	0.233	0.3	0.019	0.277	0.489	0.155	0.107	0.126	0.209	0.167	0.087	0.097	0.184	0.149	0.214	0.194	0.16	0.121	0.107	0.25	0.212	0.165	0.011	0.02	0.017	0.029	0.015	0.042
KrasG12D	0.768	0.819	0.883	NA	0.348	0.077	0.467	0.252	0.333	0.047	0.313	0.556	0.14	0.093	0.131	0.233	0.181	0.093	0.093	0.184	0.149	0.206	0.187	0.2	0.152	0.112	0.25	0.231	0.178	0.022	0.041	0.034	0.019	0.03	0.042
NrasWT	0.217	0.087	0.304	0.348	NA	0.348	0.435	0.522	0.391	0.174	0.304	0.304	0.174	0.043	0.217	0.043	0.13	0.043	0.13	0.087	0.261	0.13	0.13	0.174	0.087	0.217	0.174	0.217	0.13	0.13	0.043	0.13	0	0.087	0.043
NrasS17N	0.051	0.077	0.051	0.077	0.348	NA	0.231	0.564	0.2	0.564	0.179	0.077	0.051	0	0.051	0.051	0.077	0.077	0.154	0.026	0.128	0.128	0.205	0.04	0.03	0.128	0.051	0.103	0.077	0.179	0.154	0.256	0.026	0.179	0.208
NrasQ61K	0.111	0.044	0.444	0.467	0.435	0.231	NA	0.756	0.2	0.222	0.622	0.6	0.267	0.178	0.178	0.233	0.244	0.222	0.289	0.178	0.244	0.244	0.356	0.16	0.061	0.267	0.205	0.267	0.289	0.044	0.044	0.067	0.022	0.2	0.125
NrasQ61R	0.085	0.048	0.233	0.252	0.522	0.564	0.756	NA	0.333	0.364	0.422	0.733	0.098	0.062	0.044	0.233	0.194	0.117	0.156	0.171	0.158	0.115	0.12	0.16	0.091	0.129	0.25	0.231	0.137	0.124	0.163	0.203	0.049	0.239	0.292
HrasWT	0.3	0.233	0.3	0.333	0.391	0.2	0.2	0.333	NA	0.267	0.433	0.333	0.133	0.033	0.1	0.033	0.1	0.1	0.1	0.167	0.2	0.2	0.267	0.12	0.067	0.167	0.033	0.067	0.133	0.067	0.033	0.067	0.033	0.167	0
HrasS17N	0.024	0.036	0.019	0.047	0.174	0.564	0.222	0.364	0.267	NA	0.133	0.111	0.084	0.009	0.037	0.093	0.056	0.075	0.112	0.039	0.079	0.112	0.121	0.12	0.03	0.093	0.023	0.038	0.047	0.112	0.122	0.186	0.019	0.313	0.333
