KrasWT	KrasS17N	KrasG12V	KrasG12D	NrasWT	NrasS17N	NrasQ61K	NrasQ61R	HrasWT	HrasS17N	HrasG13R	HrasQ61R	ArafWT	ArafD447A	ArafS214P	BrafWT	BrafD594N	BrafG469A	BrafV600E	Raf1WT	Raf1D486A	Raf1S257L	Raf1S259F	MEK1WT	MEK1AA	MEK1DD	MEK2WT	MEK2AA	MEK2DD	ERK1WT	ERK1AA	ERK1DD	ERK2WT	ERK2AA	ERK2DD
KrasWT	NA	0.554	0.434	0.54	0.19	0.05	0.148	0.087	0.186	0.083	0.064	0.07	0.062	0.029	0.025	0.079	0.072	0.153	0.083	0.082	0.045	0.07	0.089	0.012	0	0.071	0.051	0.014	0.025	0	0	0	0	0.035	0.057
KrasS17N	0.554	NA	0.663	0.598	0.048	0.033	0.049	0.098	0.093	0.109	0.043	0.054	0.065	0.011	0.011	0.033	0.012	0.076	0.043	0.022	0.033	0.022	0.076	0	0	0.022	0	0	0	0	0	0	0	0.022	0.014
KrasG12V	0.434	0.663	NA	0.7	0.119	0.05	0.173	0.186	0.186	0.088	0.124	0.133	0.071	0.009	0.035	0.044	0.048	0.08	0.044	0.031	0.044	0.035	0.08	0.012	0.023	0.044	0.034	0.018	0.027	0	0	0	0	0	0.014
KrasG12D	0.54	0.598	0.7	NA	0.119	0.033	0.185	0.22	0.186	0.08	0.14	0.14	0.06	0.02	0.03	0.06	0.048	0.08	0.05	0.041	0.02	0.03	0.07	0.023	0.045	0.05	0.051	0.02	0.03	0	0	0	0	0	0.014
NrasWT	0.19	0.048	0.119	0.119	NA	0.357	0.452	0.333	0.381	0.571	0.333	0.429	0.429	0.286	0.405	0.714	0.524	0.619	0.524	0.738	0.357	0.595	0.476	0.381	0.167	0.476	0.262	0.238	0.286	0.071	0.119	0.143	0.119	0.357	0.429
NrasS17N	0.05	0.033	0.05	0.033	0.357	NA	0.483	0.3	0.256	0.617	0.433	0.433	0.283	0.3	0.283	0.55	0.4	0.3	0.317	0.367	0.55	0.55	0.383	0.267	0.318	0.217	0.203	0.117	0.183	0.1	0.193	0.217	0.117	0.583	0.433
NrasQ61K	0.148	0.049	0.173	0.185	0.452	0.483	NA	0.469	0.442	0.383	0.519	0.506	0.284	0.333	0.272	0.494	0.333	0.272	0.37	0.346	0.346	0.556	0.444	0.247	0.273	0.247	0.288	0.136	0.235	0.053	0.211	0.162	0.123	0.469	0.314
NrasQ61R	0.087	0.098	0.186	0.22	0.333	0.3	0.469	NA	0.302	0.252	0.22	0.252	0.15	0.102	0.079	0.167	0.133	0.087	0.126	0.112	0.094	0.197	0.181	0.151	0.159	0.071	0.136	0.055	0.142	0.093	0.175	0.147	0.065	0.209	0.129
HrasWT	0.186	0.093	0.186	0.186	0.381	0.256	0.442	0.302	NA	0.302	0.605	0.535	0.209	0.14	0.372	0.442	0.349	0.302	0.372	0.349	0.279	0.372	0.302	0.349	0.163	0.279	0.349	0.279	0.349	0.14	0.07	0.163	0.186	0.279	0.186
HrasS17N	0.083	0.109	0.088	0.08	0.571	0.617	0.383	0.252	0.302	NA	0.154	0.175	0.287	0.122	0.081	0.316	0.265	0.234	0.183	0.276	0.166	0.286	0.286	0.174	0.182	0.161	0.169	0.043	0.063	0.08	0.123	0.191	0.04	0.348	0.286
HrasG13R	0.064	0.043	0.124	0.14	0.333	0.433	0.519	0.22	0.605	0.154	NA	0.573	0.132	0.201	0.326	0.342	0.301	0.222	0.216	0.163	0.318	0.261	0.239	0.256	0.364	0.135	0.288	0.114	0.205	0.107	0.193	0.132	0.137	0.287	0.243
HrasQ61R	0.07	0.054	0.133	0.14	0.429	0.433	0.506	0.252	0.535	0.175	0.573	NA	0.194	0.216	0.315	0.404	0.325	0.203	0.224	0.204	0.385	0.287	0.224	0.233	0.386	0.133	0.271	0.1	0.133	0.093	0.193	0.132	0.113	0.209	0.243
ArafWT	0.062	0.065	0.071	0.06	0.429	0.283	0.284	0.15	0.209	0.287	0.132	0.194	NA	0.473	0.302	0.404	0.325	0.209	0.209	0.418	0.302	0.395	0.481	0.186	0.159	0.171	0.203	0.085	0.132	0.08	0.123	0.118	0.073	0.191	0.214
ArafD447A	0.029	0.011	0.009	0.02	0.286	0.3	0.333	0.102	0.14	0.122	0.201	0.216	0.473	NA	0.403	0.474	0.41	0.273	0.381	0.439	0.446	0.403	0.388	0.198	0.318	0.151	0.254	0.086	0.144	0.067	0.246	0.118	0.113	0.261	0.257
