protein	preys	known	method	node	Label
BRAF	200	14.5	AP-MS	RAF	BRAF
BRAF	477	6.70859538784067	TbID	RAF	BRAF
KRAS	141	15.6028368794326	AP-MS	RAS	KRAS
KRAS	247	10.5263157894737	TbID	RAS	KRAS
ERK2	147	23.1292517006803	AP-MS	ERK	ERK2
ERK2	207	11.5942028985507	TbID	ERK	ERK2
NRAS	220	9.09090909090909	AP-MS	RAS	NRAS
NRAS	214	9.81308411214953	TbID	RAS	NRAS
ARAF	362	11.0497237569061	AP-MS	RAF	ARAF
ARAF	314	5.09554140127389	TbID	RAF	ARAF
ERK1	126	25.3968253968254	AP-MS	ERK	ERK1
ERK1	113	14.1592920353982	TbID	ERK	ERK1
RAF1	337	13.946587537092	AP-MS	RAF	RAF1
RAF1	530	5.66037735849057	TbID	RAF	RAF1
MEK1	148	10.8108108108108	AP-MS	MEK	MEK1
MEK1	239	2.51046025104602	TbID	MEK	MEK1
HRAS	199	12.5628140703518	AP-MS	RAS	HRAS
HRAS	393	9.16030534351145	TbID	RAS	HRAS
MEK2	356	10.3932584269663	AP-MS	MEK	MEK2
MEK2	475	3.36842105263158	TbID	MEK	MEK2
