GENE.NAMES	set_WT	set_Inactive	set_Active
ABHD17C	ERK1	missing	missing
ABHD3	missing	ERK2	missing
ACTL8	missing	ERK2	missing
ADAM17	ERK2	ERK2	missing
ADGRL1	common	ERK2	ERK1
ADGRL2	common	missing	missing
ADGRL3	common	missing	ERK1
ADRM1	missing	ERK2	missing
AEN	missing	ERK1	missing
AGO1	ERK2	missing	missing
AGO2	ERK2	ERK2	missing
AGO3	ERK2	missing	missing
AMOT	missing	missing	ERK1
ANKRD10	ERK1	missing	missing
ANKRD34A	common	common	common
ANO8	ERK2	missing	ERK2
ARC	ERK2	missing	missing
ARHGAP29	ERK2	missing	missing
ARHGAP31	common	missing	ERK1
ARHGEF26	common	common	ERK1
ARL6IP1	missing	missing	ERK2
ARRDC4	ERK1	missing	missing
ASPM	missing	common	ERK2
ATXN7	ERK1	missing	ERK1
ATXN7L1	ERK2	missing	common
ATXN7L2	ERK1	ERK1	ERK1
ATXN7L3	ERK1	missing	ERK1
AUNIP	ERK2	missing	missing
B3GALT1	missing	missing	ERK1
BACH1	ERK2	missing	missing
BCL2L11	missing	ERK1	missing
BCL7C	missing	ERK1	missing
BEND4	missing	missing	ERK1
BMP8B;BMP8A	ERK1	missing	missing
BTBD6	ERK2	common	common
C12orf56	missing	missing	ERK2
C15orf39	common	missing	missing
C4A;C4B	missing	ERK2	common
CAMSAP2	common	missing	missing
CCAR2	ERK2	missing	missing
CCDC138	common	ERK2	missing
CCP110	ERK1	missing	missing
CDC123	ERK2	missing	missing
CDC37	common	common	common
CDC42EP3	ERK2	missing	missing
CDCA3	ERK2	missing	missing
CDKN1A	missing	ERK1	missing
CDKN2AIP	missing	ERK1	missing
CEMIP	ERK1	missing	missing
CENPI	ERK2	ERK2	ERK2
CFAP119	missing	ERK1	missing
CFL2	missing	ERK2	missing
CFLAR	missing	missing	ERK1
CHAF1A	ERK2	missing	missing
CHAF1B	ERK2	missing	missing
CHAMP1	missing	ERK2	missing
CHD8	missing	ERK2	missing
CHERP	common	missing	missing
CHGA	missing	ERK2	missing
CHST7	missing	missing	ERK1
CKAP2	common	missing	missing
CKAP2L	missing	ERK2	missing
CLSPN	ERK2	ERK2	missing
CNOT4	ERK2	missing	missing
COPRS	ERK2	missing	missing
CORO2A	missing	ERK2	missing
CPTP	missing	missing	ERK2
CRIP2	missing	ERK2	missing
CRMP1	common	common	common
CSPG4	ERK1	ERK2	missing
CSRP1	ERK1	common	ERK1
CTBP2	ERK2	missing	missing
CTDSP1	ERK1	missing	ERK1
CYBA	missing	missing	ERK2
CYP2S1	missing	ERK2	missing
DACH2	ERK1	ERK1	missing
DCAF8L1;DCAF8L2	ERK2	missing	missing
DCLK1	ERK1	missing	ERK2
DEPTOR	missing	missing	common
DERPC	missing	ERK2	missing
DHCR24	missing	ERK2	missing
DHFR2	ERK1	missing	missing
DHPS	common	missing	missing
DIAPH3	ERK2	missing	missing
DMTN	missing	missing	ERK2
DNAJC18	missing	ERK2	missing
DNAJC22	missing	ERK2	missing
DNAJC30	missing	missing	ERK2
DNAJC5	missing	missing	ERK2
DNMT3B	missing	ERK2	missing
DNTTIP1	common	ERK2	ERK1
DPF3	missing	ERK2	missing
DPYSL4	ERK1	missing	ERK1
DUSP1	ERK2	ERK2	missing
DUSP16	ERK2	ERK2	missing
DUSP4	ERK2	missing	missing
DUSP5	ERK2	missing	missing
DUSP6	common	missing	missing
DUSP7	common	common	common
DUSP9	common	common	common
ECHDC1	ERK2	missing	missing
EDIL3	missing	ERK1	missing
EEF1B2	ERK2	ERK2	missing
EEF1D	missing	ERK2	missing
EEF1G	missing	ERK2	missing
EIF4EBP1	ERK1	missing	missing
EIF4EBP2	missing	ERK2	missing
EMILIN2	missing	ERK2	missing
EMILIN3	missing	missing	ERK2
EMX1	missing	ERK2	ERK2
ENAH	missing	missing	ERK1
ENGASE	ERK1	ERK1	ERK1
EPB41L3	missing	ERK1	missing
EPB41L4B	missing	missing	ERK2
ERF	common	common	common
ERICH1	ERK1	missing	missing
ERRFI1	ERK2	missing	missing
ETV3	common	common	common
EYA3	common	missing	missing
F5	missing	common	missing
FADS2	missing	ERK2	ERK2
FAM83D	common	common	common
FBH1	ERK2	ERK2	common
FBRS	ERK2	missing	missing
FBXL14	missing	missing	ERK1
FGFR1	ERK2	missing	missing
FIGN	ERK2	missing	missing
FKBP5	common	common	ERK1
FLYWCH2	ERK1	missing	ERK1
FNDC10	missing	ERK2	common
FOXG1	missing	ERK2	missing
FOXN3	ERK1	missing	ERK1
FOXRED2	missing	ERK2	ERK2
FRAT2	ERK1	ERK1	ERK1
FRMD4A	ERK2	missing	missing
FRS2	common	common	ERK1
FRS3	ERK2	common	common
FSCN1	missing	ERK2	missing
GAB1	common	common	ERK1
GABRB3	missing	ERK2	ERK2
GATD1	missing	missing	ERK2
GDAP1L1	missing	common	missing
GDF15	missing	ERK2	missing
GPAM	missing	ERK2	ERK2
GPC6	missing	common	missing
GPR176	missing	ERK1	missing
GRIP1	common	missing	missing
GRSF1	common	missing	missing
GTSE1	ERK2	missing	missing
GUCD1	missing	missing	ERK2
H1-3	missing	ERK1	missing
H2BC12;H2BC5;H2BC4;H2BC18;H2BC9;H2BC15;H2BC14;H2BC13	missing	ERK1	missing
HCN4	ERK1	common	common
HIVEP1	common	common	common
HMGN2	missing	ERK2	missing
HMMR	common	common	common
HPS4	ERK2	missing	missing
HSP90AA1	common	common	ERK1
HSP90AA4P	common	ERK1	ERK1
HSP90AA5P	ERK2	missing	missing
HSP90AB1	common	ERK1	missing
HSP90AB2P	ERK1	missing	missing
HSP90AB3P	missing	ERK1	missing
HSP90AB4P	common	common	missing
ID3	ERK2	ERK2	ERK1
IFI16	missing	missing	ERK1
ILK	common	ERK2	ERK1
IPP	common	ERK2	ERK1
IRS2	ERK1	ERK1	ERK1
ITPKC	ERK1	missing	missing
KATNAL1	ERK2	missing	missing
KATNIP	ERK2	missing	missing
KCTD10	missing	ERK2	ERK2
KCTD12	missing	ERK2	missing
KCTD20	ERK2	missing	missing
KDM8	ERK2	missing	missing
KIAA1191	missing	missing	ERK2
KIDINS220	ERK2	missing	missing
KIF14	missing	ERK2	missing
KIF16B	common	ERK2	missing
KIF7	ERK2	missing	missing
KLHL15	missing	ERK2	missing
KMT5A	missing	common	missing
L3MBTL2	missing	ERK1	missing
LCP1	missing	ERK2	missing
LEMD2	ERK2	missing	missing
LEMD3	ERK2	missing	missing
LGALS3BP	missing	missing	ERK2
LHX4	ERK2	missing	missing
LIMS1	common	ERK2	ERK1
LMBRD2	ERK2	missing	missing
LMO1	ERK2	missing	missing
LONP1	ERK1	missing	missing
LSAMP	common	common	common
LTBP4	missing	missing	ERK1
LZTS2	missing	ERK2	missing
LZTS3	missing	ERK1	missing
MAP2K2	common	common	common
MAPK1	common	common	common
MAPK3	ERK1	ERK1	ERK1
MAPK4	ERK1	missing	missing
MAPK8	missing	missing	ERK1
MCTP2	missing	ERK2	missing
MED12L	missing	ERK2	missing
MEF2A	missing	missing	ERK1
MEST	ERK1	ERK2	common
MIDEAS	common	common	ERK1
MKNK1	common	ERK2	ERK1
MKNK2	common	common	common
MPLKIP	missing	missing	ERK2
MRTFA	ERK2	missing	missing
MRTFB	common	common	common
MSANTD7	missing	ERK2	missing
MYH9	ERK2	missing	missing
MYPN	missing	ERK1	missing
MZT1	common	missing	missing
MZT2B	common	missing	missing
N4BP3	missing	common	missing
NCKAP5L	common	ERK2	missing
NDRG2	missing	ERK2	missing
NECAP1	ERK2	missing	missing
NEDD1	ERK1	missing	missing
NEFL	missing	ERK2	missing
NEK3	ERK2	missing	missing
NELFA	ERK1	ERK1	ERK1
NEO1	common	ERK1	ERK1
NFE2L1	ERK2	missing	missing
NKAPL	missing	missing	ERK1
NLGN4Y	ERK2	ERK2	missing
NOTCH1	common	missing	missing
NOTCH3	missing	ERK2	missing
NOVA2	missing	missing	ERK2
NTS	missing	ERK2	missing
NUDT8	missing	missing	ERK1
NUP58	ERK2	missing	missing
OCIAD2	common	missing	missing
OGFR	ERK1	missing	missing
ORMDL2	missing	ERK2	ERK2
OS9	missing	ERK2	missing
OTUD5	ERK2	missing	missing
PAIP2	ERK2	missing	missing
PALMD	ERK2	missing	missing
PARD3B	missing	ERK1	missing
PARVA	common	ERK2	ERK1
PARVB	common	ERK2	missing
PBDC1	missing	ERK2	missing
PCDH10	missing	missing	ERK1
PCDH19	common	missing	missing
PCLAF	ERK2	missing	ERK2
PCNT	missing	ERK2	missing
PDCD4	missing	missing	ERK1
PDCD6IP	common	missing	missing
PEA15	common	common	common
PEDS1	missing	ERK2	missing
PEG10	ERK2	missing	missing
PHYH	missing	missing	ERK1
PIGW	missing	missing	ERK2
PIK3R3	common	missing	missing
PINX1	common	missing	ERK1
PKHD1L1	ERK2	missing	ERK2
PKM	missing	ERK2	missing
PLEKHN1	missing	ERK2	missing
PNMA1	missing	missing	ERK2
PNMA2	ERK2	missing	missing
POM121	ERK2	ERK2	missing
PPM1L	common	common	common
PPP2R1B	missing	ERK2	missing
PRCC	ERK2	missing	missing
PRMT2	missing	ERK2	missing
PRPF39	ERK1	missing	ERK1
PRRC2B	ERK2	common	missing
PSMA6	missing	ERK2	missing
PSMB5	missing	ERK2	missing
PSMC2	ERK2	missing	missing
PSMC5	ERK2	ERK2	missing
PSMD3	ERK2	missing	missing
PTPDC1	common	common	common
PTPRZ1	common	ERK2	common
RAB32	missing	missing	ERK2
RAC2	missing	ERK2	missing
RAI2	common	ERK1	common
RAP1GAP	common	common	missing
RAP1GAP2	missing	ERK2	missing
RAVER1	ERK2	missing	missing
RCOR2	missing	missing	ERK2
RHBDF1	ERK2	missing	missing
RHBDF2	common	ERK2	missing
RP9	missing	common	ERK2
RPA1	missing	common	common
RPA2	missing	ERK2	common
RPA3	missing	ERK2	common
RPS6KA1	common	common	common
RPS6KA2	common	common	common
RPS6KA3	common	common	common
RPS6KA4	common	missing	ERK1
RPS6KA5	common	common	common
RPS6KA6	common	common	common
RSU1	common	ERK2	ERK1
RTKN2	ERK2	missing	missing
SAYSD1	ERK1	missing	missing
SC5D	missing	ERK2	missing
SCARF2	ERK1	missing	missing
SCML1	ERK1	missing	ERK2
SCRN3	common	ERK2	ERK2
SDC1	missing	ERK1	missing
SDC2	missing	ERK1	missing
SEC13	ERK2	missing	missing
SEC16A	ERK2	ERK2	missing
SELENOK	ERK2	missing	missing
SENP6	ERK2	missing	missing
SERF2	missing	common	ERK2
SERINC1	ERK2	ERK2	missing
SESN3	missing	missing	ERK2
SFRP5	missing	ERK2	ERK2
SGK1	ERK2	ERK2	missing
SHANK3	ERK1	missing	missing
SIVA1	ERK2	missing	missing
SKOR2	missing	missing	ERK2
SLC16A7	ERK1	ERK2	common
SLC1A1	missing	missing	ERK1
SLC22A23	ERK1	missing	missing
SLC30A4	ERK2	missing	missing
SLIT2	missing	common	ERK2
SLITRK5	missing	ERK2	missing
SMARCC1	missing	ERK1	missing
SOD1	ERK1	missing	missing
SOWAHB	ERK2	ERK2	ERK2
SOX7	common	common	common
SPART	ERK2	missing	missing
SPRED1	ERK2	missing	missing
SPRED2	common	missing	missing
SPRYD3	ERK2	missing	missing
SPRYD4	missing	ERK2	missing
ST6GAL1	missing	missing	ERK1
STMN3	common	ERK1	ERK1
STRA6	missing	ERK2	missing
SULT1C4	missing	ERK2	missing
SULT2A1	missing	ERK2	missing
SUPT20H	common	common	common
SUPT3H	ERK1	missing	ERK1
SUPT7L	ERK1	missing	ERK1
SUSD5	missing	ERK2	missing
SYDE2	ERK2	missing	missing
SYNPO	missing	ERK2	missing
SYT14	ERK2	missing	missing
SYT6	missing	ERK2	missing
TADA1	ERK1	missing	ERK1
TADA2B	missing	missing	ERK1
TAF5L	ERK1	missing	ERK1
TAF7	ERK2	missing	missing
TAF9B	missing	missing	ERK1
TAGLN	missing	ERK1	missing
TCF3	common	missing	missing
TCTN3	missing	ERK1	ERK1
TDRP	common	missing	missing
TFPI2	missing	ERK2	ERK2
TGFB1	missing	missing	common
THBS1	missing	common	missing
THRB	ERK1	missing	missing
TIMP1	common	ERK2	ERK1
TMEFF2	missing	ERK1	ERK2
TMEM201	ERK2	missing	missing
TMEM33	common	missing	missing
TNFAIP1	missing	missing	ERK2
TNRC6A	common	missing	missing
TNRC6B	ERK2	missing	missing
TNRC6C	ERK2	missing	missing
TOB1	ERK2	missing	missing
TOB2	ERK2	missing	missing
TP73	ERK2	ERK2	missing
TRERF1	common	ERK2	missing
TRIB1	missing	ERK1	missing
TRIP12	ERK2	missing	missing
TRPS1	common	missing	ERK1
TTLL4	ERK2	missing	missing
TUBG1	common	missing	missing
TUBG2	common	missing	missing
TUBGCP2	common	missing	missing
TUBGCP3	common	missing	missing
TUBGCP4	common	missing	missing
TUBGCP5	common	missing	missing
TUBGCP6	common	missing	missing
TUG1	missing	ERK2	ERK2
UBAC2	missing	ERK2	missing
UBAP2	ERK2	missing	missing
UBL5	ERK2	ERK1	ERK2
UBR5	ERK2	missing	missing
UCHL3	common	common	common
USP24	ERK2	missing	missing
USP4	missing	missing	ERK1
USP47	ERK2	missing	missing
USPL1	ERK2	missing	missing
VGF	missing	ERK1	missing
WASH3P	ERK1	missing	ERK1
WASH6P	ERK1	missing	ERK1
WDR87	missing	missing	ERK1
WRNIP1	ERK2	missing	missing
WWTR1	ERK2	ERK2	missing
XPNPEP3	ERK1	missing	missing
XPR1	ERK2	missing	missing
YAP1	ERK2	ERK2	missing
YY1AP1	ERK2	missing	missing
ZBED1	ERK2	missing	missing
ZBTB21	common	missing	missing
ZCCHC12	common	missing	ERK1
ZCCHC2	ERK2	missing	missing
ZFP1	ERK2	missing	missing
ZFYVE16	ERK2	ERK2	missing
ZMAT2	ERK2	missing	missing
ZNF256	missing	ERK1	missing
ZNF318	common	missing	ERK1
ZNF395	ERK1	ERK1	ERK1
ZXDC	common	ERK2	missing
