GENE.NAMES	set_WT	set_Inactive	set_Active
AAK1	missing	MEK2	MEK2
ABCB11	missing	missing	MEK2
ABCB6	missing	missing	MEK2
ABHD3	missing	missing	MEK2
ABLIM1	missing	missing	MEK2
ACSL4	missing	missing	MEK2
ACSS3	missing	missing	MEK2
ACTBL2	missing	missing	common
ACTL8	missing	MEK1	MEK1
ACTR1B	missing	missing	MEK2
ADAMTS1	missing	missing	common
ADGRB1	missing	missing	MEK2
ADGRE5	missing	missing	MEK2
ADIPOR2	missing	MEK1	missing
AGPAT2	missing	missing	MEK2
AGPAT4	missing	missing	MEK2
AHCYL1	MEK1	MEK2	MEK2
AIP	missing	missing	MEK2
AKAP13	missing	common	MEK2
ALG1	missing	missing	MEK2
ALG10;ALG10B	missing	missing	MEK2
ALG11	missing	missing	MEK2
ALG6	missing	MEK2	MEK2
ALG8	missing	missing	MEK2
ANGPT2	missing	missing	common
ANKRA2	MEK2	MEK2	MEK2
ANKRD49	missing	missing	MEK2
ANKRD52	common	MEK2	missing
ANKS1A	missing	missing	MEK2
ANKS1B	missing	missing	MEK2
ANXA1	missing	missing	MEK2
ANXA2	missing	missing	MEK2
ANXA7	missing	MEK1	missing
AP3S2	missing	missing	MEK2
APBA1	missing	missing	MEK2
APMAP	missing	missing	MEK2
APOBEC3B	missing	missing	common
ARAF	common	MEK2	common
ARAP3	missing	missing	MEK2
ARC	missing	missing	common
ARCN1	missing	missing	MEK2
AREG	missing	missing	common
ARF1	MEK2	missing	missing
ARFGAP1	missing	missing	MEK2
ARFIP2	MEK1	MEK2	MEK2
ARHGAP17	missing	MEK2	missing
ARHGAP19	missing	missing	MEK1
ARHGAP29	missing	missing	MEK2
ARHGAP31	missing	missing	common
ARHGAP42	missing	missing	MEK2
ARHGAP45	missing	missing	MEK2
ARHGEF16	missing	missing	MEK2
ARHGEF7	missing	missing	MEK2
ARL5B	missing	missing	MEK1
ARL6IP1	missing	missing	MEK1
ARPC4	missing	missing	MEK2
ASAP1	missing	missing	MEK2
ASB6	missing	missing	MEK1
ASPHD1	missing	missing	common
ASPHD2	missing	missing	MEK2
ASRGL1	missing	missing	MEK2
ATG101	missing	missing	MEK2
ATG13	missing	missing	MEK2
ATG2A	missing	missing	MEK2
ATG3	missing	MEK1	missing
ATP5ME	missing	missing	MEK2
ATP5MK	missing	missing	MEK2
ATP6AP1	missing	missing	MEK2
ATP9B	MEK2	missing	missing
ATPSCKMT	missing	missing	MEK2
AURKA	missing	missing	MEK1
AZI2	missing	MEK2	MEK2
B4GALNT1	missing	missing	MEK2
B4GALT7	MEK1	missing	missing
BAG2	missing	missing	MEK2
BAG3	missing	missing	MEK2
BAG5	missing	missing	MEK2
BAIAP2	missing	missing	common
BCAR1	missing	MEK2	MEK2
BCAR3	missing	missing	MEK2
BCKDK	missing	missing	MEK1
BCL10	missing	missing	MEK2
BFSP1	MEK1	MEK1	missing
BHLHE40	missing	missing	MEK1
BRAF	MEK2	MEK2	common
BRF2	missing	missing	MEK2
BRI3BP	missing	missing	MEK2
BSG	missing	missing	MEK2
BTBD1	missing	missing	common
BTBD6	common	MEK2	common
BTBD9	missing	missing	common
BTG3	missing	missing	MEK1
BUB1	missing	MEK2	MEK2
BUB1B	missing	missing	MEK2
C11orf96	missing	missing	common
C12orf56	missing	missing	MEK2
C12orf57	missing	missing	MEK2
C2CD4C	missing	missing	MEK2
C3orf33	missing	missing	MEK2
C4A;C4B	common	missing	missing
CA2	missing	missing	MEK2
CA5B	MEK1	missing	missing
CACNB2	missing	missing	MEK1
CALCOCO1	missing	missing	MEK2
CAMSAP1	missing	missing	MEK2
CAMSAP2	missing	MEK2	MEK2
CAPZA1	missing	MEK2	missing
CARD19	missing	missing	MEK2
CARD6	missing	missing	MEK2
CARMIL2	MEK2	common	MEK2
CASP8	missing	missing	MEK2
CAVIN1	missing	missing	common
CBL	missing	missing	MEK2
CCDC102B	MEK1	missing	missing
CCDC22	MEK2	missing	missing
CCDC50	missing	missing	MEK2
CCN1	missing	missing	common
CCN2	missing	missing	MEK1
CCNA1	missing	missing	common
CCNB1	missing	MEK2	MEK2
CD2AP	missing	MEK2	MEK2
CD44	missing	MEK1	common
CDC123	common	common	common
CDC25C	missing	MEK2	MEK2
CDC37	common	common	common
CDC6	missing	missing	common
CDCA3	missing	missing	MEK2
CDCA5	missing	missing	MEK1
CDIPT	missing	missing	MEK2
CDK17	missing	missing	common
CDKN1A	missing	missing	common
CDS2	missing	missing	MEK2
CDV3	missing	missing	MEK2
CEMIP	missing	missing	common
CEMIP2	missing	missing	MEK2
CENPE	missing	missing	MEK2
CENPI	common	MEK1	missing
CENPQ	missing	missing	MEK1
CEP170	missing	missing	MEK2
CEP85	missing	MEK2	MEK2
CFAP298	missing	missing	MEK2
CFAP58	missing	missing	MEK1
CHKA	missing	missing	MEK2
CHMP2B	missing	missing	MEK2
CHMP4B	missing	missing	MEK2
CHORDC1	missing	missing	MEK2
CHST11	missing	missing	MEK2
CHST7	missing	MEK1	missing
CHSY3	missing	missing	MEK1
CIP2A	missing	MEK2	MEK2
CKAP2	missing	missing	MEK2
CLEC16A	missing	missing	MEK2
CLINT1	missing	missing	MEK2
CLK1	missing	missing	MEK1
CLPTM1L	missing	missing	MEK2
CLUH	missing	MEK2	MEK2
CMTM6	missing	MEK2	MEK2
CNOT3	missing	missing	MEK2
COA1	missing	missing	MEK2
COBLL1	missing	MEK2	missing
COMMD8	missing	MEK2	missing
COPRS	MEK2	missing	MEK2
COPZ1	missing	missing	MEK2
CORO1A	missing	missing	common
CORO1C	missing	missing	MEK2
CORO2A	MEK1	missing	missing
CPEB3	missing	missing	MEK2
CPLX1	missing	missing	MEK2
CPM	missing	missing	MEK1
CRACDL	missing	missing	MEK1
CRCP	missing	missing	MEK1
CRIP2	missing	missing	MEK2
CRMP1	MEK1	MEK2	MEK2
CRYZ	missing	missing	MEK2
CSDE1	MEK1	MEK2	MEK2
CSGALNACT2	missing	missing	MEK2
CSPG4	missing	missing	common
CSRP1	MEK1	common	common
CTDSP1	missing	MEK2	MEK2
CTDSP2	missing	missing	MEK2
CTTN	missing	missing	MEK2
CTTNBP2NL	missing	missing	MEK2
CXCR4	missing	missing	MEK2
CYB5R3	missing	missing	MEK2
CYB5R4	missing	missing	MEK2
CYP51A1	missing	missing	MEK1
CYTH2	missing	missing	MEK2
DAD1	missing	missing	MEK2
DBNL	missing	missing	MEK2
DCAF6	missing	missing	MEK2
DCTN2	missing	MEK2	missing
DCUN1D3	missing	missing	MEK1
DDRGK1	common	MEK2	MEK2
DDT	missing	MEK2	missing
DENND1B	missing	missing	MEK2
DHCR24	missing	missing	common
DHCR7	missing	missing	MEK2
DIAPH3	missing	missing	MEK2
DLGAP4	missing	missing	common
DLGAP5	MEK1	MEK2	MEK2
DMXL1	MEK2	MEK2	missing
DNAI3	missing	missing	MEK2
DNAJA1	missing	missing	MEK1
DNAJB12	missing	missing	MEK2
DNAJC18	missing	missing	common
DNAJC5	MEK1	missing	missing
DPM3	missing	missing	MEK2
DPYSL3	missing	missing	MEK2
DPYSL4	MEK2	missing	MEK2
DSP	missing	missing	MEK2
DUSP1	missing	missing	common
DUSP5	missing	missing	MEK1
DYM	missing	missing	MEK2
DYNC1LI2	missing	missing	MEK2
ECD	common	MEK2	common
ECE1	missing	missing	MEK2
EDIL3	missing	MEK1	missing
EEF1B2	MEK2	missing	missing
EEF1D	MEK2	missing	missing
EEF1G	MEK2	missing	missing
EFHD1	missing	MEK2	missing
EFNB2	missing	missing	MEK2
EGR1	missing	missing	common
EID2	common	common	MEK2
EIF2B2	missing	missing	MEK2
EIF3D	missing	missing	MEK1
EIF4B	missing	MEK2	MEK2
EIF4E	missing	MEK2	missing
EIF4G1	missing	missing	MEK2
ELAPOR2	missing	MEK1	missing
ELF1	missing	missing	MEK1
ELFN2	missing	missing	MEK1
ELK1	missing	missing	MEK2
ELMO1	MEK1	missing	missing
EMC6	missing	missing	MEK2
ENC1	missing	missing	common
ENTPD7	missing	missing	MEK2
EPCAM	missing	missing	common
EPHA2	missing	missing	common
EPHX4	missing	missing	common
ERAP2	missing	MEK1	missing
ERCC6L	MEK2	MEK2	MEK2
ERLEC1	missing	missing	MEK2
ERRFI1	missing	MEK2	common
ETF1	missing	missing	MEK2
ETS2	missing	missing	common
ETV4	missing	missing	common
F2R	missing	missing	MEK2
F2RL1	missing	missing	common
FADS3	missing	missing	common
FAM107B	missing	MEK2	MEK2
FAM110A	missing	missing	MEK2
FAM111B	missing	missing	MEK1
FAM193B	MEK1	missing	missing
FAM210A	missing	missing	MEK2
FAM210B	missing	missing	MEK2
FAM241B	missing	missing	MEK1
FAM43A	missing	missing	MEK2
FAM83B	missing	missing	MEK2
FAM83G	missing	missing	common
FAM83H	missing	missing	MEK2
FAM98A	missing	MEK2	missing
FAR2	missing	missing	MEK1
FAS	missing	missing	MEK2
FASN	common	MEK2	missing
FBH1	common	MEK1	MEK1
FBLIM1	MEK2	missing	MEK2
FBXL6	MEK2	missing	missing
FBXO32	missing	missing	MEK1
FERMT2	missing	MEK2	missing
FHIP2A	missing	MEK2	missing
FHL2	missing	missing	MEK2
FIP1L1	missing	missing	MEK1
FKBP4	missing	missing	MEK2
FKBP5	MEK2	MEK2	MEK2
FLNA	missing	missing	MEK2
FNBP1L	missing	MEK2	missing
FNDC10	missing	MEK2	missing
FOS	missing	missing	common
FOSB	missing	missing	common
FOSL1	missing	missing	common
FOXC2	missing	missing	common
FRMD4A	missing	missing	common
FSCN1	missing	missing	MEK2
FTH1	missing	MEK2	MEK2
FUNDC2	missing	missing	MEK2
FURIN	missing	missing	MEK2
FUT8	missing	missing	MEK2
G3BP1	missing	missing	MEK2
GADD45A	missing	missing	MEK2
GADD45B	missing	missing	common
GALNT1	missing	missing	MEK2
GBE1	missing	missing	MEK1
GCH1	missing	missing	MEK2
GDF15	missing	missing	common
GDI1	missing	missing	MEK2
GLB1L2	missing	MEK2	MEK2
GLMP	missing	missing	MEK2
GLO1	missing	MEK2	missing
GMDS	missing	missing	MEK1
GOLPH3L	missing	missing	MEK2
GOLT1B	missing	missing	MEK2
GOPC	missing	missing	MEK2
GPAT3	missing	missing	MEK2
GPC1	missing	missing	common
GPN2	missing	missing	MEK2
GPR108	missing	missing	MEK2
GPR176	missing	common	missing
GPRASP2	missing	missing	MEK2
GPRC5A	missing	missing	MEK1
GPRC5C	missing	missing	common
GPRIN1	missing	missing	MEK2
GRB7	missing	missing	MEK2
GRK2	missing	missing	MEK2
GRPEL2	missing	MEK1	missing
GSPT1	missing	missing	MEK2
GSPT2	missing	missing	MEK2
GTF2B	missing	missing	MEK1
GTSE1	missing	missing	MEK2
H1-6	missing	missing	MEK2
HECTD2	missing	MEK2	common
HEG1	missing	missing	MEK1
HERC5	missing	missing	MEK2
HES7	missing	missing	common
HGS	MEK1	missing	MEK2
HIVEP3	missing	missing	MEK1
HLA-B	missing	missing	MEK2
HLA-DRB1	missing	missing	MEK2
HMGCS1	missing	missing	MEK2
HMGCS2	missing	missing	MEK1
HOMER1	missing	missing	common
HOOK1	missing	missing	MEK2
HRAS	missing	missing	MEK1
HSP90AA1	common	common	MEK2
HSP90AA2P	missing	missing	MEK2
HSP90AA4P	MEK2	MEK2	MEK2
HSP90AA5P	missing	missing	MEK2
HSP90AB1	common	MEK2	MEK2
HSP90AB2P	common	common	MEK2
HSP90AB3P	MEK2	missing	missing
HSP90AB4P	common	MEK2	MEK2
HSPA1A;HSPA1B	MEK2	MEK2	MEK2
HSPA1L	MEK2	MEK2	MEK2
HSPA2	MEK2	MEK2	MEK2
HSPA4	MEK2	MEK2	MEK2
HSPA4L	MEK2	MEK2	MEK2
HSPA5	MEK2	MEK2	MEK2
HSPA6	MEK2	MEK2	MEK2
HSPA8	MEK2	MEK2	MEK2
HSPA9	MEK2	MEK2	MEK2
HSPBP1	MEK2	MEK2	MEK2
HSPH1	MEK2	MEK2	MEK2
HYOU1	missing	missing	MEK2
ID1	missing	MEK2	missing
ID3	MEK1	MEK1	missing
IDI1	MEK1	MEK2	missing
IER2	missing	missing	MEK2
IFNGR1	missing	missing	MEK2
IFTAP	missing	missing	MEK2
IGBP1	missing	missing	MEK2
IL1RAP	missing	missing	MEK2
IL6ST	missing	missing	MEK2
INPP1	missing	missing	MEK2
IP6K2	missing	missing	MEK2
IPPK	MEK2	missing	MEK1
IQCC	missing	missing	MEK2
IRAK2	missing	missing	MEK2
IRS2	missing	missing	MEK1
ITGA4	MEK1	MEK1	missing
ITGA7	missing	MEK2	MEK2
ITGAV	missing	missing	MEK2
ITGB5	missing	missing	MEK2
ITM2C	missing	missing	MEK2
ITPRIP	missing	missing	MEK2
JCAD	missing	missing	MEK2
JPT1	missing	MEK2	missing
JTB	missing	missing	MEK2
JUN	missing	missing	common
JUNB	MEK2	missing	common
KANK2	missing	MEK2	missing
KCNA5	missing	missing	MEK2
KCTD10	common	missing	common
KCTD12	missing	missing	common
KCTD13	missing	missing	MEK1
KCTD16	missing	missing	common
KCTD3	missing	MEK2	MEK2
KCTD5	missing	missing	MEK2
KDM2A	missing	missing	MEK1
KDM6B	missing	missing	MEK1
KDM8	MEK1	MEK1	missing
KEAP1	MEK2	MEK1	MEK1
KIAA1217	missing	missing	MEK2
KIF11	missing	missing	MEK2
KIF14	missing	missing	MEK2
KIF2C	missing	missing	MEK2
KIFBP	missing	missing	MEK2
KITLG	missing	missing	MEK2
KLC2	missing	missing	MEK2
KLF4	missing	missing	MEK1
KLHL13	MEK1	MEK2	MEK2
KLHL18	missing	missing	MEK2
KLHL21	missing	missing	common
KLHL36	missing	MEK1	missing
KLHL9	missing	MEK2	MEK2
KMT5A	missing	MEK1	MEK1
KNSTRN	MEK1	MEK2	MEK2
KPNA2	missing	missing	MEK1
KRT18	missing	missing	common
KSR1	common	MEK2	common
KSR2	MEK2	MEK2	MEK2
LAMB3	missing	MEK1	common
LAMC2	missing	missing	common
LASP1	missing	missing	MEK2
LEPROT	missing	missing	MEK2
LGALS8	missing	missing	MEK1
LHX5	missing	missing	MEK1
LIG4	missing	missing	MEK2
LINC02872	missing	missing	MEK2
LIPG	missing	missing	MEK1
LMAN1	missing	missing	MEK2
LMAN2	missing	missing	MEK2
LMAN2L	missing	missing	MEK2
