GENE.NAMES	set_WT	set_Inactive	set_Active
ABCB11	missing	BRAF	common
ABHD13	missing	missing	BRAF
ABHD15	missing	missing	RAF1
ABHD17C	shared	ARAF	missing
ABR	ARAF	missing	missing
ACAN	missing	missing	shared
ACAP3	ARAF	missing	missing
ACSL4	missing	missing	BRAF
ACTA1	missing	RAF1	ARAF
ACTBL2	missing	RAF1	shared
ACTL8	BRAF	ARAF	RAF1
ACTN1	missing	RAF1	ARAF
ADAMTS1	missing	RAF1	shared
ADAMTS19	ARAF	missing	missing
ADGRV1	missing	missing	RAF1
ADIPOR2	missing	missing	shared
ADPRHL1	shared	ARAF	RAF1
AEN	shared	shared	common
AFG2B	missing	ARAF	missing
AGAP2	missing	missing	BRAF
AHR	missing	missing	ARAF
AHRR	missing	missing	ARAF
AIDA	missing	missing	common
AIP	common	common	common
AKAP11	ARAF	missing	shared
AKAP8L	ARAF	missing	shared
ALDH16A1	missing	RAF1	missing
ALG11	ARAF	ARAF	shared
ALOX12B	RAF1	missing	missing
ALPP;ALPG	ARAF	missing	missing
AMER1	shared	missing	shared
AMFR	missing	missing	BRAF
AMH	ARAF	RAF1	missing
ANAPC4	missing	missing	ARAF
ANGPT2	missing	missing	shared
ANKH	BRAF	missing	shared
ANKMY2	shared	shared	shared
ANKRD10	ARAF	missing	missing
ANKRD18A	missing	missing	common
ANKRD22	missing	missing	BRAF
ANKRD28	ARAF	missing	shared
ANKRD40	ARAF	ARAF	ARAF
ANKRD49	shared	shared	shared
ANKRD52	ARAF	missing	shared
ANKS3	missing	missing	ARAF
ANXA2	missing	missing	BRAF
ANXA5	missing	ARAF	shared
ANXA7	missing	RAF1	missing
ANXA8L1	missing	RAF1	missing
AP3M1	shared	ARAF	missing
APBA1	ARAF	BRAF	missing
APBA2	ARAF	missing	missing
APC	missing	missing	ARAF
APEX2	missing	missing	RAF1
APMAP	missing	RAF1	missing
APOBEC3B	missing	missing	shared
APOBEC3D	missing	missing	RAF1
APOLD1	missing	missing	RAF1
APRT	missing	RAF1	missing
AQR	missing	ARAF	missing
ARAF	ARAF	shared	shared
ARAP3	missing	missing	BRAF
ARC	missing	missing	common
AREG	missing	RAF1	shared
ARF1	BRAF	shared	common
ARF4	missing	missing	BRAF
ARHGAP42	missing	missing	BRAF
ARHGEF40	missing	missing	RAF1
ARL5B	missing	missing	BRAF
ARL6IP1	missing	missing	shared
ARL8B	missing	RAF1	missing
ARMC5	RAF1	missing	BRAF
ARMC6	missing	missing	RAF1
ARMCX3	BRAF	BRAF	RAF1
ARMCX5	ARAF	missing	missing
ARPIN	missing	ARAF	missing
ARRDC4	missing	missing	ARAF
ARSB	missing	missing	RAF1
ARV1	RAF1	missing	RAF1
ASB3	missing	missing	shared
ASB6	common	shared	shared
ASDURF	shared	shared	shared
ASNS	missing	RAF1	missing
ASPHD1	missing	BRAF	common
ASPM	shared	common	common
ATAT1	ARAF	missing	RAF1
