GENE.NAMES	set_WT	set_Inactive	set_Active
AAMDC	missing	missing	NRAS
ABCB11	missing	missing	HRAS
ABHD13	missing	HRAS	HRAS
ABHD14B	missing	missing	NRAS
ABHD17C	missing	missing	NRAS
ABHD18	missing	missing	NRAS
ABHD3	missing	HRAS	NRAS
ACAN	missing	missing	NRAS
ACBD4	missing	KRAS	KRAS
ACBD7	missing	shared	missing
ACOT1	missing	missing	NRAS
ACSF2	missing	missing	HRAS
ACTA1	missing	NRAS	HRAS
ACTBL2	missing	missing	HRAS
ACTL8	missing	shared	shared
ACTN1	missing	missing	HRAS
ACVR1	KRAS	missing	KRAS
ACY1	missing	missing	NRAS
ADAMTS17	KRAS	missing	shared
ADGRL1	missing	missing	NRAS
ADPRHL1	KRAS	missing	KRAS
AEN	missing	missing	NRAS
AFDN	missing	missing	common
AGO2	missing	HRAS	NRAS
AGO3	missing	missing	NRAS
AGPAT3	KRAS	missing	missing
AGPAT4	missing	missing	NRAS
AHCYL1	KRAS	KRAS	KRAS
AHCYL2	missing	KRAS	KRAS
AIDA	missing	missing	KRAS
AIG1	missing	missing	NRAS
AK5	missing	missing	NRAS
AK6	KRAS	missing	missing
AKT1S1	KRAS	KRAS	KRAS
AKT3	missing	missing	NRAS
ALDH1L1	NRAS	missing	missing
ALG11	missing	missing	HRAS
ALKBH2	missing	HRAS	missing
ALOXE3	HRAS	missing	HRAS
ALPL	missing	HRAS	missing
AMZ1	missing	KRAS	missing
ANAPC13	KRAS	missing	missing
ANKH	missing	missing	HRAS
ANKRD10	missing	missing	NRAS
ANKRD49	missing	missing	NRAS
ANP32A	missing	KRAS	KRAS
ANP32B	KRAS	KRAS	KRAS
ANXA2	KRAS	missing	missing
ANXA5	missing	missing	HRAS
ANXA6	KRAS	missing	missing
AP3B1	missing	KRAS	KRAS
APEX2	missing	HRAS	missing
APMAP	missing	missing	HRAS
APOBEC3B	missing	missing	HRAS
APOBEC3D	missing	HRAS	missing
APOOL	missing	HRAS	missing
APTX	missing	shared	missing
ARAF	NRAS	missing	common
ARAP3	missing	missing	NRAS
AREG	missing	HRAS	missing
ARHGAP11A	missing	missing	HRAS
ARHGAP18	missing	missing	shared
ARHGAP28	missing	missing	common
ARHGAP8	missing	HRAS	missing
ARHGEF17	missing	HRAS	shared
ARHGEF40	missing	missing	NRAS
ARHGEF6	HRAS	missing	NRAS
ARHGEF7	missing	missing	shared
ARID3A	missing	missing	NRAS
ARIH1	KRAS	KRAS	KRAS
ARIH2	KRAS	KRAS	KRAS
ARL15	missing	missing	NRAS
ARL6IP1	KRAS	missing	missing
ARL6IP6	KRAS	missing	KRAS
ARPC4	missing	missing	HRAS
ARPC5L	missing	missing	HRAS
ARSB	missing	KRAS	missing
ARV1	KRAS	missing	missing
ASB6	NRAS	missing	missing
ASH1L	missing	HRAS	missing
ASIC1	missing	missing	KRAS
ASPH	missing	missing	NRAS
ASPM	missing	missing	shared
ATAT1	missing	HRAS	missing
ATG3	KRAS	KRAS	KRAS
ATM	missing	missing	NRAS
ATOX1	NRAS	missing	missing
ATP10D	missing	missing	HRAS
ATP1B1	missing	missing	NRAS
ATP5F1B	missing	missing	HRAS
ATP5F1E;ATP5F1EP2	KRAS	missing	missing
ATXN7L1	missing	NRAS	missing
ATXN7L2	missing	missing	NRAS
ATXN7L3	missing	NRAS	missing
B3GALT1	missing	HRAS	NRAS
BAHCC1	missing	NRAS	NRAS
BAK1	missing	HRAS	missing
BCAS2	missing	missing	HRAS
BCL2L11	missing	missing	NRAS
BCL2L12	KRAS	KRAS	missing
BCL2L2	missing	missing	NRAS
BCL7C	missing	NRAS	missing
BHLHE41	KRAS	KRAS	KRAS
BLVRB	missing	HRAS	HRAS
BMP1	KRAS	KRAS	KRAS
BRAF	common	missing	common
BRSK2	missing	HRAS	NRAS
C12orf56	missing	missing	NRAS
C19orf53	KRAS	missing	missing
C1GALT1	KRAS	KRAS	KRAS
C1orf21	KRAS	KRAS	missing
C1QL1	missing	HRAS	missing
C22orf39	missing	missing	NRAS
C4A;C4B	missing	shared	shared
C6orf163	missing	missing	KRAS
C7orf50	KRAS	missing	missing
CA2	HRAS	missing	HRAS
CA8	missing	missing	KRAS
CACNB2	missing	missing	shared
CADM1	missing	missing	KRAS
CALM1;CALM2;CALM3	missing	KRAS	missing
CAMKV	KRAS	KRAS	KRAS
CANX	missing	missing	HRAS
CAPN5	missing	HRAS	missing
CBARP	HRAS	missing	shared
CBLB	HRAS	missing	missing
CBX3	missing	missing	HRAS
CCAR1	missing	missing	HRAS
CCDC137	KRAS	missing	missing
CCDC177	missing	HRAS	missing
CCDC61	missing	missing	KRAS
CCDC88A	missing	missing	NRAS
CCM2	missing	missing	NRAS
CCN1	missing	missing	HRAS
CCNB1IP1	missing	HRAS	missing
