GENE.NAMES	set_Active_ras	set_Active_raf	set_Active_mek
ABCB11	HRAS	common2	MEK2
ABHD13	HRAS	BRAF	missing3
ACAN	NRAS	shared2	missing3
ACSL4	missing	BRAF	MEK2
ACTA1	HRAS	ARAF	missing3
ACTBL2	HRAS	shared2	common3
ACTL8	shared	RAF1	MEK1
ACTN1	HRAS	ARAF	missing3
ADAMTS1	missing	shared2	common3
ADPRHL1	KRAS	RAF1	missing3
AEN	NRAS	common2	missing3
AIDA	KRAS	common2	missing3
AIP	missing	common2	MEK2
ALG11	HRAS	shared2	MEK2
ANGPT2	missing	shared2	common3
ANKH	HRAS	shared2	missing3
ANKRD49	NRAS	shared2	MEK2
ANXA2	missing	BRAF	MEK2
ANXA5	HRAS	shared2	missing3
APOBEC3B	HRAS	shared2	common3
ARAF	common	shared2	common3
ARAP3	NRAS	BRAF	MEK2
ARC	missing	common2	common3
AREG	missing	shared2	common3
ARHGAP42	missing	BRAF	MEK2
ARHGEF40	NRAS	RAF1	missing3
ARL5B	missing	BRAF	MEK1
ASB6	missing	shared2	MEK1
ASPHD1	missing	common2	common3
BAG2	missing	shared2	MEK2
BAG3	missing	BRAF	MEK2
BAG5	missing	ARAF	MEK2
BAIAP2	missing	BRAF	common3
BCKDK	missing	shared2	MEK1
BHLHE40	missing	shared2	MEK1
BRAF	common	BRAF	common3
BRSK2	NRAS	RAF1	missing3
BTBD1	missing	shared2	common3
BTBD9	missing	shared2	common3
BTG3	missing	shared2	MEK1
C11orf96	missing	common2	common3
C2CD4C	missing	BRAF	MEK2
CA2	HRAS	shared2	MEK2
CARD6	missing	BRAF	MEK2
CAVIN1	missing	BRAF	common3
CBARP	shared	shared2	missing3
CCDC88A	NRAS	ARAF	missing3
CCN1	HRAS	common2	common3
CCNG1	NRAS	RAF1	missing3
CD44	missing	shared2	common3
CD59	KRAS	BRAF	missing3
CDC123	HRAS	shared2	common3
CDC6	NRAS	shared2	common3
CDK17	missing	BRAF	common3
CDKN1A	shared	shared2	common3
CEMIP	missing	BRAF	common3
CEMIP2	missing	ARAF	MEK2
CEP170	missing	RAF1	MEK2
CHAF1A	HRAS	shared2	missing3
CHAF1B	HRAS	shared2	missing3
CHGA	NRAS	shared2	missing3
CLK1	missing	shared2	MEK1
CNPY2	HRAS	ARAF	missing3
COLGALT1	HRAS	common2	missing3
COPRS	missing	ARAF	MEK2
COPS2	KRAS	RAF1	missing3
CORO1A	HRAS	shared2	common3
CORO2B	NRAS	BRAF	missing3
CPM	missing	BRAF	MEK1
CRABP2	HRAS	shared2	missing3
CRACDL	HRAS	common2	MEK1
CRIP2	shared	RAF1	MEK2
CSPG4	common	shared2	common3
CTDSP2	shared	ARAF	MEK2
CTSV	HRAS	RAF1	missing3
CXCR4	NRAS	shared2	MEK2
CYP51A1	missing	BRAF	MEK1
DAD1	KRAS	BRAF	MEK2
DCUN1D3	missing	shared2	MEK1
DHCR24	NRAS	shared2	common3
DLGAP4	HRAS	common2	common3
DNAJA1	missing	common2	MEK1
DNAJB12	missing	BRAF	MEK2
DNAJC18	NRAS	common2	common3
DUSP1	missing	shared2	common3
DUSP5	missing	shared2	MEK1
EAPP	shared	RAF1	missing3
ECD	missing	RAF1	common3
EDIL3	HRAS	shared2	missing3
EEF1B2	shared	RAF1	missing3
EEF1D	HRAS	RAF1	missing3
EEF1G	shared	shared2	missing3
EFNB2	HRAS	ARAF	MEK2
EGFLAM	shared	BRAF	missing3
EGR1	missing	common2	common3
EID2	missing	BRAF	MEK2
ELFN1	NRAS	shared2	missing3
ELFN2	missing	shared2	MEK1
EMC6	missing	BRAF	MEK2
EMILIN2	shared	shared2	missing3
ENC1	missing	common2	common3
ENTR1	HRAS	shared2	missing3
EPCAM	missing	shared2	common3
EPHA2	HRAS	common2	common3
EPHB4	HRAS	ARAF	missing3
EPHX4	missing	shared2	common3
ERRFI1	missing	shared2	common3
ETS2	missing	shared2	common3
ETV4	missing	common2	common3
F2RL1	missing	common2	common3
FADS3	missing	shared2	common3
FAM111B	HRAS	common2	MEK1
FAM241B	missing	shared2	MEK1
FAM43A	missing	BRAF	MEK2
FAM83H	missing	RAF1	MEK2
FAR2	missing	common2	MEK1
FBXO32	missing	BRAF	MEK1
FGG	HRAS	RAF1	missing3
FKBP4	missing	common2	MEK2
FLT1	HRAS	common2	missing3
FN1	HRAS	RAF1	missing3
FOS	missing	shared2	common3
FOSB	missing	shared2	common3
FOSL1	missing	common2	common3
FOXC2	shared	shared2	common3
FRMD4A	shared	shared2	common3
FSCN1	shared	shared2	MEK2
GADD45B	missing	shared2	common3
GBE1	missing	common2	MEK1
GDAP1L1	NRAS	RAF1	missing3
GDF15	NRAS	shared2	common3
GFUS	HRAS	ARAF	missing3
GOPC	missing	RAF1	MEK2
GPAT3	missing	BRAF	MEK2
GPC1	NRAS	common2	common3
GPN2	missing	shared2	MEK2
GPRASP1	HRAS	RAF1	missing3
GPRASP2	missing	shared2	MEK2
GPRC5A	missing	common2	MEK1
GPRC5C	missing	shared2	common3
GRB7	missing	BRAF	MEK2
HECTD1	KRAS	RAF1	missing3
HECTD2	NRAS	common2	common3
HERC5	missing	RAF1	MEK2
HES7	missing	BRAF	common3
HIVEP3	missing	BRAF	MEK1
HLA-B	missing	shared2	MEK2
HMGCS2	missing	shared2	MEK1
HOMER1	missing	shared2	common3
HRAS	common	shared2	MEK1
HSP90AA2P	missing	shared2	MEK2
HSP90AA5P	missing	common2	MEK2
HSP90AB1	missing	common2	MEK2
HSP90AB2P	missing	common2	MEK2
HSP90AB4P	missing	common2	MEK2
HSPA4L	missing	BRAF	MEK2
HSPA5	missing	BRAF	MEK2
HSPA9	missing	BRAF	MEK2
HSPB8	HRAS	common2	missing3
HSPH1	HRAS	shared2	MEK2
IDI1	NRAS	shared2	missing3
IER2	missing	shared2	MEK2
INPP1	missing	shared2	MEK2
ITGA7	HRAS	ARAF	MEK2
ITM2B	HRAS	RAF1	missing3
ITM2C	HRAS	common2	MEK2
ITPRIP	missing	BRAF	MEK2
JUN	missing	shared2	common3
JUNB	HRAS	common2	common3
JUND	NRAS	BRAF	missing3
KCNQ2	NRAS	RAF1	missing3
KCTD12	HRAS	shared2	common3
KCTD13	missing	shared2	MEK1
KCTD16	HRAS	shared2	common3
KDM2A	NRAS	shared2	MEK1
KDM6B	missing	BRAF	MEK1
KEAP1	missing	common2	MEK1
KIAA1217	missing	BRAF	MEK2
KIFBP	missing	shared2	MEK2
KITLG	missing	ARAF	MEK2
KLHL12	KRAS	RAF1	missing3
KLHL18	missing	common2	MEK2
KLHL21	missing	common2	common3
KMT5A	shared	common2	MEK1
KPNA2	missing	shared2	MEK1
KRAS	common	RAF1	missing3
KRT18	HRAS	common2	common3
KSR2	missing	BRAF	MEK2
LAMB3	HRAS	common2	common3
LAMC2	HRAS	shared2	common3
LGALS8	HRAS	common2	MEK1
LHX5	NRAS	shared2	MEK1
LIG4	missing	shared2	MEK2
LIPG	missing	shared2	MEK1
LMAN1	missing	RAF1	MEK2
LMO1	NRAS	BRAF	missing3
LOXL4	NRAS	RAF1	missing3
LRP10	missing	common2	common3
LSR	HRAS	common2	MEK2
LYN	KRAS	shared2	missing3
LZTS1	NRAS	shared2	missing3
MAMLD1	missing	shared2	common3
MAN1A1	missing	RAF1	MEK2
MAP2K1	KRAS	common2	common3
MAT2A	missing	common2	common3
MB21D2	missing	ARAF	MEK2
METAP2	HRAS	common2	missing3
MFGE8	missing	shared2	MEK2
MIDN	missing	common2	MEK2
MMADHC	missing	RAF1	MEK2
MSANTD2	KRAS	ARAF	missing3
MTHFR	KRAS	RAF1	missing3
MYH9	HRAS	BRAF	missing3
NAA60	missing	shared2	MEK1
NAB1	missing	common2	common3
NAB2	missing	shared2	common3
NDRG2	shared	RAF1	missing3
NEFL	HRAS	shared2	missing3
NFE2L1	shared	shared2	missing3
NMU	missing	RAF1	MEK1
NPPC	missing	shared2	MEK1
NPTX2	missing	BRAF	common3
NTS	HRAS	common2	common3
NUDT4B	missing	BRAF	MEK2
OCC1	missing	BRAF	MEK1
ODR4	missing	RAF1	MEK2
OS9	missing	shared2	common3
P3H1	missing	ARAF	MEK2
P3H2	missing	ARAF	MEK2
P3H4	KRAS	ARAF	missing3
P4HA1	missing	shared2	MEK2
P4HB	HRAS	ARAF	missing3
PADI2	shared	RAF1	missing3
PAQR9	KRAS	shared2	MEK1
PATZ1	NRAS	RAF1	missing3
PDCL	KRAS	ARAF	missing3
PEDS1	missing	shared2	MEK1
PELI2	HRAS	shared2	missing3
PFKP	missing	shared2	MEK1
PHLDA1	missing	BRAF	common3
PHLDA2	missing	common2	common3
PIGL	missing	BRAF	MEK2
PIK3CA	common	common2	missing3
PIK3R1	common	shared2	missing3
PIK3R2	shared	RAF1	missing3
PIK3R3	shared	shared2	missing3
PJA2	missing	shared2	MEK2
PKM	shared	common2	missing3
PLAUR	NRAS	shared2	common3
PLEKHA4	missing	BRAF	MEK1
PLEKHN1	missing	shared2	MEK1
PLEKHO1	missing	shared2	common3
PLOD3	HRAS	common2	missing3
PNMA2	KRAS	shared2	missing3
POLR2H	HRAS	RAF1	missing3
POLR2L	HRAS	shared2	missing3
POTEE	HRAS	shared2	missing3
PPIAL4E;PPIAL4D;PPIAL4F	HRAS	ARAF	missing3
PPP6R1	missing	shared2	MEK2
PREX2	NRAS	RAF1	missing3
PRKAR1A	HRAS	shared2	missing3
PRKAR1B	HRAS	shared2	MEK2
PRKCI	missing	shared2	common3
PRKCSH	HRAS	ARAF	missing3
PROCR	KRAS	shared2	MEK2
PSMB5	NRAS	RAF1	missing3
PSMC5	shared	common2	common3
PSMC6	missing	RAF1	MEK2
PSMD1	KRAS	RAF1	MEK2
PSMD11	KRAS	shared2	MEK2
PSMD12	KRAS	shared2	MEK2
PSMD13	KRAS	RAF1	MEK2
PSMD14	missing	RAF1	MEK2
PSMD2	KRAS	RAF1	MEK2
PSMD7	KRAS	RAF1	MEK2
PTRHD1	HRAS	ARAF	missing3
PVR	missing	BRAF	MEK2
RABIF	HRAS	RAF1	MEK2
RAC2	NRAS	shared2	MEK2
RAF1	common	shared2	common3
RALB	HRAS	shared2	missing3
REEP3	missing	shared2	MEK1
RGPD5	missing	BRAF	common3
RND1	missing	shared2	common3
RNF41	missing	shared2	MEK1
ROBO1	HRAS	ARAF	missing3
RPAP3	missing	common2	MEK2
RUNX1	missing	BRAF	MEK2
S100A13	missing	BRAF	MEK2
SARAF	missing	common2	MEK1
SC5D	shared	RAF1	missing3
SCARF2	NRAS	RAF1	missing3
SELENOK	missing	shared2	common3
SELENOS	missing	common2	MEK1
SEMA7A	missing	BRAF	MEK2
SERF1A	missing	shared2	MEK1
SERINC3	KRAS	shared2	missing3
SFN	missing	shared2	MEK2
SGK1	NRAS	common2	common3
SH2B3	missing	shared2	common3
SH2D2A	missing	BRAF	MEK2
SH3BP4	missing	shared2	MEK2
SHROOM1	missing	BRAF	MEK2
SIRT1	KRAS	shared2	missing3
SIRT2	HRAS	BRAF	missing3
SLC19A1	missing	shared2	MEK2
SLC20A1	missing	shared2	MEK2
SLC25A29	missing	shared2	MEK2
SLC25A32	missing	shared2	MEK2
SLC27A6	NRAS	RAF1	MEK2
SLC29A3	missing	BRAF	MEK2
SLC2A14	missing	BRAF	common3
SLC30A1	missing	ARAF	MEK2
SLC35G2	missing	shared2	common3
SLC44A5	NRAS	shared2	missing3
SMIM26	missing	common2	MEK1
SNX33	NRAS	RAF1	missing3
SPHK1	missing	shared2	common3
SPINT2	HRAS	RAF1	MEK2
SPOP	missing	shared2	MEK2
SPRED1	missing	common2	common3
SPRED2	missing	common2	MEK2
SPRY2	missing	common2	common3
SPRY4	missing	common2	common3
SPTAN1	HRAS	common2	missing3
SPTBN1	HRAS	common2	missing3
SQSTM1	missing	common2	common3
SRPX	KRAS	RAF1	missing3
SRPX2	missing	BRAF	MEK2
STIP1	missing	shared2	MEK2
STOM	missing	ARAF	MEK2
SUGT1	missing	common2	MEK2
SULT1C4	NRAS	RAF1	missing3
SYNPO	HRAS	shared2	common3
TAC1	missing	common2	common3
TAGLN	HRAS	ARAF	MEK2
TAOK2	HRAS	RAF1	missing3
TDG	missing	shared2	MEK1
TEX30	HRAS	RAF1	missing3
TFPI	missing	shared2	MEK1
TFRC	missing	shared2	MEK2
THBD	missing	shared2	MEK1
THBS1	shared	shared2	missing3
THSD1	missing	shared2	MEK2
TJP2	missing	RAF1	MEK2
TM9SF2	HRAS	RAF1	missing3
TMEM147	missing	BRAF	common3
TMEM185B	missing	shared2	MEK2
TMEM200A	missing	common2	common3
TMEM201	missing	shared2	MEK1
TMEM33	missing	BRAF	MEK2
TMEM41B	missing	shared2	MEK2
TMEM59	HRAS	shared2	common3
TNFRSF10B	missing	RAF1	MEK2
TNFRSF10D	HRAS	common2	MEK1
TNS2	missing	shared2	MEK1
TOMM70	missing	shared2	MEK2
TOR1B	missing	BRAF	MEK2
TPM4	HRAS	ARAF	missing3
TPT1	HRAS	shared2	missing3
TRIB1	missing	common2	common3
TRIB3	missing	BRAF	common3
TTC1	missing	ARAF	MEK2
TTC4	missing	common2	MEK2
U2AF1	HRAS	RAF1	missing3
UBAC2	shared	RAF1	missing3
UBE2D1	missing	shared2	common3
UBE2S	missing	shared2	common3
UBXN8	missing	ARAF	MEK2
UCK2	missing	RAF1	MEK1
UGGT2	missing	shared2	MEK2
UPP1	missing	shared2	common3
USP11	missing	shared2	MEK2
USP17L5;USP17L15;USP17L11;USP17L22;USP17L17;USP17L19;USP17L20;USP17L24	missing	BRAF	common3
USP17L7	missing	shared2	common3
USP47	shared	ARAF	missing3
VGF	NRAS	shared2	common3
VMP1	missing	BRAF	MEK2
WDTC1	missing	RAF1	MEK2
