Gene.names	logFC	padj	Comp	Mutant	perturbed
MED19	0.829763684743104	0.00576455568073191	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged
ARHGAP42	1.05361178542265	0.00127849183856601	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain
USP17L5;USP17L15;USP17L11;USP17L22;USP17L17;USP17L19;USP17L20;USP17L24	1.12118721046043	0.00976306617790354	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain
EYA2	-0.144304374855672	0.902958501798806	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged
AIP	-0.609958376870071	0.00258391355359038	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged
PLOD2	-0.419640564360042	0.0889702750742624	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged
BHLHE40	0.830420714841903	0.114823432144997	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged
KDM6B	1.42961713427847	0.00209775141162557	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain
ZBTB39	-0.919626543851006	0.0851333247980772	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged
ANGPT2	1.94418461945863	0.000851859685672695	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain
ATP9B	-0.560897347022813	0.377298024960008	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged
MARCHF6	-0.849342849365553	0.0381423706930391	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged
GADD45B	1.48822782318999	0.00394101950044975	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain
HSPA4L	-0.417368014157415	0.00458307881871092	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged
BAG3	1.32889504718309	0.000333451508575244	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain
TIMP1	2.35636028084695	0.00124360281922976	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain
TGFB1	2.98652179360537	0.000125336656423808	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain
TK1	1.1031029337576	0.000504964410881224	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain
JUN	2.71539567672972	2.18741420930852e-05	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain
ANXA2	0.738220025563388	0.00163085120355801	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged
HSP90AA1	-0.599398296977889	0.00157257335077023	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged
HSP90AB1	-0.513505443765888	0.00449299337736165	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged
USP17L7	0.910997465201821	0.292506326300151	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged
NR2F1	-1.26063287870917	0.0182218030566656	logFC_BrafG469A__vs__BrafWT	BrafG469A	loss
HSPA5	-0.367381517983395	0.0093476690086035	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged
VCAN	-2.06848041036545	0.000240611053887037	logFC_BrafG469A__vs__BrafWT	BrafG469A	loss
BRAF	-0.227084778564393	0.208258674168424	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged
FOSL1	2.00775552196855	0.000760879643892316	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain
CD44	1.3993035733514	0.0028689501548955	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain
JUNB	4.72468985408963	3.2011348286649e-05	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain
JUND	0.913002505331505	0.00110308820124045	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged
EGR1	3.55819949684123	0.000171918400938634	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain
CSRP1	0.15974319841938	0.65234982944823	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged
NPPC	1.04508477336336	0.00165421116414061	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain
LMO1	-0.185125346502876	0.514072186363956	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged
ZFP36	2.87435434477507	7.27617155109797e-06	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain
YWHAQ	-0.873212100433756	0.00258766734125251	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged
