Gene.names	logFC	padj	Comp	Mutant	perturbed	Process
NUDT4B	-0.079236733840473	0.532024748046739	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
SMIM26	0.18064964442149	0.246257799613195	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
TUG1	0.696982251855173	0.00420568691743676	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
ELOVL7	0.450034794534189	0.00959590267744803	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
PEDS1	0.56288090633086	0.00134910341719273	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
TCAF2	0.790403458286426	0.00715157185654526	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
C17orf100	0.12805234827108	0.354759230786286	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
SGK1	1.62627625435184	0.0368210795354595	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	
LGALS8	1.03242046907942	0.00574228272085406	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	
PSMD11	0.233907214589608	0.0605216940743573	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
PSMD12	0.354137942313037	0.0079318939220639	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
GOLIM4	0.70449712783794	0.0026038232575368	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
CCN1	1.12615225020065	0.000551370028512907	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	
GOSR2	0.698017102528608	0.00230240856752864	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
TOR1B	0.649272764850466	0.00287758125226192	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
ENC1	0.742854040379695	0.000809297336735283	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
BCKDK	0.511084133993698	0.0307351185470827	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
ANGPT2	2.06152446980582	0.000581238704561969	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	PI3K-Akt signaling pathway
VGF	1.30217115401801	0.00681628047338952	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	signaling by RTKs
SIVA1	-1.03308893736881	0.00143429360394355	logFC_BrafG469A__vs__BrafWT	BrafG469A	loss	
SPRY2	1.32882246663836	0.000441265154431511	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	signaling by RTKs
SPRY1	0.649274635045797	0.00377178836115233	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
SPOP	0.405405239256759	0.0521488979420456	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
EDIL3	-0.694008736145989	0.00226158663548612	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
LCMT2	0.428691831900686	0.00745870266672258	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
MAN1A2	0.751195013675122	0.000706016313037489	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
ACSL4	0.996623270754326	0.00067504430201253	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
RANBP6	0.433668962538009	0.00323822293838564	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
SLC16A7	0.517879612395159	0.107413065288689	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
SRPX2	2.33342757532623	0.000581238704561969	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	
UGDH	0.656664533688209	0.00218389714414763	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
GADD45B	1.90419511464529	0.000570736303091111	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	
DUSP11	0.273753661995176	0.0745167628839816	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
SEMA7A	2.05103937976365	0.00854275184663107	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	
STX11	1.56676032655662	0.00292529856223443	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	
USP2	0.852513210910029	0.00682865165307452	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
CDC123	-0.255040056010602	0.0139161872441499	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
SC5D	-0.0201880135677639	0.917539948319306	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
SERF1A	0.529797547183433	0.00468529363863557	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
RGS20	0.960818802093147	0.0219136719876458	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
SLIT2	-0.452712311705698	0.0557234313155152	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
CCNB2	0.578468467980548	0.0014629791394005	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
LEPROTL1	0.673173529369336	0.00274408025495934	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
ABCB11	0.621175631366686	0.256740546040862	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
SGPL1	0.541660191784796	0.0065341819736362	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
NTN1	0.484825037761286	0.0175545665452486	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
FADS2	-0.1437834920524	0.287562373239415	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
TIMP1	1.82847402771118	0.00233580425991362	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	
FOS	1.52562313020278	0.000922881413702039	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	signaling by RTKs
NRAS	-0.180083712014261	0.176647949072839	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
HRAS	-0.599331244764695	0.0678431085716082	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
KRAS	-1.09202019094501	0.00681628047338952	logFC_BrafG469A__vs__BrafWT	BrafG469A	loss	
TGFB1	1.79355568569669	0.000185016533293718	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	
HLA-B	0.839577431437796	0.00313931138560358	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
TFRC	0.364210281158357	0.0162167340049601	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
TK1	0.72187306970983	0.000941602157482353	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
HLA-A	1.06925094292887	0.00448411507846788	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	
KRT18	0.564437931553692	0.00552025174932339	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
NEFL	-0.287927497805922	0.23849143321471	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
THBD	1.2622686913893	0.00719916440748026	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	
HSP90AA1	-0.0502969990120838	0.811188838325483	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
YES1	0.792814606311059	0.0195522188064519	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
LYN	0.745412595771813	0.00832850834339751	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
THBS1	-0.979421159528638	0.000558470219981026	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
HCK	0.918249372779215	0.02238621144906	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
CLTB	0.348823340178872	0.100164967688227	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
C4A;C4B	-0.509358036622139	0.00389519908165209	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
TFPI	0.885037186829583	0.00797107270630122	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
CLU	1.07107795303395	0.000909081378613054	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	
SLC2A1	0.212442345536754	0.0628904798448	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
RALB	0.804951392273164	0.00832850834339751	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
CYBA	0.593424373075254	0.0118960603505497	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
TPT1	0.37207854130402	0.0326765999249025	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
CD59	0.829504742323242	0.0469873032730126	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
CPM	1.22076251047287	0.02016793393573	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	
PKM	0.699721019752625	0.00170333602241583	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
BRAF	-0.58493889989455	0.00730325832480678	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
PVR	0.381492508407933	0.100350679888451	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
RAC2	1.12744759959711	0.00119676977180554	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	RAS signaling
AREG	1.80044464212673	0.00060681348835924	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	
VEGFA	1.03508652831568	0.00738912732954792	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	
RPA2	-0.594618499067356	0.00418025625097602	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
CD44	1.8483678821685	0.000837335101525383	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	
EPCAM	0.669225998721814	0.00984468169292698	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
JUNB	4.01763172095915	4.92775816316635e-06	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	signaling by RTKs
FLT1	0.445282069638971	0.0264660927983644	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
ARF4	0.210905055518384	0.191654678459939	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
EGR1	2.92704693242362	0.00170333602241583	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	signaling by RTKs
SRD5A1	0.59929671919179	0.00182125297216912	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
TAC1	0.750118888894769	0.0027570006843466	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
ATP6V1C1	0.317063041633388	0.0102221944448267	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
CSRP1	-0.0292181459148538	0.890715581428502	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
PTPRZ1	-0.647668664004258	0.153110578188585	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
EEF1B2	-0.576956729013486	0.0200198084009303	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
MGAT1	0.354950369665041	0.034576369161555	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
EEF1G	-0.206117616674444	0.281784787525876	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
ZFP36	1.35105680060366	0.000987230538299494	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	
YWHAQ	-0.603623380233928	0.0148754577502445	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	14-3-3 proteins
RPA1	-0.628969546378387	0.00137665458187109	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
PSMB4	-0.595276109105707	0.00466429372025803	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
GABRB3	-0.569317831835865	0.0533413812221442	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
DUSP1	2.33312429664792	0.000412243153645913	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	
EPHA2	1.2318938193407	0.000875288325105299	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	PI3K-Akt signaling pathway
CRABP2	0.573563554976178	0.0399792351432965	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
EEF1D	-0.322499806177435	0.191514944027114	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
PPP2R1B	0.56414253368188	0.0160719673603128	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
NTS	1.24415824416052	0.0012276523172395	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	
CORO1A	0.646575221183294	0.0150258785604039	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
MAT2A	-0.296964183993555	0.0102499469201923	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
DNAJA1	0.356811286280088	0.0050418246422014	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
YWHAB	-0.48491597042809	0.0830180136706023	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	14-3-3 proteins
SDC2	0.296108761400752	0.265545139667545	logFC_BrafG469A__vs__BrafWT	BrafG469A	unchanged	
GPC1	2.71335579192134	8.93041827019701e-05	logFC_BrafG469A__vs__BrafWT	BrafG469A	gain	
