query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	evidence_codes	intersection
Active_ARAF_combined	TRUE	7.07498534440465e-12	47	322	18	0.0559006211180124	0.382978723404255	huMAP3_14584.1_6	humap3.0	huMAP3_14584.1_6	9293	14566	X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X	PPP6C,PFDN6,TCP1,TUBG1,CCT6A,CCT5,CCT3,CCT8,CCT4,CCT2,PDCL,FBXW8,CCT6B,DCAF5,DNAAF10,CCT7,HGH1,PDCL3
Active_ARAF_combined	TRUE	3.654877511552e-11	22	322	13	0.0403726708074534	0.590909090909091	huMAP3_06559.1_2	humap3.0	huMAP3_06559.1_2	9293	6559	X,X,X,X,X,X,X,X,X,X,X,X,X	TCP1,CCT6A,CCT5,CCT3,CCT8,CCT4,CCT2,PDCL,FBXW8,CCT6B,DCAF5,DNAAF10,CCT7
Active_ARAF_combined	TRUE	1.57025953790287e-10	29	322	14	0.0434782608695652	0.482758620689655	huMAP3_10656.1_5	humap3.0	huMAP3_10656.1_5	9293	10649	X,X,X,X,X,X,X,X,X,X,X,X,X,X	TCP1,CCT6A,CCT5,CCT3,CCT8,CCT4,CCT2,PDCL,FBXW8,CCT6B,DCAF5,DNAAF10,CCT7,PDCL3
Active_ARAF_combined	TRUE	6.4712746758992e-10	21	322	12	0.0372670807453416	0.571428571428571	huMAP3_07938.1_3	humap3.0	huMAP3_07938.1_3	9293	7937	X,X,X,X,X,X,X,X,X,X,X,X	TCP1,CCT6A,CCT5,CCT3,CCT8,CCT4,CCT2,FBXW8,CCT6B,DCAF5,DNAAF10,CCT7
Active_ARAF_combined	TRUE	2.27895058586718e-09	28	322	13	0.0403726708074534	0.464285714285714	huMAP3_09191.1_4	humap3.0	huMAP3_09191.1_4	9293	9187	X,X,X,X,X,X,X,X,X,X,X,X,X	TCP1,CCT6A,CCT5,CCT3,CCT8,CCT4,CCT2,PDCL,FBXW8,CCT6B,DCAF5,DNAAF10,CCT7
Active_ARAF_combined	TRUE	0.000367380988890949	10	322	6	0.0186335403726708	0.6	huMAP3_03810.1_1	humap3.0	huMAP3_03810.1_1	9293	3811	X,X,X,X,X,X	TCP1,CCT6A,CCT8,CCT4,CCT2,DNAAF10
Active_ARAF_combined	TRUE	0.00296319474987931	8	322	5	0.015527950310559	0.625	huMAP3_11913.1_6	humap3.0	huMAP3_11913.1_6	9293	11901	X,X,X,X,X	IRS4,NISCH,PIK3R1,PIK3CA,PIK3R3
Active_ARAF_combined	TRUE	0.00296319474987931	8	322	5	0.015527950310559	0.625	huMAP3_01951.1_1	humap3.0	huMAP3_01951.1_1	9293	1952	X,X,X,X,X	CCT5,CCT3,FBXW8,DCAF5,CCT7
Active_ARAF_combined	TRUE	0.0101578121123088	23	322	7	0.0217391304347826	0.304347826086957	huMAP3_14681.1_6	humap3.0	huMAP3_14681.1_6	9293	14662	X,X,X,X,X,X,X	ZNF749,PRKAR1A,PRKACA,PRKACB,PRKAR1B,KLHL28,AKAP11
Active_ARAF_combined	TRUE	0.0139175939019976	24	322	7	0.0217391304347826	0.291666666666667	huMAP3_13774.1_6	humap3.0	huMAP3_13774.1_6	9293	13757	X,X,X,X,X,X,X	TOMM70,BAG2,STIP1,HSPH1,DNAJC7,BAG5,STUB1
Active_ARAF_combined	TRUE	0.0293675467844332	36	322	8	0.0248447204968944	0.222222222222222	huMAP3_09057.1_4	humap3.0	huMAP3_09057.1_4	9293	9054	X,X,X,X,X,X,X,X	PFDN6,URI1,POLR2L,DNAAF10,RPAP3,GPN2,PDRG1,UXT
Active_ARAF_combined	TRUE	0.0363527157977598	37	322	8	0.0248447204968944	0.216216216216216	huMAP3_08487.1_3	humap3.0	huMAP3_08487.1_3	9293	8486	X,X,X,X,X,X,X,X	PFDN6,URI1,POLR2L,DNAAF10,RPAP3,GPN2,PDRG1,UXT
Active_ARAF_combined	TRUE	0.0446755014097419	38	322	8	0.0248447204968944	0.210526315789474	huMAP3_06426.1_2	humap3.0	huMAP3_06426.1_2	9293	6426	X,X,X,X,X,X,X,X	PFDN6,URI1,POLR2L,DNAAF10,RPAP3,GPN2,PDRG1,UXT
Active_ARAF_combined	TRUE	0.0490799371602456	3	322	3	0.0093167701863354	1	huMAP3_05596.1_2	humap3.0	huMAP3_05596.1_2	9293	5597	X,X,X	UBR5,HUWE1,TANGO6
Active_ARAF_combined	TRUE	0.0490799371602456	3	322	3	0.0093167701863354	1	huMAP3_08398.1_3	humap3.0	huMAP3_08398.1_3	9293	8397	X,X,X	CRTAP,P3H1,P3H2
Active_ARAF_combined	TRUE	0.0490799371602456	3	322	3	0.0093167701863354	1	huMAP3_05581.1_2	humap3.0	huMAP3_05581.1_2	9293	5582	X,X,X	CRTAP,P3H1,P3H2
Active_BRAF_combined	TRUE	0.000317580229127213	23	428	9	0.0210280373831776	0.391304347826087	huMAP3_15260.1_6	humap3.0	huMAP3_15260.1_6	9293	15237	X,X,X,X,X,X,X,X,X	JUN,FOSL1,JUNB,JUND,EGR1,FOSB,TRIB1,FOS,ETS2
