query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	evidence_codes	intersection	subcell_localization	protein
actin_cytoskeleton__ARAF	TRUE	5.63290103842047e-22	8	22	8	0.363636363636364	1	actin_cytoskeleton_GO:0051086	GO:BP	chaperone mediated protein folding independent of cofactor	21026	13310	IMP,IMP,IMP,IMP,IMP,IMP,IMP,IMP	CCT2,CCT3,CCT4,CCT5,CCT6A,CCT7,CCT8,TCP1	actin_cytoskeleton	ARAF
actin_cytoskeleton__ARAF	TRUE	5.06660929352649e-21	9	22	8	0.363636363636364	0.888888888888889	actin_cytoskeleton_GO:1904874	GO:BP	positive regulation of telomerase RNA localization to Cajal body	21026	23796	IMP,HMP,IMP,HMP,HMP,HMP,HMP,IMP	CCT2,CCT3,CCT4,CCT5,CCT6A,CCT7,CCT8,TCP1	actin_cytoskeleton	ARAF
actin_cytoskeleton__ARAF	TRUE	2.53180466173233e-20	10	22	8	0.363636363636364	0.8	actin_cytoskeleton_GO:1904871	GO:BP	positive regulation of protein localization to Cajal body	21026	23793	HMP,HMP,HMP,HMP,HMP,HMP,HMP,HMP	CCT2,CCT3,CCT4,CCT5,CCT6A,CCT7,CCT8,TCP1	actin_cytoskeleton	ARAF
actin_cytoskeleton__ARAF	TRUE	2.53180466173233e-20	10	22	8	0.363636363636364	0.8	actin_cytoskeleton_GO:1904869	GO:BP	regulation of protein localization to Cajal body	21026	23791	HMP,HMP,HMP,HMP,HMP,HMP,HMP,HMP	CCT2,CCT3,CCT4,CCT5,CCT6A,CCT7,CCT8,TCP1	actin_cytoskeleton	ARAF
actin_cytoskeleton__ARAF	TRUE	2.78168791606335e-19	12	22	8	0.363636363636364	0.666666666666667	actin_cytoskeleton_GO:1904872	GO:BP	regulation of telomerase RNA localization to Cajal body	21026	23794	IMP,HMP,IMP,HMP,HMP,HMP,HMP,IMP	CCT2,CCT3,CCT4,CCT5,CCT6A,CCT7,CCT8,TCP1	actin_cytoskeleton	ARAF
actin_cytoskeleton__ARAF	TRUE	2.78168791606335e-19	12	22	8	0.363636363636364	0.666666666666667	actin_cytoskeleton_GO:1904867	GO:BP	protein localization to Cajal body	21026	23789	HMP,HMP,HMP,HMP,HMP,HMP,HMP,HMP	CCT2,CCT3,CCT4,CCT5,CCT6A,CCT7,CCT8,TCP1	actin_cytoskeleton	ARAF
actin_cytoskeleton__ARAF	TRUE	2.78168791606335e-19	12	22	8	0.363636363636364	0.666666666666667	actin_cytoskeleton_GO:1903405	GO:BP	protein localization to nuclear body	21026	22651	HMP,HMP,HMP,HMP,HMP,HMP,HMP,HMP	CCT2,CCT3,CCT4,CCT5,CCT6A,CCT7,CCT8,TCP1	actin_cytoskeleton	ARAF
actin_cytoskeleton__ARAF	TRUE	1.68555925397113e-18	14	22	8	0.363636363636364	0.571428571428571	actin_cytoskeleton_GO:1990173	GO:BP	protein localization to nucleoplasm	21026	24672	HMP,HMP,HMP,HMP,HMP,HMP,HMP,HMP	CCT2,CCT3,CCT4,CCT5,CCT6A,CCT7,CCT8,TCP1	actin_cytoskeleton	ARAF
actin_cytoskeleton__ARAF	TRUE	4.22980776443801e-17	19	22	8	0.363636363636364	0.421052631578947	actin_cytoskeleton_GO:0090685	GO:BP	RNA localization to nucleus	21026	18171	IMP,HMP,IMP,HMP,HMP,HMP,HMP,IMP	CCT2,CCT3,CCT4,CCT5,CCT6A,CCT7,CCT8,TCP1	actin_cytoskeleton	ARAF
actin_cytoskeleton__ARAF	TRUE	4.22980776443801e-17	19	22	8	0.363636363636364	0.421052631578947	actin_cytoskeleton_GO:0090670	GO:BP	RNA localization to Cajal body	21026	18160	IMP,HMP,IMP,HMP,HMP,HMP,HMP,IMP	CCT2,CCT3,CCT4,CCT5,CCT6A,CCT7,CCT8,TCP1	actin_cytoskeleton	ARAF
actin_cytoskeleton__ARAF	TRUE	4.22980776443801e-17	19	22	8	0.363636363636364	0.421052631578947	actin_cytoskeleton_GO:0090672	GO:BP	telomerase RNA localization	21026	18162	IMP,HMP,IMP,HMP,HMP,HMP,HMP,IMP	CCT2,CCT3,CCT4,CCT5,CCT6A,CCT7,CCT8,TCP1	actin_cytoskeleton	ARAF
actin_cytoskeleton__ARAF	TRUE	4.22980776443801e-17	19	22	8	0.363636363636364	0.421052631578947	actin_cytoskeleton_GO:0090671	GO:BP	telomerase RNA localization to Cajal body	21026	18161	IMP,HMP,IMP,HMP,HMP,HMP,HMP,IMP	CCT2,CCT3,CCT4,CCT5,CCT6A,CCT7,CCT8,TCP1	actin_cytoskeleton	ARAF
