inflammation	arthritis	hypertensive_disease	ischemia	rasopathies	NRASQ61R	Hydrops Fetalis	Hypertrophic Cardiomyopathy	HIV Infections	Vascular anomaly	Epidermal nevus	cholestasis	endometriosis	Gene.names
0	0	0	0	1	0	0	0	0	0	0	0	0	A2ML1
0	0	0	1	0	0	0	0	0	0	0	0	0	ABCA1
0	0	0	0	0	0	0	0	1	0	0	0	0	ABCB1
1	0	0	0	0	0	0	0	0	0	0	0	0	ABCB4
0	0	1	0	0	0	0	0	0	0	0	0	0	ABCC1
0	0	0	0	0	0	0	0	0	0	0	0	1	ABCC4
0	0	0	1	0	0	0	0	0	0	0	0	0	ABCC6
0	0	1	0	0	0	0	0	0	0	0	0	0	ABCC8
0	0	0	0	0	0	0	1	0	0	0	0	1	ABCC9
0	0	0	0	0	0	0	0	1	0	0	0	0	ABCE1
0	0	0	1	0	0	0	0	0	0	0	0	0	ABCG5
0	0	0	1	0	0	0	0	0	0	0	0	0	ABCG8
0	0	0	0	0	0	0	0	0	0	0	0	1	ABI3BP
0	0	1	1	0	0	0	0	0	0	0	0	0	ABO
0	1	0	0	0	0	0	0	0	0	0	0	0	ACAN
0	0	0	1	0	0	0	0	0	0	0	0	0	ACAT2
0	0	1	1	0	0	0	0	0	0	0	0	0	ACE
1	0	1	0	0	0	0	0	0	0	0	0	0	ACE2
0	0	0	1	0	0	0	0	0	0	0	0	0	ACOT2
0	0	0	1	0	0	0	0	0	0	0	0	0	ACP1
0	1	0	0	0	0	0	0	0	0	0	0	0	ACP3
0	1	0	0	0	0	0	0	0	0	0	0	0	ACRBP
0	0	0	0	0	0	1	0	0	0	0	0	0	ACTA1
0	0	0	0	0	0	0	0	0	0	0	1	1	ACTA2
0	0	0	1	0	0	0	0	0	0	0	0	0	ACTB
0	0	0	0	0	0	0	1	0	0	0	0	0	ACTC1
0	0	0	0	0	0	0	1	0	0	0	0	0	ACTN2
0	0	0	1	0	0	0	0	0	0	0	0	0	ADAMTS7
0	0	1	0	0	0	0	0	0	0	0	0	0	ADCY5
0	1	0	0	0	0	0	0	0	0	0	0	0	ADCY7
0	0	1	0	0	0	0	0	0	0	0	0	0	ADD1
0	0	1	0	0	0	0	0	0	0	0	0	0	ADD2
1	0	1	1	0	0	0	0	0	0	0	0	0	ADIPOQ
0	0	0	1	0	0	0	0	0	0	0	0	0	ADM2
0	0	1	0	0	0	0	0	0	0	0	0	0	ADRA1A
0	0	1	0	0	0	0	0	0	0	0	0	0	ADRA2A
0	0	1	0	0	0	0	0	0	0	0	0	0	ADRA2B
0	0	1	1	0	0	0	0	0	0	0	0	0	ADRB1
0	0	1	1	0	0	0	0	1	0	0	0	0	ADRB2
0	0	1	1	0	0	0	0	0	0	0	0	0	ADRB3
0	0	0	1	0	0	0	0	0	0	0	0	0	ADTRP
1	0	1	1	0	0	0	0	0	0	0	0	0	AGER
1	0	1	1	0	0	0	1	0	0	0	0	0	AGT
0	0	1	1	0	0	0	0	0	0	0	0	0	AGTR1
0	0	1	0	0	0	0	0	0	0	0	0	0	AGTR2
0	0	1	1	0	0	0	0	0	0	0	0	0	AGXT2
1	0	1	0	0	0	0	0	0	0	0	0	0	AHR
0	0	0	1	0	0	0	0	0	0	0	0	0	AHSG
0	0	1	0	0	0	0	0	0	0	0	0	0	AIF1
0	0	0	1	0	0	0	0	0	0	0	0	0	AK1
0	0	0	0	0	0	0	1	0	0	0	0	0	AKAP9
0	0	0	0	0	0	0	0	0	0	0	0	1	AKR1B1
0	0	0	0	0	0	0	0	0	0	0	0	1	AKR1C1
0	0	0	0	0	0	0	0	0	0	0	0	1	AKR1C2
0	0	0	0	0	0	0	0	0	0	0	0	1	AKR1C3
1	0	0	0	0	0	0	0	0	0	0	0	0	AKT1
0	0	0	0	0	1	0	0	0	0	0	0	0	AKT3
0	0	1	0	0	0	0	0	0	0	0	0	0	ALAD
0	0	1	0	0	0	0	0	1	0	0	1	0	ALB
0	0	1	0	0	0	0	0	0	0	0	0	0	ALDH2
0	0	0	1	0	0	0	0	0	0	0	0	0	ALDH6A1
0	0	0	1	0	0	0	0	0	0	0	0	0	ALDOA
0	1	0	0	0	0	0	0	0	0	0	0	0	ALOX12
0	0	1	0	0	0	0	0	0	0	0	0	0	ALOX15
0	0	0	1	0	0	0	0	0	0	0	0	0	ALOX5AP
0	0	0	0	0	0	0	1	0	0	0	0	0	ALPK3
0	0	0	0	0	0	0	0	1	0	0	0	0	ALYREF
0	0	0	1	0	0	0	0	0	0	0	0	0	AMPD1
1	0	1	0	0	0	0	0	0	0	0	0	0	ANGPT1
