diseaseName	diseaseUMLSCUI	source	numGenesAssociatedToDisease	intersection	intersectionSize	geneRatio	bgRatio	pvalue	totalGenesSource	p_adjusted	query
Noonan Syndrome	C0028326	CURATED	35	KRAS,PPP1CB,EPHA2,HRAS,RASA1,SHOC2,NRAS,RAF1,RRAS2,RIT1,BRAF,LZTR1,MAP2K1	13	13/723	13/14132	8.25356028799904e-08	14132	2.22667906030648e-05	RAS
Vascular anomaly	C0158570	CURATED	14	HRAS,KRAS,NRAS,RASA1,PIK3R1,BRAF,GNA11,MAP2K1,PIK3CA	9	9/723	9/14132	1.03086993532708e-07	14132	2.22667906030648e-05	RAS
Cardio-facio-cutaneous syndrome	C1275081	CURATED	14	KRAS,BRAF,RIT1,NRAS,MAP2K1,HRAS,RAF1,SHOC2	8	8/723	8/14132	2.23075631689895e-06	14132	0.000288031885278777	RAS
RASopathy	C5555857	CURATED	32	KRAS,NRAS,LZTR1,HRAS,PPP1CB,MAP2K1,RIT1,SHOC2,BRAF,RRAS2,RAF1	11	11/723	11/14132	2.66696190072942e-06	14132	0.000288031885278777	RAS
Costello syndrome (disorder)	C0587248	CURATED	13	MAP2K1,SHOC2,NRAS,RAF1,BRAF,HRAS,KRAS	7	7/723	7/14132	2.21157104813023e-05	14132	0.00161602677315245	RAS
Noonan syndrome and Noonan-related syndrome	C5681679	CURATED	25	RIT1,LZTR1,HRAS,SHOC2,MAP2K1,BRAF,KRAS,NRAS,RAF1	9	9/723	9/14132	2.2444816293784e-05	14132	0.00161602677315245	RAS
Noonan Syndrome 1	C4551602	CURATED	21	KRAS,NRAS,LZTR1,HRAS,BRAF,MAP2K1,RAF1,RIT1	8	8/723	8/14132	5.51418784536359e-05	14132	0.0034030416417101	RAS
Penile Neoplasms	C0030849	CURATED	4	HRAS,KRAS,PIK3CA,TP53	4	4/723	4/14132	0.000513130863835299	14132	0.0246302814640944	RAS
Megalencephaly cutis marmorata telangiectatica congenita	C1865285	CURATED	4	RIT1,AKT3,PIK3R2,PIK3CA	4	4/723	4/14132	0.000513130863835299	14132	0.0246302814640944	RAS
LEOPARD Syndrome	C0175704	CURATED	9	MAP2K1,RAF1,EPHA2,NRAS,BRAF	5	5/723	5/14132	0.000696215338528816	14132	0.0296113644498669	RAS
Squamous cell carcinoma of esophagus	C0279626	CURATED	127	CDKN1A,PLCE1,HTRA1,EFNB2,FKBP1A,TAGLN,CA2,TPM1,MAD2L1,PFN1,RB1,TP53,LZTS1,MGMT,BLVRB,TPI1,NOTCH3	17	17/723	17/14132	0.000753993076269758	14132	0.0296113644498669	RAS
PROSTATE CANCER, HEREDITARY, 1	C4722327	CURATED	10	TP53,NRAS,BRAF,HRAS,KRAS	5	5/723	5/14132	0.00111352835024688	14132	0.0400870206088877	RAS
HIV Infections	C0019693	CURATED	127	CCT5,HSPA9,LYN,PSMD13,CCT3,PSMD6,SIRT1,HLA-B,HSP90AA1,U2AF1,ARAP3,DNAJC7,CDKN1A,CCT7,RAB32,PSME4,BAG3,HSPH1,HSP90AB1,MDM2,PSMA6,PSMB4,PSMC5	23	23/977	23/14132	5.42586418627314e-05	14132	0.0260984067359738	RAF
Costello syndrome (disorder)	C0587248	CURATED	13	MAP2K1,MAP2K2,RAF1,BRAF,SPRED1,HRAS,KRAS	7	7/977	7/14132	0.000120936658890106	14132	0.0290852664630705	RAF
Vascular anomaly	C0158570	CURATED	14	HRAS,KRAS,PIK3R1,BRAF,MAP2K1,YES1,PIK3CA	7	7/977	7/14132	0.000199282239358301	14132	0.0319515857104475	RAF
Acute polyarticular juvenile rheumatoid arthritis	C0157916	CURATED	138	GADD45A,TNIK,ITGB5,PLAUR,HLA-DRB1,JUN,LPP,ASAP1,EGR1,FOS,FOSB,TFPI,KLF4,BTG3,CTTN,HSPA6,AREG,PROS1,SLC2A3,SH2D2A,CAMSAP1,DUSP1,CXCR4	23	23/783	23/14132	6.84163677740406e-06	14132	0.000619168128355068	MEK
Pauciarticular juvenile rheumatoid arthritis	C0157917	CURATED	138	PLAUR,BTG3,CAMSAP1,EGR1,TNIK,HLA-DRB1,JUN,TFPI,CXCR4,GADD45A,DUSP1,CTTN,SLC2A3,FOS,AREG,PROS1,SH2D2A,KLF4,FOSB,HSPA6,ITGB5,LPP,ASAP1	23	23/783	23/14132	6.84163677740406e-06	14132	0.000619168128355068	MEK
Monoarticular juvenile rheumatoid arthritis	C0157918	CURATED	138	DUSP1,TNIK,HSPA6,BTG3,EGR1,ITGB5,JUN,LPP,SH2D2A,CAMSAP1,AREG,PLAUR,CXCR4,KLF4,FOS,HLA-DRB1,PROS1,SLC2A3,TFPI,GADD45A,CTTN,FOSB,ASAP1	23	23/783	23/14132	6.84163677740406e-06	14132	0.000619168128355068	MEK
Juvenile Chronic Polyarthritis	C0409667	CURATED	138	TNIK,PROS1,BTG3,CAMSAP1,DUSP1,HLA-DRB1,ITGB5,LPP,ASAP1,PLAUR,SH2D2A,KLF4,EGR1,FOSB,GADD45A,CTTN,HSPA6,JUN,AREG,SLC2A3,CXCR4,FOS,TFPI	23	23/783	23/14132	6.84163677740406e-06	14132	0.000619168128355068	MEK
Liver carcinoma	C2239176	CURATED	646	KLF4,GDF15,IER2,PCLAF,DLGAP5,CSPG4,CPEB3,FOSB,KIF11,RRM2,BRAF,BSG,CLPTM1L,SLIT2,TFPI2,IRS2,SFN,CENPE,SH3GL1,BUB1,TGFB1,TTK,CDCA5,PHLDA1,FOS,TACC3,IGBP1,CCN1,JUN,SOD1,SPOP,CASP8,CCNA1,CCNB1,SPAG9,KIF14,KIF2C,EGR1,HRAS,HSPA5,BUB1B,MTRR,ZFP36,CA2,SLC38A1,TAGLN2,ACSL4,TROAP,YAP1,HSPA9,IL1RAP,RNF43,GTSE1,PLK1,CDCA3,ADAMTS1,CDC6,CDC25C	58	58/783	58/14132	0.000322807708598718	14132	0.0233712781025472	MEK
Costello syndrome (disorder)	C0587248	CURATED	13	MAP2K1,MAP2K2,RAF1,BRAF,SPRED1,HRAS	6	6/783	6/14132	0.000456751272772104	14132	0.0239681900234444	MEK
Dermatitis, Allergic Contact	C0162820	CURATED	71	ETS2,PHLDA1,NAT1,PIM1,SAT1,TAP2,ASRGL1,CASP8,SLC2A3,TMSB10,RAB32,GRK2,UPP1	13	13/783	13/14132	0.000480564441194046	14132	0.0239681900234444	MEK
Noonan Syndrome	C0028326	CURATED	35	EPHA2,HRAS,MAP2K2,CBL,RAF1,BRAF,SPRED1,SPRED2,MAP2K1	9	9/783	9/14132	0.000529683757424185	14132	0.0239681900234444	MEK
LEOPARD Syndrome	C0175704	CURATED	9	MAP2K1,RAF1,EPHA2,MAP2K2,BRAF	5	5/783	5/14132	0.000941606441648644	14132	0.0378735035418677	MEK
Cholestasis, Extrahepatic	C0005398	CURATED	33	MAPK1,MAPK3,MAPK8,TIMP1,TGFB1	5	5/158	5/14132	0.000478076599612572	14132	0.0329872853732675	ERK
LEOPARD Syndrome	C0175704	CURATED	9	MAP2K1,RAF1,EPHA2,BRAF	4	4/96	4/14132	2.477402339119e-05	14132	0.00131302323973307	RASRAFMEK
Costello syndrome (disorder)	C0587248	CURATED	13	MAP2K1,RAF1,BRAF,HRAS	4	4/96	4/14132	8.26997174522573e-05	14132	0.00138775223322321	RASRAFMEK
Noonan Syndrome	C0028326	CURATED	35	EPHA2,HRAS,RAF1,BRAF,MAP2K1	5	5/96	5/14132	8.90896137907987e-05	14132	0.00138775223322321	RASRAFMEK
Cardio-facio-cutaneous syndrome	C1275081	CURATED	14	BRAF,MAP2K1,HRAS,RAF1	4	4/96	4/14132	0.000104736017601751	14132	0.00138775223322321	RASRAFMEK
Noonan Syndrome 1	C4551602	CURATED	21	HRAS,BRAF,MAP2K1,RAF1	4	4/96	4/14132	0.000369708934534032	14132	0.00391891470606074	RASRAFMEK
Noonan syndrome and Noonan-related syndrome	C5681679	CURATED	25	HRAS,MAP2K1,BRAF,RAF1	4	4/96	4/14132	0.000626882062366459	14132	0.00462026228051637	RASRAFMEK
Carcinoma	C0007097	CURATED	163	SGK1,YWHAZ,LSR,PLAUR,CORO1A,SPINT2,HRAS	7	7/96	7/14132	0.000846119551695316	14132	0.00462026228051637	RASRAFMEK
Malignant epithelioma	C0553707	CURATED	163	SPINT2,LSR,HRAS,PLAUR,CORO1A,YWHAZ,SGK1	7	7/96	7/14132	0.000846119551695316	14132	0.00462026228051637	RASRAFMEK
Epithelioma	C1368683	CURATED	163	SPINT2,HRAS,PLAUR,CORO1A,YWHAZ,LSR,SGK1	7	7/96	7/14132	0.000846119551695316	14132	0.00462026228051637	RASRAFMEK
Glioma	C0017638	CURATED	109	BRAF,MAP2K1,HRAS,RAF1,CCN1,CDKN1A	6	6/96	6/14132	0.000871747600097428	14132	0.00462026228051637	RASRAFMEK
Malignant Glioma	C0555198	CURATED	112	RAF1,CDKN1A,HRAS,BRAF,MAP2K1,CCN1	6	6/96	6/14132	0.000985167883527323	14132	0.00474671798426801	RASRAFMEK
GIANT PIGMENTED HAIRY NEVUS	C1842036	CURATED	8	BRAF,RAF1,HRAS	3	3/96	3/14132	0.00124511278066343	14132	0.00532516111309762	RASRAFMEK
RASopathy	C5555857	CURATED	32	HRAS,MAP2K1,BRAF,RAF1	4	4/96	4/14132	0.00130617159377866	14132	0.00532516111309762	RASRAFMEK
HIV Infections	C0019693	CURATED	127	PSMD13,ARAP3,CDKN1A,RAB32,HSPH1,PSMC5	6	6/96	6/14132	0.00172384583856171	14132	0.00652598781741217	RASRAFMEK
Liver neoplasms	C0023903	CURATED	146	CDKN1A,EFNB2,HRAS,RAF1,BRAF,KRT18	6	6/96	6/14132	0.00316235512449173	14132	0.0111736547732041	RASRAFMEK
Vascular anomaly	C0158570	CURATED	14	HRAS,BRAF,MAP2K1	3	3/96	3/14132	0.00394057603032614	14132	0.0130531581004553	RASRAFMEK
Adenocarcinoma of pancreas (disorder)	C0281361	CURATED	17	MAP2K1,RAF1,CXCR4	3	3/96	3/14132	0.00581171596223388	14132	0.0181188791763762	RASRAFMEK
melanoma	C0025202	CURATED	250	TFPI2,GDF15,JUNB,BRAF,HRAS,RAC2,MAP2K1	7	7/96	7/14132	0.00711318856804529	14132	0.0209443885614667	RASRAFMEK
Lung Neoplasms	C0024121	CURATED	269	CDKN1A,EFNB2,JUNB,CCN1,BRAF,HRAS,RAF1	7	7/96	7/14132	0.0100105263505222	14132	0.0279240998198778	RASRAFMEK
Vascular anomaly	C0158570	CURATED	14	HRAS,KRAS,PIK3R1,BRAF,MAP2K1,PIK3CA	6	6/222	6/14132	1.63128298722231e-06	14132	0.00028221195678946	RASRAF
Costello syndrome (disorder)	C0587248	CURATED	13	MAP2K1,RAF1,BRAF,HRAS,KRAS	5	5/222	5/14132	3.79165833082563e-05	14132	0.00302350389818131	RASRAF
Cardio-facio-cutaneous syndrome	C1275081	CURATED	14	KRAS,BRAF,MAP2K1,HRAS,RAF1	5	5/222	5/14132	5.24307034366701e-05	14132	0.00302350389818131	RASRAF
Noonan Syndrome	C0028326	CURATED	35	KRAS,EPHA2,HRAS,RAF1,BRAF,MAP2K1	6	6/222	6/14132	0.000202153055726788	14132	0.0051827595365002	RASRAF
Carcinoma	C0007097	CURATED	163	KRAS,PKM,SGK1,YWHAZ,LSR,PLAUR,PIK3R1,CORO1A,FN1,SPINT2,HRAS	11	11/222	11/14132	0.000253994064318606	14132	0.0051827595365002	RASRAF
Malignant epithelioma	C0553707	CURATED	163	SPINT2,LSR,FN1,HRAS,KRAS,PLAUR,CORO1A,YWHAZ,SGK1,PIK3R1,PKM	11	11/222	11/14132	0.000253994064318606	14132	0.0051827595365002	RASRAF
Epithelioma	C1368683	CURATED	163	SPINT2,PIK3R1,HRAS,KRAS,PLAUR,CORO1A,YWHAZ,PKM,FN1,LSR,SGK1	11	11/222	11/14132	0.000253994064318606	14132	0.0051827595365002	RASRAF
Noonan Syndrome 1	C4551602	CURATED	21	KRAS,HRAS,BRAF,MAP2K1,RAF1	5	5/222	5/14132	0.000287533029577597	14132	0.0051827595365002	RASRAF
Prostatic Neoplasms	C0033578	CURATED	660	HRAS,SERINC3,CXCR4,RAF1,ROBO1,PIK3CA,PLAUR,LZTS1,SESN3,GDF15,KRAS,MTHFR,P4HB,TPT1,CSRP1,PIK3R1,PIK3R2,SIRT1,TMEFF2,MAP2K1,BRAF,U2AF1,CDKN1A,CHGA	24	24/222	24/14132	0.000292546061030177	14132	0.0051827595365002	RASRAF
LEOPARD Syndrome	C0175704	CURATED	9	MAP2K1,RAF1,EPHA2,BRAF	4	4/222	4/14132	0.000299581476098278	14132	0.0051827595365002	RASRAF
Congenital arteriovenous malformation	C0003857	CURATED	10	HRAS,MAP2K1,EPHB4,PIK3CA	4	4/222	4/14132	0.000423020224880813	14132	0.00665295444585279	RASRAF
Noonan syndrome and Noonan-related syndrome	C5681679	CURATED	25	HRAS,MAP2K1,BRAF,KRAS,RAF1	5	5/222	5/14132	0.000578532132841567	14132	0.00834050491513259	RASRAF
HIV Infections	C0019693	CURATED	127	LYN,PSMD13,SIRT1,U2AF1,ARAP3,CDKN1A,RAB32,HSPH1,PSMC5	9	9/222	9/14132	0.000883679674946205	14132	0.0117597372127457	RASRAF
Hydrops Fetalis, Non-Immune	C0455988	CURATED	50	HRAS,FOXC2,KRAS,DHCR24,EPHB4,ACTA1	6	6/222	6/14132	0.00109012357581423	14132	0.0131437422399116	RASRAF
Lung Neoplasms	C0024121	CURATED	269	JUND,CDKN1A,EFNB2,PIK3CA,JUNB,CCN1,KRAS,BRAF,HRAS,MTHFR,RAF1,ROBO1,CCNG1	13	13/222	13/14132	0.00113963083005014	14132	0.0131437422399116	RASRAF
Penile Neoplasms	C0030849	CURATED	4	HRAS,KRAS,PIK3CA	3	3/222	3/14132	0.00144365294855509	14132	0.0153578579891515	RASRAF
RASopathy	C5555857	CURATED	32	KRAS,HRAS,MAP2K1,BRAF,RAF1	5	5/222	5/14132	0.00150915367523455	14132	0.0153578579891515	RASRAF
Adenocarcinoma of pancreas (disorder)	C0281361	CURATED	17	MAP2K1,RAF1,RALB,CXCR4	4	4/222	4/14132	0.00221006457281245	14132	0.0212411761720308	RASRAF
Lip and Oral Cavity Carcinoma	C0220641	CURATED	21	HRAS,PIK3CA,BRAF,PREX2	4	4/222	4/14132	0.00412734065065067	14132	0.0375805227664509	RASRAF
Epidermal Nevus	C0334082	CURATED	7	HRAS,KRAS,PIK3CA	3	3/222	3/14132	0.0048976552874783	14132	0.040347350701607	RASRAF
Pilomyxoid astrocytoma	C1519086	CURATED	7	BRAF,RAF1,KRAS	3	3/222	3/14132	0.0048976552874783	14132	0.040347350701607	RASRAF
GIANT PIGMENTED HAIRY NEVUS	C1842036	CURATED	8	BRAF,RAF1,HRAS	3	3/222	3/14132	0.00646285326568931	14132	0.0457834202432227	RASRAF
NOONAN SYNDROME 3	C1860991	CURATED	8	KRAS,RAF1,HRAS	3	3/222	3/14132	0.00646285326568931	14132	0.0457834202432227	RASRAF
Adult Cholangiocarcinoma	C0280725	CURATED	48	THBS1,PREX2,BRAF,KRAS,MTHFR	5	5/222	5/14132	0.00671754502581655	14132	0.0457834202432227	RASRAF
Basal Cell Neoplasm	C0206710	CURATED	141	CHGA,UBAC2,FSCN1,MYH9,CSPG4,PIK3CA,PROCR,PELI2	8	8/222	8/14132	0.00688074523886584	14132	0.0457834202432227	RASRAF
Malignant basal cell tumor	C1368295	CURATED	141	CHGA,UBAC2,CSPG4,PELI2,MYH9,PROCR,PIK3CA,FSCN1	8	8/222	8/14132	0.00688074523886584	14132	0.0457834202432227	RASRAF
Glioma	C0017638	CURATED	109	BRAF,MAP2K1,HRAS,RAF1,CHAF1A,CCN1,CDKN1A	7	7/222	7/14132	0.00743663411644352	14132	0.0476495445238788	RASRAF
Costello syndrome (disorder)	C0587248	CURATED	13	MAP2K1,MAP2K2,RAF1,BRAF,SPRED1,HRAS	6	6/318	6/14132	6.20359289774045e-06	14132	0.00094135483583538	RAFMEK
Noonan Syndrome	C0028326	CURATED	35	EPHA2,HRAS,MAP2K2,RAF1,BRAF,SPRED1,SPRED2,MAP2K1	8	8/318	8/14132	1.06972140435839e-05	14132	0.00094135483583538	RAFMEK
LEOPARD Syndrome	C0175704	CURATED	9	MAP2K1,RAF1,EPHA2,MAP2K2,BRAF	5	5/318	5/14132	2.89949651815167e-05	14132	0.00170103795731564	RAFMEK
Noonan syndrome and Noonan-related syndrome	C5681679	CURATED	25	HRAS,MAP2K1,BRAF,MAP2K2,SPRED1,RAF1	6	6/318	6/14132	0.000205084584267895	14132	0.00741593806186396	RAFMEK
Cardio-facio-cutaneous syndrome	C1275081	CURATED	14	BRAF,MAP2K1,HRAS,MAP2K2,RAF1	5	5/318	5/14132	0.000210680058575681	14132	0.00741593806186396	RAFMEK
