Gene.names	logFC_APMS	padj_APMS	logFC_TbID	padj_TbID	bait	prey
AKT3	0.658364627285272	0.0895445806866781	-0.0205379219755654	0.758619606676329	NrasQ61K	no
BRAF	3.35461768829828	3.12626332549383e-05	3.35029861668667	1.85407269272283e-12	NrasQ61K	yes
DEPTOR	0.318961972309097	0.148836373205965	NA	NA	NrasQ61K	no
IRS2	0.448222535449947	0.051502601990395	-0.739759634775397	1.6449939030225e-06	NrasQ61K	no
PIK3CA	1.66462511862454	1.70528735433091e-07	1.49011715308973	4.56748735094477e-10	NrasQ61K	yes
PIK3CD	1.36442918923143	0.0544458612168819	0.441907876860419	0.000775291544024763	NrasQ61K	no
PIK3R1	0.342367980832411	0.0054713979260521	0.601189437698368	3.31235912563693e-07	NrasQ61K	no
PIK3R2	0.371146540641662	0.000633405237036169	0.425592958942754	1.14544127435359e-05	NrasQ61K	no
PIK3R3	0.00591179844882734	0.965990289823197	0.702868097882542	2.25425423276551e-06	NrasQ61K	no
RAF1	4.7732150795035	1.22280171553535e-10	3.32624779545896	7.51073948251926e-14	NrasQ61K	yes
AKT3	0.774459165811076	0.0481806177123205	1.04419123478852	3.53229465397775e-09	NrasQ61R	yes
BRAF	3.96715100397412	2.81660421868034e-06	2.57394259038192	2.06295010829826e-11	NrasQ61R	yes
DEPTOR	1.67634084910222	3.20689884628285e-06	NA	NA	NrasQ61R	yes
IRS2	2.57418031489239	7.36700246818853e-08	0.797944750388384	4.89825865511124e-07	NrasQ61R	yes
PIK3CA	2.59453447001857	4.87524419159457e-10	4.28829890001359	7.63091722865291e-15	NrasQ61R	yes
PIK3CD	3.16008150751078	0.000278918553328013	2.58705480082045	4.32256164787684e-11	NrasQ61R	yes
PIK3R1	1.0439019127266	6.25791293723989e-07	2.72976576475134	4.04402812373339e-14	NrasQ61R	yes
PIK3R2	1.17531192464311	4.83123432497766e-08	2.47964218454336	4.91626696055573e-12	NrasQ61R	yes
PIK3R3	0.134690919192496	0.415983501813268	0.916684936523879	1.5395320978057e-07	NrasQ61R	yes
RAF1	4.94666931167492	6.59984885274272e-11	2.80662059099108	2.34820677183515e-12	NrasQ61R	yes
AKT3	0.370969387818934	0.390597806751527	0.536653724347101	2.16129755072421e-06	NrasS17N	no
BRAF	1.79560209591521	0.0144112591504344	0.259640568503468	0.00758299322696398	NrasS17N	no
DEPTOR	1.12462893282267	0.000138108337466295	NA	NA	NrasS17N	yes
IRS2	1.05415745453456	0.000400999489070198	-0.616463458936832	2.86637881690097e-06	NrasS17N	yes
PIK3CA	0.247246958377605	0.0626316058687767	0.249674851034265	0.000564625062827701	NrasS17N	no
PIK3CD	0.76462186454296	0.297692260546328	-0.134385601026195	0.216442873257395	NrasS17N	no
PIK3R1	-0.574024380406767	0.000138108337466295	-0.157145895136612	0.0023877874845671	NrasS17N	no
PIK3R2	-0.432347849653978	0.000162546380280757	-0.586323480385491	8.43163950412659e-08	NrasS17N	no
PIK3R3	-0.950971535471478	6.97442583630878e-06	0.0642825258613646	0.513609620816207	NrasS17N	no
RAF1	-0.253677509326257	0.167012418193918	0.0873164097508716	0.101048698144617	NrasS17N	no
AKT3	0.00691699409427789	0.989553319253584	0.01886508186899	0.769544287134519	NrasWT	no
BRAF	1.35375131259125	0.0154541064791975	1.1431840166616	2.68978728611462e-07	NrasWT	yes
DEPTOR	0.951531112091389	0.000760453492492399	NA	NA	NrasWT	no
IRS2	0.878252115603009	0.00202318460285889	-0.771734098730011	1.5994375341957e-06	NrasWT	no
PIK3CA	0.126599903538009	0.401309141597544	0.244514912906544	0.000679786409454295	NrasWT	no
PIK3CD	-0.0940548880971084	0.935621440647695	-0.146283273320985	0.173935019478021	NrasWT	no
PIK3R1	-0.219325808833241	0.0451188582712208	0.176930048203503	0.00441172895879157	NrasWT	no
PIK3R2	-0.0310184440977146	0.769672938551351	0.0548094334702587	0.235276520794432	NrasWT	no
PIK3R3	-0.466783255274107	0.00103903697340611	0.275663302870825	0.00406321709116591	NrasWT	no
RAF1	2.22345470025341	6.23069213987185e-07	1.05854734621256	5.71203620259319e-09	NrasWT	yes
