bait	prey	significant	HCDP	subcell_localization	logFC_APMS	padj_APMS	logFC_TbID	padj_TbID
ERK2WT	AGO1	TbID	yes	stress_granule	0.111398311696904	0.590235394572672	0.990855607925608	1.68709671064378e-08
NrasQ61R	AGO2	AP-MS	yes	stress_granule	1.36099888021802	8.66018056207754e-06	-0.482788346751629	1.26549243700926e-05
HrasS17N	AGO2	AP-MS	yes	stress_granule	1.32650200689085	4.95064609852873e-06	-0.842470403037605	5.8954522291843e-09
ERK2AA	AGO2	shared	yes	stress_granule	1.1550503351325	3.16826231503466e-05	0.363577471687326	6.84696749052986e-05
ERK2WT	AGO2	shared	yes	stress_granule	0.669174701768789	0.00268167068907449	1.15442479447051	6.28255978176809e-09
ERK2WT	AGO3	shared	no	stress_granule	0.599119625495389	0.000346850410775933	1.13175172615664	1.78792955312765e-09
NrasQ61R	AGO3	AP-MS	no	stress_granule	1.10567520773746	2.06731967463973e-06	-0.47341184315754	5.99272633710103e-07
Raf1WT	AMER1	shared	yes	plasma_membrane	1.31065741500766	0.00239083310697557	0.507247860803155	0.0108118391334098
ArafWT	AMER1	shared	yes	plasma_membrane	1.39874377862703	0.000677837239586997	0.694757952901828	0.00105214185685401
ArafS214P	AMER1	AP-MS	yes	plasma_membrane	1.77391831516366	0.000107085141520683	0.299744719213728	0.0802267067039975
Raf1S257L	AMER1	AP-MS	yes	plasma_membrane	2.10454781981578	1.61254563197075e-05	0.171687115281189	0.330918756468521
Raf1S259F	AMER1	AP-MS	yes	plasma_membrane	1.7181810473696	0.000207740858430448	0.324629555328798	0.056737679370942
ArafS214P	APC	shared	yes	actin_cytoskeleton	1.18651431864201	6.15563759424418e-07	0.171405921685818	0.0196574971415631
ERK2AA	CHD8	TbID	yes	nucleus	0.391997642897916	0.348489272864683	0.931887192395477	5.72811116746005e-08
BrafG469A	CLTB	shared	no	early_endosome	0.52430465566664	0.000984578951536186	0.929352505673266	9.26840525123892e-07
ArafWT	CSNK2B	AP-MS	yes	cytosol	2.13845095806517	1.52518698937196e-09	-0.383167593801886	0.00585523701922315
ArafS214P	CSNK2B	AP-MS	yes	cytosol	1.91944854613477	1.49770393306627e-07	-0.0971439809768787	0.445117384710323
ERK2WT	CTBP2	AP-MS	no	unclassified	0.979081446449369	2.17170793541492e-05	0.00577046209525915	0.909526747163377
Raf1S259F	CUL3	TbID	yes	early_endosome	-0.0593594936536559	0.762285626246299	0.878153168478175	4.58821543700302e-05
BrafG469A	DKK2	TbID	no	NA	NA	NA	1.16861469378677	0.000660722714316708
BrafV600E	DKK2	TbID	no	NA	NA	NA	1.16843954485502	0.000338150899460678
