bait_name	prey_name	in_apms	edge
ERK2	DUSP1	yes	SIGNOR
ERK2	DUSP16	yes	SIGNOR
ERK2	DUSP5	yes	SIGNOR
ERK1	DUSP6	yes	IntAct & SIGNOR
ERK2	DUSP6	yes	IntAct & SIGNOR
ERK1	DUSP7	yes	IntAct & SIGNOR
ERK2	DUSP7	yes	IntAct & SIGNOR
ERK2	DUSP9	yes	IntAct & SIGNOR
ERK1	DUSP9	yes	IntAct & SIGNOR
ERK1	EIF4EBP1	yes	SIGNOR
ERK1	ERF	yes	IntAct & SIGNOR
ERK2	ERF	yes	IntAct & SIGNOR
ERK2	ETV3	yes	IntAct & SIGNOR
ERK1	ETV3	yes	IntAct & SIGNOR
ERK2	FGFR1	yes	SIGNOR
ERK1	ERK2	yes	IntAct & SIGNOR
ERK1	MKNK1	yes	IntAct & SIGNOR
ERK2	MKNK1	yes	IntAct & SIGNOR
ERK1	MKNK2	yes	IntAct & SIGNOR
ERK2	MKNK2	yes	IntAct & SIGNOR
ERK2	MRTFA	yes	IntAct & SIGNOR
ERK2	PARVA	yes	IntAct & SIGNOR
ERK1	PARVA	yes	IntAct & SIGNOR
ERK2	RPS6KA1	yes	IntAct & SIGNOR
ERK1	RPS6KA1	yes	IntAct & SIGNOR
ERK1	RPS6KA2	yes	IntAct & SIGNOR
ERK2	RPS6KA2	yes	IntAct & SIGNOR
ERK1	RPS6KA3	yes	IntAct & SIGNOR
ERK2	RPS6KA3	yes	IntAct & SIGNOR
ERK1	RPS6KA4	yes	IntAct & SIGNOR
ERK2	RPS6KA4	yes	IntAct & SIGNOR
ERK1	RPS6KA5	yes	IntAct & SIGNOR
ERK2	RPS6KA5	yes	IntAct & SIGNOR
