bait_name	prey_name	in_turboid	edge
ERK2	ADAM17	yes	SIGNOR
ERK2	DUSP1	yes	SIGNOR
ERK2	DUSP16	yes	SIGNOR
ERK2	DUSP5	yes	SIGNOR
ERK1	DUSP6	yes	IntAct & SIGNOR
ERK1	DUSP7	yes	IntAct & SIGNOR
ERK2	DUSP7	yes	IntAct & SIGNOR
ERK2	DUSP9	yes	IntAct & SIGNOR
ERK1	DUSP9	yes	IntAct & SIGNOR
ERK1	ERF	yes	IntAct & SIGNOR
ERK2	ERF	yes	IntAct & SIGNOR
ERK2	ETV3	yes	IntAct & SIGNOR
ERK1	ETV3	yes	IntAct & SIGNOR
ERK2	GAB1	yes	SIGNOR
ERK1	GAB1	yes	SIGNOR
ERK1	MEK2	yes	SIGNOR
ERK2	MEK2	yes	SIGNOR
ERK1	MKNK1	yes	IntAct & SIGNOR
ERK2	MKNK1	yes	IntAct & SIGNOR
ERK1	MKNK2	yes	IntAct & SIGNOR
ERK2	MKNK2	yes	IntAct & SIGNOR
ERK2	MRTFA	yes	IntAct & SIGNOR
ERK1	PEA15	yes	SIGNOR
ERK2	PEA15	yes	SIGNOR
ERK2	RPS6KA1	yes	IntAct & SIGNOR
ERK1	RPS6KA1	yes	IntAct & SIGNOR
ERK1	RPS6KA2	yes	IntAct & SIGNOR
ERK2	RPS6KA2	yes	IntAct & SIGNOR
ERK1	RPS6KA3	yes	IntAct & SIGNOR
ERK2	RPS6KA3	yes	IntAct & SIGNOR
ERK1	RPS6KA5	yes	IntAct & SIGNOR
ERK2	RPS6KA5	yes	IntAct & SIGNOR
ERK2	SGK1	yes	SIGNOR
ERK1	TCF3	yes	SIGNOR
ERK2	TCF3	yes	SIGNOR
ERK1	THRB	yes	SIGNOR
ERK2	TOB1	yes	SIGNOR
