ERK	MEK	RAF	RAS	Gene.names
AAK1	0	1	0	0	AAK1
AAMDC	0	0	0	1	AAMDC
ABCB11	0	1	1	1	ABCB11
ABCB6	0	1	0	0	ABCB6
ABHD13	0	0	1	1	ABHD13
ABHD14B	0	0	0	1	ABHD14B
ABHD15	0	0	1	0	ABHD15
ABHD17C	0	0	0	1	ABHD17C
ABHD18	0	0	0	1	ABHD18
ABHD3	0	1	0	1	ABHD3
ABLIM1	0	1	0	0	ABLIM1
ACAN	0	0	1	1	ACAN
ACBD4	0	0	0	1	ACBD4
ACOT1	0	0	0	1	ACOT1
ACSF2	0	0	0	1	ACSF2
ACSL4	0	1	1	0	ACSL4
ACSS3	0	1	0	0	ACSS3
ACTA1	0	0	1	1	ACTA1
ACTBL2	0	1	1	1	ACTBL2
ACTL8	0	1	1	1	ACTL8
ACTN1	0	0	1	1	ACTN1
ACTR1B	0	1	0	0	ACTR1B
ACVR1	0	0	0	1	ACVR1
ACY1	0	0	0	1	ACY1
ADAMTS1	0	1	1	0	ADAMTS1
ADAMTS17	0	0	0	1	ADAMTS17
ADGRB1	0	1	0	0	ADGRB1
ADGRE5	0	1	0	0	ADGRE5
ADGRL1	1	0	0	1	ADGRL1
ADGRL3	1	0	0	0	ADGRL3
ADGRV1	0	0	1	0	ADGRV1
ADIPOR2	0	0	1	0	ADIPOR2
ADPRHL1	0	0	1	1	ADPRHL1
AEN	0	0	1	1	AEN
AFDN	0	0	0	1	AFDN
AGAP2	0	0	1	0	AGAP2
AGO2	0	0	0	1	AGO2
AGO3	0	0	0	1	AGO3
AGPAT2	0	1	0	0	AGPAT2
AGPAT4	0	1	0	1	AGPAT4
AHCYL1	0	1	0	1	AHCYL1
AHCYL2	0	0	0	1	AHCYL2
AHR	0	0	1	0	AHR
AHRR	0	0	1	0	AHRR
AIDA	0	0	1	1	AIDA
AIG1	0	0	0	1	AIG1
AIP	0	1	1	0	AIP
AK5	0	0	0	1	AK5
AKAP11	0	0	1	0	AKAP11
AKAP13	0	1	0	0	AKAP13
AKAP8L	0	0	1	0	AKAP8L
AKT1S1	0	0	0	1	AKT1S1
AKT3	0	0	0	1	AKT3
ALG1	0	1	0	0	ALG1
ALG10;ALG10B	0	1	0	0	ALG10;ALG10B
ALG11	0	1	1	1	ALG11
ALG6	0	1	0	0	ALG6
ALG8	0	1	0	0	ALG8
ALOXE3	0	0	0	1	ALOXE3
AMER1	0	0	1	0	AMER1
AMFR	0	0	1	0	AMFR
AMOT	1	0	0	0	AMOT
ANAPC4	0	0	1	0	ANAPC4
ANGPT2	0	1	1	0	ANGPT2
ANKH	0	0	1	1	ANKH
ANKMY2	0	0	1	0	ANKMY2
ANKRA2	0	1	0	0	ANKRA2
ANKRD10	0	0	0	1	ANKRD10
ANKRD18A	0	0	1	0	ANKRD18A
ANKRD22	0	0	1	0	ANKRD22
ANKRD28	0	0	1	0	ANKRD28
ANKRD34A	1	0	0	0	ANKRD34A
ANKRD40	0	0	1	0	ANKRD40
ANKRD49	0	1	1	1	ANKRD49
ANKRD52	0	0	1	0	ANKRD52
ANKS1A	0	1	0	0	ANKS1A
ANKS1B	0	1	0	0	ANKS1B
ANKS3	0	0	1	0	ANKS3
ANO8	1	0	0	0	ANO8
ANP32A	0	0	0	1	ANP32A
ANP32B	0	0	0	1	ANP32B
ANXA1	0	1	0	0	ANXA1
ANXA2	0	1	1	0	ANXA2
ANXA5	0	0	1	1	ANXA5
AP3B1	0	0	0	1	AP3B1
AP3S2	0	1	0	0	AP3S2
APBA1	0	1	0	0	APBA1
APC	0	0	1	0	APC
APEX2	0	0	1	0	APEX2
APMAP	0	1	0	1	APMAP
APOBEC3B	0	1	1	1	APOBEC3B
APOBEC3D	0	0	1	0	APOBEC3D
APOLD1	0	0	1	0	APOLD1
ARAF	0	1	1	1	ARAF
ARAP3	0	1	1	1	ARAP3
ARC	0	1	1	0	ARC
ARCN1	0	1	0	0	ARCN1
AREG	0	1	1	0	AREG
ARF1	0	0	1	0	ARF1
ARF4	0	0	1	0	ARF4
ARFGAP1	0	1	0	0	ARFGAP1
ARFIP2	0	1	0	0	ARFIP2
ARHGAP11A	0	0	0	1	ARHGAP11A
ARHGAP18	0	0	0	1	ARHGAP18
ARHGAP19	0	1	0	0	ARHGAP19
ARHGAP28	0	0	0	1	ARHGAP28
ARHGAP29	0	1	0	0	ARHGAP29
ARHGAP31	1	1	0	0	ARHGAP31
ARHGAP42	0	1	1	0	ARHGAP42
ARHGAP45	0	1	0	0	ARHGAP45
ARHGEF16	0	1	0	0	ARHGEF16
ARHGEF17	0	0	0	1	ARHGEF17
ARHGEF26	1	0	0	0	ARHGEF26
ARHGEF40	0	0	1	1	ARHGEF40
ARHGEF6	0	0	0	1	ARHGEF6
ARHGEF7	0	1	0	1	ARHGEF7
ARID3A	0	0	0	1	ARID3A
ARIH1	0	0	0	1	ARIH1
ARIH2	0	0	0	1	ARIH2
ARL15	0	0	0	1	ARL15
ARL5B	0	1	1	0	ARL5B
ARL6IP1	1	1	1	0	ARL6IP1
ARL6IP6	0	0	0	1	ARL6IP6
ARMC5	0	0	1	0	ARMC5
ARMC6	0	0	1	0	ARMC6
ARMCX3	0	0	1	0	ARMCX3
ARPC4	0	1	0	1	ARPC4
ARPC5L	0	0	0	1	ARPC5L
