ERK	MEK	RAF	RAS	Gene.names
AAK1	0	1	0	0	AAK1
ABCB11	0	0	1	0	ABCB11
ABHD13	0	0	0	1	ABHD13
ABHD17C	0	0	1	0	ABHD17C
ABHD3	1	0	0	1	ABHD3
ACBD4	0	0	0	1	ACBD4
ACBD7	0	0	0	1	ACBD7
ACTA1	0	0	1	1	ACTA1
ACTBL2	0	0	1	0	ACTBL2
ACTL8	1	1	1	1	ACTL8
ACTN1	0	0	1	0	ACTN1
ADAM17	1	0	0	0	ADAM17
ADAMTS1	0	0	1	0	ADAMTS1
ADGRL1	1	0	0	0	ADGRL1
ADIPOR2	0	1	0	0	ADIPOR2
ADPRHL1	0	0	1	0	ADPRHL1
ADRM1	1	0	0	0	ADRM1
AEN	1	0	1	0	AEN
AFG2B	0	0	1	0	AFG2B
AGO2	1	0	0	1	AGO2
AHCYL1	0	1	0	1	AHCYL1
AHCYL2	0	0	0	1	AHCYL2
AIP	0	0	1	0	AIP
AKAP13	0	1	0	0	AKAP13
AKT1S1	0	0	0	1	AKT1S1
ALDH16A1	0	0	1	0	ALDH16A1
ALG11	0	0	1	0	ALG11
ALG6	0	1	0	0	ALG6
ALKBH2	0	0	0	1	ALKBH2
ALPL	0	0	0	1	ALPL
AMH	0	0	1	0	AMH
AMZ1	0	0	0	1	AMZ1
ANKMY2	0	0	1	0	ANKMY2
ANKRA2	0	1	0	0	ANKRA2
ANKRD34A	1	0	0	0	ANKRD34A
ANKRD40	0	0	1	0	ANKRD40
ANKRD49	0	0	1	0	ANKRD49
ANKRD52	0	1	0	0	ANKRD52
ANP32A	0	0	0	1	ANP32A
ANP32B	0	0	0	1	ANP32B
ANXA5	0	0	1	0	ANXA5
ANXA7	0	1	1	0	ANXA7
ANXA8L1	0	0	1	0	ANXA8L1
AP3B1	0	0	0	1	AP3B1
AP3M1	0	0	1	0	AP3M1
APBA1	0	0	1	0	APBA1
APEX2	0	0	0	1	APEX2
APMAP	0	0	1	0	APMAP
APOBEC3D	0	0	0	1	APOBEC3D
APOOL	0	0	0	1	APOOL
APRT	0	0	1	0	APRT
APTX	0	0	0	1	APTX
AQR	0	0	1	0	AQR
ARAF	0	1	1	0	ARAF
AREG	0	0	1	1	AREG
ARF1	0	0	1	0	ARF1
ARFIP2	0	1	0	0	ARFIP2
ARHGAP17	0	1	0	0	ARHGAP17
ARHGAP8	0	0	0	1	ARHGAP8
ARHGEF17	0	0	0	1	ARHGEF17
ARHGEF26	1	0	0	0	ARHGEF26
ARIH1	0	0	0	1	ARIH1
ARIH2	0	0	0	1	ARIH2
ARL8B	0	0	1	0	ARL8B
ARMCX3	0	0	1	0	ARMCX3
ARPIN	0	0	1	0	ARPIN
ARSB	0	0	0	1	ARSB
ASB6	0	0	1	0	ASB6
ASDURF	0	0	1	0	ASDURF
ASH1L	0	0	0	1	ASH1L
ASNS	0	0	1	0	ASNS
ASPHD1	0	0	1	0	ASPHD1
ASPM	1	0	1	0	ASPM
ATAT1	0	0	0	1	ATAT1
ATG3	0	1	0	1	ATG3
ATG4B	0	0	1	0	ATG4B
ATP5PD	0	0	1	0	ATP5PD
ATXN7L1	0	0	1	1	ATXN7L1
ATXN7L2	1	0	0	0	ATXN7L2
ATXN7L3	0	0	0	1	ATXN7L3
AZI2	0	1	0	0	AZI2
B3GALT1	0	0	0	1	B3GALT1
BAG2	0	0	1	0	BAG2
BAG5	0	0	1	0	BAG5
BAHCC1	0	0	0	1	BAHCC1
BAK1	0	0	0	1	BAK1
BAMBI	0	0	1	0	BAMBI
BCAR1	0	1	0	0	BCAR1
BCKDK	0	0	1	0	BCKDK
BCL2L11	1	0	0	0	BCL2L11
BCL2L12	0	0	0	1	BCL2L12
BCL7C	1	0	0	1	BCL7C
BFSP1	0	1	0	0	BFSP1
BHLHE41	0	0	0	1	BHLHE41
BLVRB	0	0	0	1	BLVRB
BMP1	0	0	0	1	BMP1
BRAF	0	1	1	0	BRAF
BRI3BP	0	0	1	0	BRI3BP
BRSK2	0	0	0	1	BRSK2
BTBD6	1	1	1	0	BTBD6
BUB1	0	1	0	0	BUB1
BUD31	0	0	1	0	BUD31
C1GALT1	0	0	0	1	C1GALT1
C1orf21	0	0	0	1	C1orf21
C1QL1	0	0	0	1	C1QL1
C4A;C4B	1	0	1	1	C4A;C4B
C6orf136	0	0	1	0	C6orf136
CACYBP	0	0	1	0	CACYBP
CALM1;CALM2;CALM3	0	0	0	1	CALM1;CALM2;CALM3
CAMK1	0	0	1	0	CAMK1
CAMKV	0	0	0	1	CAMKV
