ERK	MEK	RAF	RAS	Gene.names
ABHD17C	1	0	1	0	ABHD17C
ABR	0	0	1	0	ABR
ACAP3	0	0	1	0	ACAP3
ACTL8	0	0	1	0	ACTL8
ACVR1	0	0	0	1	ACVR1
ADAM17	1	0	0	0	ADAM17
ADAMTS17	0	0	0	1	ADAMTS17
ADAMTS19	0	0	1	0	ADAMTS19
ADGRL1	1	0	0	0	ADGRL1
ADGRL2	1	0	0	0	ADGRL2
ADGRL3	1	0	0	0	ADGRL3
ADPRHL1	0	0	1	1	ADPRHL1
AEN	0	0	1	0	AEN
AGO1	1	0	0	0	AGO1
AGO2	1	0	0	0	AGO2
AGO3	1	0	0	0	AGO3
AGPAT3	0	0	0	1	AGPAT3
AHCYL1	0	1	0	1	AHCYL1
AIP	0	0	1	0	AIP
AK6	0	0	0	1	AK6
AKAP11	0	0	1	0	AKAP11
AKAP8L	0	0	1	0	AKAP8L
AKT1S1	0	0	0	1	AKT1S1
ALDH1L1	0	0	0	1	ALDH1L1
ALG11	0	0	1	0	ALG11
ALOX12B	0	0	1	0	ALOX12B
ALOXE3	0	0	0	1	ALOXE3
ALPP;ALPG	0	0	1	0	ALPP;ALPG
AMER1	0	0	1	0	AMER1
AMH	0	0	1	0	AMH
ANAPC13	0	0	0	1	ANAPC13
ANKH	0	0	1	0	ANKH
ANKMY2	0	0	1	0	ANKMY2
ANKRA2	0	1	0	0	ANKRA2
ANKRD10	1	0	1	0	ANKRD10
ANKRD28	0	0	1	0	ANKRD28
ANKRD34A	1	0	0	0	ANKRD34A
ANKRD40	0	0	1	0	ANKRD40
ANKRD49	0	0	1	0	ANKRD49
ANKRD52	0	1	1	0	ANKRD52
ANO8	1	0	0	0	ANO8
ANP32B	0	0	0	1	ANP32B
ANXA2	0	0	0	1	ANXA2
ANXA6	0	0	0	1	ANXA6
AP3M1	0	0	1	0	AP3M1
APBA1	0	0	1	0	APBA1
APBA2	0	0	1	0	APBA2
ARAF	0	1	1	1	ARAF
ARC	1	0	0	0	ARC
ARF1	0	1	1	0	ARF1
ARFIP2	0	1	0	0	ARFIP2
ARHGAP29	1	0	0	0	ARHGAP29
ARHGAP31	1	0	0	0	ARHGAP31
ARHGEF26	1	0	0	0	ARHGEF26
ARHGEF6	0	0	0	1	ARHGEF6
ARIH1	0	0	0	1	ARIH1
ARIH2	0	0	0	1	ARIH2
ARL6IP1	0	0	0	1	ARL6IP1
ARL6IP6	0	0	0	1	ARL6IP6
ARMC5	0	0	1	0	ARMC5
ARMCX3	0	0	1	0	ARMCX3
ARMCX5	0	0	1	0	ARMCX5
ARRDC4	1	0	0	0	ARRDC4
ARV1	0	0	1	1	ARV1
ASB6	0	0	1	1	ASB6
ASDURF	0	0	1	0	ASDURF
ASPM	0	0	1	0	ASPM
ATAT1	0	0	1	0	ATAT1
ATG3	0	0	0	1	ATG3
ATOX1	0	0	0	1	ATOX1
ATP5F1E;ATP5F1EP2	0	0	0	1	ATP5F1E;ATP5F1EP2
ATP9B	0	1	1	0	ATP9B
ATXN7	1	0	0	0	ATXN7
ATXN7L1	1	0	0	0	ATXN7L1
ATXN7L2	1	0	0	0	ATXN7L2
ATXN7L3	1	0	0	0	ATXN7L3
AUNIP	1	0	0	0	AUNIP
B3GALT1	0	0	1	0	B3GALT1
B4GALT7	0	1	0	0	B4GALT7
BACH1	1	0	0	0	BACH1
BAG2	0	0	1	0	BAG2
BAG5	0	0	1	0	BAG5
BAMBI	0	0	1	0	BAMBI
BCL2L12	0	0	0	1	BCL2L12
BCR	0	0	1	0	BCR
BFSP1	0	1	0	0	BFSP1
BHLHE41	0	0	0	1	BHLHE41
BMP1	0	0	0	1	BMP1
BMP8B;BMP8A	1	0	0	0	BMP8B;BMP8A
BRAF	0	1	1	1	BRAF
BTBD6	1	1	1	0	BTBD6
BTBD9	0	0	1	0	BTBD9
BTG3	0	0	1	0	BTG3
C12orf56	0	0	1	0	C12orf56
C15orf39	1	0	0	0	C15orf39
C17orf75	0	0	1	0	C17orf75
C19orf53	0	0	0	1	C19orf53
C1GALT1	0	0	0	1	C1GALT1
C1orf21	0	0	0	1	C1orf21
C4A;C4B	0	1	1	0	C4A;C4B
C7orf50	0	0	0	1	C7orf50
CA2	0	0	0	1	CA2
CA5B	0	1	0	0	CA5B
CACYBP	0	0	1	0	CACYBP
CAMK1	0	0	1	0	CAMK1
CAMKV	0	0	0	1	CAMKV
CAMSAP2	1	0	0	0	CAMSAP2
CARMIL2	0	1	0	0	CARMIL2
CBARP	0	0	0	1	CBARP
CBLB	0	0	0	1	CBLB
CCAR2	1	0	0	0	CCAR2
CCDC102B	0	1	0	0	CCDC102B
CCDC137	0	0	0	1	CCDC137
CCDC138	1	0	0	0	CCDC138
CCDC22	0	1	0	0	CCDC22
CCDC51	0	0	1	0	CCDC51
CCDC85B	0	0	1	0	CCDC85B
CCNG1	0	0	1	0	CCNG1
CCNYL1	0	0	0	1	CCNYL1
CCP110	1	0	0	0	CCP110
CCT2	0	0	1	0	CCT2
CCT3	0	0	1	0	CCT3
CCT6A	0	0	1	0	CCT6A
CCT6B	0	0	1	0	CCT6B
CCT7	0	0	1	0	CCT7
CCT8	0	0	1	0	CCT8
CD59	0	0	0	1	CD59
CDC123	1	1	1	0	CDC123
CDC16	0	0	1	0	CDC16
CDC34	0	0	0	1	CDC34
CDC37	1	1	1	0	CDC37
