tier	prey	n	type	Prey	percent
RAS	tier-specific	247	WT	tier-specific	76.95
RAF	tier-specific	325	WT	tier-specific	71.43
MEK	tier-specific	75	WT	tier-specific	45.18
ERK	tier-specific	185	WT	tier-specific	71.71
RAS	RASRAFMEK	15	WT	inter-tier	4.67
RAF	RASRAFMEK	15	WT	inter-tier	3.3
MEK	RASRAFMEK	15	WT	inter-tier	9.04
RAS	RASRAF	34	WT	inter-tier	10.59
RAF	RASRAF	34	WT	inter-tier	7.47
RAF	RAFMEK	29	WT	inter-tier	6.37
MEK	RAFMEK	29	WT	inter-tier	17.47
MEK	MEKERK	16	WT	inter-tier	9.64
ERK	MEKERK	16	WT	inter-tier	6.2
RAS	other	25	WT	inter-tier	7.79
RAF	other	52	WT	inter-tier	11.43
MEK	other	31	WT	inter-tier	18.67
ERK	other	57	WT	inter-tier	22.09
RAS	tier-specific	334	CI	tier-specific	73.73
RAF	tier-specific	374	CI	tier-specific	73.62
MEK	tier-specific	147	CI	tier-specific	65.62
ERK	tier-specific	98	CI	tier-specific	48.28
RAS	RASRAFMEK	3	CI	inter-tier	0.66
RAF	RASRAFMEK	3	CI	inter-tier	0.59
MEK	RASRAFMEK	3	CI	inter-tier	1.34
RAS	RASRAF	35	CI	inter-tier	7.73
RAF	RASRAF	35	CI	inter-tier	6.89
RAF	RAFMEK	31	CI	inter-tier	6.1
MEK	RAFMEK	31	CI	inter-tier	13.84
MEK	MEKERK	5	CI	inter-tier	2.23
ERK	MEKERK	5	CI	inter-tier	2.46
RAS	other	81	CI	inter-tier	17.88
RAF	other	65	CI	inter-tier	12.8
MEK	other	38	CI	inter-tier	16.96
ERK	other	100	CI	inter-tier	49.26
RAS	tier-specific	452	CA	tier-specific	62.52
RAF	tier-specific	523	CA	tier-specific	53.53
MEK	tier-specific	427	CA	tier-specific	54.53
ERK	tier-specific	80	CA	tier-specific	50.63
RAS	RASRAFMEK	78	CA	inter-tier	10.79
RAF	RASRAFMEK	78	CA	inter-tier	7.98
MEK	RASRAFMEK	78	CA	inter-tier	9.96
RAS	RASRAF	107	CA	inter-tier	14.8
RAF	RASRAF	107	CA	inter-tier	10.95
RAF	RAFMEK	210	CA	inter-tier	21.49
MEK	RAFMEK	210	CA	inter-tier	26.82
MEK	MEKERK	3	CA	inter-tier	0.38
ERK	MEKERK	3	CA	inter-tier	1.9
RAS	other	86	CA	inter-tier	11.89
RAF	other	59	CA	inter-tier	6.04
MEK	other	65	CA	inter-tier	8.3
ERK	other	75	CA	inter-tier	47.47
