tier	prey	n	type	Prey	percent	method
RAS	tier-specific	102	WT	tier-specific	87.18	AP-MS
RAF	tier-specific	235	WT	tier-specific	81.88	AP-MS
MEK	tier-specific	24	WT	tier-specific	41.38	AP-MS
ERK	tier-specific	103	WT	tier-specific	75.74	AP-MS
RAS	RASRAFMEK	4	WT	inter-tier	3.42	AP-MS
RAF	RASRAFMEK	4	WT	inter-tier	1.39	AP-MS
MEK	RASRAFMEK	4	WT	inter-tier	6.9	AP-MS
RAS	RASRAF	4	WT	inter-tier	3.42	AP-MS
RAF	RASRAF	4	WT	inter-tier	1.39	AP-MS
RAF	RAFMEK	17	WT	inter-tier	5.92	AP-MS
MEK	RAFMEK	17	WT	inter-tier	29.31	AP-MS
MEK	MEKERK	3	WT	inter-tier	5.17	AP-MS
ERK	MEKERK	3	WT	inter-tier	2.21	AP-MS
RAS	other	7	WT	inter-tier	5.98	AP-MS
RAF	other	27	WT	inter-tier	9.41	AP-MS
MEK	other	10	WT	inter-tier	17.24	AP-MS
ERK	other	30	WT	inter-tier	22.06	AP-MS
RAS	tier-specific	166	CI	tier-specific	81.77	AP-MS
RAF	tier-specific	198	CI	tier-specific	83.54	AP-MS
MEK	tier-specific	44	CI	tier-specific	59.46	AP-MS
ERK	tier-specific	60	CI	tier-specific	64.52	AP-MS
RAS	RASRAFMEK	0	CI	inter-tier	0	AP-MS
RAF	RASRAFMEK	0	CI	inter-tier	0	AP-MS
MEK	RASRAFMEK	0	CI	inter-tier	0	AP-MS
RAS	RASRAF	10	CI	inter-tier	4.93	AP-MS
RAF	RASRAF	10	CI	inter-tier	4.22	AP-MS
RAF	RAFMEK	18	CI	inter-tier	7.59	AP-MS
MEK	RAFMEK	18	CI	inter-tier	24.32	AP-MS
MEK	MEKERK	1	CI	inter-tier	1.35	AP-MS
ERK	MEKERK	1	CI	inter-tier	1.08	AP-MS
RAS	other	27	CI	inter-tier	13.3	AP-MS
RAF	other	11	CI	inter-tier	4.64	AP-MS
MEK	other	11	CI	inter-tier	14.86	AP-MS
ERK	other	32	CI	inter-tier	34.41	AP-MS
RAS	tier-specific	243	CA	tier-specific	73.19	AP-MS
RAF	tier-specific	302	CA	tier-specific	64.39	AP-MS
MEK	tier-specific	239	CA	tier-specific	61.44	AP-MS
ERK	tier-specific	40	CA	tier-specific	56.34	AP-MS
RAS	RASRAFMEK	31	CA	inter-tier	9.34	AP-MS
RAF	RASRAFMEK	31	CA	inter-tier	6.61	AP-MS
MEK	RASRAFMEK	31	CA	inter-tier	7.97	AP-MS
RAS	RASRAF	25	CA	inter-tier	7.53	AP-MS
RAF	RASRAF	25	CA	inter-tier	5.33	AP-MS
RAF	RAFMEK	94	CA	inter-tier	20.04	AP-MS
MEK	RAFMEK	94	CA	inter-tier	24.16	AP-MS
MEK	MEKERK	2	CA	inter-tier	0.51	AP-MS
ERK	MEKERK	2	CA	inter-tier	2.82	AP-MS
RAS	other	33	CA	inter-tier	9.94	AP-MS
RAF	other	17	CA	inter-tier	3.62	AP-MS
MEK	other	23	CA	inter-tier	5.91	AP-MS
ERK	other	29	CA	inter-tier	40.85	AP-MS
RAS	tier-specific	158	WT	tier-specific	72.81	TbID
RAF	tier-specific	150	WT	tier-specific	65.79	TbID
