diseaseName	diseaseUMLSCUI	source	numGenesAssociatedToDisease	intersection	intersectionSize	geneRatio	bgRatio	pvalue	totalGenesSource	p_adjusted	query	bait	method	type
Prostatic Neoplasms	C0033578	CURATED	660	HRAS,HSP90AB1,SELENOS,SERINC3,VEGFA,CXCR4,KEAP1,ETV4,PLAUR,IVNS1ABP,STARD3,CLU,SESN3,GUCD1,GDF15,CD44,EGR1,TGFB1,TPT1,SPOP,RUNX1,CSRP1,ACSL4,ARL6IP1,GALNT3,EPCAM,GRB7,LIG4,PTRH2,MAP2K1,PVR,SPOCK1,SRD5A1,BRAF,CDKN1A	35	35/415	35/14132	0.00105618469359956	14132	0.0616107007227544	combined_BrafG469A	BrafG469A	combined	Active
Inflammation	C0021368	CURATED	134	TIMP1,TAC1,VEGFA,SH2B3,PROCR,SELENOS,TGFB1,ZFP36,F2RL1,EGR1,TFRC,PLAUR	12	12/415	12/14132	0.00198577842933481	14132	0.0616107007227544	combined_BrafG469A	BrafG469A	combined	Active
Hemangiosarcoma	C0018923	CURATED	19	HRAS,FLT1,JUN,VEGFA,ANGPT2	5	5/415	5/14132	0.00200118812202883	14132	0.0616107007227544	combined_BrafG469A	BrafG469A	combined	Active
Angiosarcoma nonmetastatic	C0854893	CURATED	19	VEGFA,FLT1,HRAS,JUN,ANGPT2	5	5/415	5/14132	0.00200118812202883	14132	0.0616107007227544	combined_BrafG469A	BrafG469A	combined	Active
Acute polyarticular juvenile rheumatoid arthritis	C0157916	CURATED	138	CLU,PLAUR,JUN,EGR1,FOS,FOSB,TFPI,BTG3,AREG,DUSP1,PLOD2,CXCR4	12	12/415	12/14132	0.00250473064503051	14132	0.0616107007227544	combined_BrafG469A	BrafG469A	combined	Active
Pauciarticular juvenile rheumatoid arthritis	C0157917	CURATED	138	PLAUR,BTG3,EGR1,JUN,TFPI,CXCR4,DUSP1,PLOD2,FOS,AREG,CLU,FOSB	12	12/415	12/14132	0.00250473064503051	14132	0.0616107007227544	combined_BrafG469A	BrafG469A	combined	Active
Monoarticular juvenile rheumatoid arthritis	C0157918	CURATED	138	DUSP1,BTG3,EGR1,JUN,CLU,AREG,PLAUR,CXCR4,FOS,TFPI,FOSB,PLOD2	12	12/415	12/14132	0.00250473064503051	14132	0.0616107007227544	combined_BrafG469A	BrafG469A	combined	Active
Juvenile Chronic Polyarthritis	C0409667	CURATED	138	BTG3,CLU,DUSP1,PLAUR,PLOD2,EGR1,FOSB,JUN,AREG,CXCR4,FOS,TFPI	12	12/415	12/14132	0.00250473064503051	14132	0.0616107007227544	combined_BrafG469A	BrafG469A	combined	Active
Cholestasis, Extrahepatic	C0005398	CURATED	33	MAPK8,TIMP1,KEAP1,JUN,TGFB1,FOS	6	6/415	6/14132	0.00256711253011476	14132	0.0616107007227544	combined_BrafG469A	BrafG469A	combined	Active
Noonan Syndrome	C0028326	CURATED	35	EPHA2,HRAS,BRAF,SPRED1,SPRED2,MAP2K1	6	6/415	6/14132	0.00334685633889091	14132	0.0683269326839758	combined_BrafG469A	BrafG469A	combined	Active
