Protein	Annotation
NF1	GAP
RASA4B	GAP
RASA4	GAP
RASA3	GAP
RASA1	GAP
RASA2	GAP
RASAL3	GAP
RASAL1	GAP
SYNGAP1	GAP
RASAL2	GAP
SOS1	GEF
SOS2	GEF
RASGRP1	GEF
RASGRP2	GEF
RASGRP3	GEF
RASGRP4	GEF
RASGRF1	GEF
RASGRF2	GEF
LZTR1	ubiquitination
USP9X	deubiquitination
RASSF5	EFFECTOR
TIAM1	EFFECTOR
PIK3CA	EFFECTOR
PIK3CB	EFFECTOR
PIK3CD	EFFECTOR
PIK3R1	EFFECTOR
PIK3R2	EFFECTOR
PIK3R3	EFFECTOR
PIK3R1	EFFECTOR
ARAF	EFFECTOR
BRAF	EFFECTOR
RAF1	EFFECTOR
AFDN	EFFECTOR
RALGDS	EFFECTOR
RGL2	EFFECTOR
PLCE1	EFFECTOR
RIN1	EFFECTOR
PIK3CG	EFFECTOR
RGL1	EFFECTOR
RIN2	EFFECTOR
RASSF1	EFFECTOR
RAPGEF2	EFFECTOR
KRIT1	EFFECTOR
RIN3	EFFECTOR
SNX27	EFFECTOR
ARAP1	EFFECTOR
ARAP2	EFFECTOR
TIAM2	EFFECTOR
ARAP3	EFFECTOR
RASSF7	EFFECTOR
RASSF8	EFFECTOR
RASSF9	EFFECTOR
RADIL	EFFECTOR
