Bait_id	Protein_id	wdscore	gfpratio	NUMSPECSTOT_SUM	NUMSPECSUNIQ_SUM
SGK1	ECH1	78.73951184	204	6	6
CDC7	HMGA2	75.06202246	136	4	4
CDC7	HADHB	95.37356874	68	2	2
CDC7	RACK1	117.4917449	28.63157895	16	16
CDC7	PLOD1	94.64068632	68	2	2
CDC7	TWF1	1669.627866	102	3	3
CDC7	IMMT	110.3356629	238	7	7
CDC7	MRPL2	163.9537708	68	2	2
CDC7	COLGALT1	291.6159056	68	2	2
CDC7	NUP210	86.24456208	136	4	4
CDC7	DBF4	22576.09816	272	8	8
CDC7	IGF2BP2	152.9832581	136	4	4
EEF2K	CNOT1	88.72922957	68	2	2
EEF2K	SMPD2	77.3239083	68	2	2
EEF2K	EPB41	6362.385955	340	10	8
EEF2K	PTPRA	45152.19631	544	16	16
EEF2K	EPB41L1	4650.715063	136	4	2
EEF2K	FBXW11	1864.438355	136	4	4
EEF2K	EPB41L3	1884.146711	816	24	20
STK25	ACACB	75.31068469	68	2	2
STK25	STRN	41770.09761	7582	223	218
STK25	HSP90AA1	330.4423597	44.88	462	157
STK25	HSP90AB1	323.8838834	45.79375	431	126
STK25	PPP2R1A	429.2435191	66.9375	63	55
STK25	PPP2R1B	1957.91731	510	15	7
STK25	PPP4C	112.6900848	102	6	1
STK25	PPP2CA	86.18965091	39.23076923	30	28
STK25	GOLGA2	12197.31047	782	23	23
STK25	STRN3	35986.40373	6732	198	182
STK25	SLMAP	19533.08785	3434	101	101
STK25	STRIP1	23055.41858	3536	104	95
STK25	TAOK1	14820.49341	1360	40	30
STK25	PROSER2	5991.97332	170	5	5
STK25	CTTNBP2	8856.672413	748	22	22
STK25	SIKE1	8965.294404	782	23	23
STK25	PDCD10	110119.8157	7922	233	233
STK25	TAOK3	7323.036221	272	8	2
STK25	CPVL	96.95107991	27.2	4	4
STK25	TRIM45	16932.07362	204	6	6
STK25	STRN4	16553.90239	3672	108	94
STK25	FGFR1OP2	6156.697231	680	20	20
STK25	STK26	116224.741	18190	535	18
STK25	CTTNBP2NL	29569.59165	3264	96	96
STK25	TAOK2	19138.95375	1190	35	29
STK25	STRIP2	9518.997839	748	22	13
STK25	SUGT1	246.6006038	646	19	19
STK25	MOB4	10561.87939	1802	53	53
STK25	STK24	167916.0125	21046	619	2
MAP2K7	ILVBL	136.9917364	136	4	4
MAP2K7	HAX1	74.87775591	306	9	9
MAP2K7	AIP	363.4501588	374	11	11
MAP2K7	PGRMC1	159.678368	56.66666667	5	5
MAP2K7	NDUFA4	109.6686335	68	2	2
MAP2K7	PRMT5	696.2289225	68	2	2
MAP2K7	XPO1	128.9552984	102	3	3
MAP2K7	SEC16A	126.5105309	29.46666667	13	13
MAP2K7	PFDN6	247.5140089	102	3	3
MAP2K7	CALU	754.237132	204	6	6
MAP2K7	ACSL4	682.597621	68	2	2
MAP2K7	SEC22B	1995.992347	170	5	5
MAP2K7	NDUFS3	2100.739532	68	2	2
MAP2K7	ATP5PD	925.5744629	170	5	5
MAP2K7	UBR5	74.12082357	68	2	2
MAP2K7	AHSA1	124.2503327	68	2	2
MAP2K7	ACSL3	605.191195	68	2	2
MAP2K7	GLUD1	127.647239	374	11	11
MAP2K7	ATP1A1	145.4823682	374	22	22
MAP2K7	HSP90AA1	671.6133674	91.21714286	939	439
MAP2K7	HSP90AB1	599.6736403	84.7875	798	290
MAP2K7	ANXA5	204.64993	22.66666667	2	2
MAP2K7	CNP	89.1097431	136	4	4
MAP2K7	PRKCSH	368.4471246	34	5	5
MAP2K7	ATP2A2	83.46422499	238	7	7
MAP2K7	PFKL	745.2670399	68	2	2
MAP2K7	POLR2E	76.99507251	102	3	3
MAP2K7	SDHB	888.7197926	102	3	3
MAP2K7	TUBG1	102.7658344	102	3	3
MAP2K7	DNAJB1	73.62018802	136	4	4
MAP2K7	CAD	81.38036105	22.66666667	108	108
MAP2K7	CANX	260.6383598	83.45454545	27	27
MAP2K7	LONP1	137.4239749	340	10	10
MAP2K7	MAP1B	143.9275963	72.85714286	45	45
MAP2K7	ATP5PO	256.1948155	238	7	7
MAP2K7	ST13	145.8092286	102	3	3
MAP2K7	RAB5C	740.5998272	68	2	2
MAP2K7	RAB7A	190.8389119	102	3	3
MAP2K7	ALDH3A2	74.78743224	136	4	4
MAP2K7	AK2	158.3717156	90.66666667	8	8
MAP2K7	ATP5MF	104.3898003	68	2	2
MAP2K7	DCAF7	388.4630947	238	7	7
MAP2K7	PRKDC	150.8954885	105.0909091	136	135
MAP2K7	FKBP4	465.2802384	93.5	22	22
MAP2K7	MRPL49	291.1744199	102	3	3
MAP2K7	FKBP5	450.8973594	3026	89	89
MAP2K7	DYNC1H1	100.5252281	52.83783784	115	115
MAP2K7	RCN2	133.1236419	850	25	25
MAP2K7	FKBP8	170.7837538	340	10	10
MAP2K7	PTGES3	294.1441749	178.5	21	21
MAP2K7	SLC1A5	74.06544575	136	4	4
MAP2K7	DDB1	91.78987636	680	20	20
MAP2K7	NUP188	125.5238589	136	4	4
MAP2K7	ERC1	9769.00234	4080	120	120
MAP2K7	DNAJC10	248.3295142	204	6	6
MAP2K7	LPCAT1	83.32133276	34	2	2
MAP2K7	GCN1	88.86771358	238	7	7
MAP2K7	CYFIP2	116.1321296	272	8	2
MAP2K7	MMS19	203.9422858	170	5	5
MAP2K7	MTR	145.803892	68	2	2
MAP2K7	CLPB	191.0712694	68	2	2
MAP2K7	CPVL	145.4266199	40.8	6	6
MAP2K7	TRABD	243.2199855	272	8	8
MAP2K7	CACYBP	296.4836566	578	17	17
MAP2K7	SDF2L1	163.7134102	170	5	5
MAP2K7	MRPL16	132.7898157	68	2	2
MAP2K7	AKAP8L	94.39389016	170	5	5
MAP2K7	STUB1	147.8074966	408	12	12
MAP2K7	SUGT1	194.6846872	510	15	15
MAP2K7	MRPS23	95.04761502	102	3	3
