uniprot_a	uniprot_b	gene_a	gene_b	method	det_method	first_author	reference	mi-score	expansion_methd	role_a	role_b
uniprotkb:P01116-1	uniprotkb:O00270	KRAS	GPR31	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Fehrenbacher N. et al.(2017)	intact:EBI-34583550|pubmed:28619714|imex:IM-29542	intact-miscore:0.4	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112-2	uniprotkb:P52306-5	HRAS	RAP1GDS1	psi-mi:"MI:1112"(two hybrid prey pooling approach)	psi-mi:"MI:0915"(physical association)	Luck K. et al.(2017)	intact:EBI-11784632|pubmed:32296183|imex:IM-25472	intact-miscore:0.63|author-based confidence:0.802444203458	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049-1	uniprotkb:Q02750	RAF1	MAP2K1	psi-mi:"MI:0107"(surface plasmon resonance)	psi-mi:"MI:0407"(direct interaction)	Lito P. et al.(2014)	intact:EBI-9549228|pubmed:24746704|imex:IM-22983	intact-miscore:0.44	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116-1	uniprotkb:P49354	KRAS	FNTA	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Kuchay S. et al.(2019)	intact:EBI-21916414|pubmed:31209342|imex:IM-30307	intact-miscore:0.4	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P36507	uniprotkb:Q02750-2	MAP2K2	MAP2K1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Huttlin EL. et al.(2017)	intact:EBI-15481134|doi:10.1038/nature22366|pubmed:28514442|imex:IM-25778	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P01116-2	RAF1	KRAS	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0407"(direct interaction)	Alvarez-Moya B. et al.(2010)	intact:EBI-3401463|pubmed:20802526|imex:IM-15312	intact-miscore:0.68	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116-2	uniprotkb:P04049	KRAS	RAF1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Alvarez-Moya B. et al.(2010)	intact:EBI-3401463|pubmed:20802526|imex:IM-15312	intact-miscore:0.68	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116-2	uniprotkb:P04049	KRAS	RAF1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Alvarez-Moya B. et al.(2010)	intact:EBI-3401463|pubmed:20802526|imex:IM-15312	intact-miscore:0.68	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P36507	uniprotkb:Q96II5	MAP2K2	ARAF	psi-mi:"MI:0231"(mammalian protein protein interaction trap)	psi-mi:"MI:0915"(physical association)	Luck K. et al.(2017)	intact:EBI-11784632|pubmed:32296183|imex:IM-25472	intact-miscore:0.6	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P15056	uniprotkb:P01116-2	BRAF	KRAS	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Huttlin EL. et al.(2017)	intact:EBI-15481134|doi:10.1038/nature22366|pubmed:28514442|imex:IM-25778	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116-2	uniprotkb:P49354	KRAS	FNTA	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Kuchay S. et al.(2019)	intact:EBI-21916414|pubmed:31209342|imex:IM-30307	intact-miscore:0.4	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q96II5	uniprotkb:P01111	ARAF	NRAS	psi-mi:"MI:1112"(two hybrid prey pooling approach)	psi-mi:"MI:0915"(physical association)	Luck K. et al.(2017)	intact:EBI-11784632|pubmed:32296183|imex:IM-25472	intact-miscore:0.56|author-based confidence:0.82158939012	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q02750	uniprotkb:H7C560	MAP2K1	BRAF	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Cho NH. et al.(2022)	intact:EBI-52315730|pubmed:35271311|imex:IM-30001	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P15056	uniprotkb:Q02750-2	BRAF	MAP2K1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Huttlin EL. et al.(2017)	intact:EBI-15481134|doi:10.1038/nature22366|pubmed:28514442|imex:IM-25778	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P10398	uniprotkb:P36507	ARAF	MAP2K2	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	So J. et al.(2015)	intact:EBI-10054708|pubmed:25852190|imex:IM-23674	intact-miscore:0.91	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P36507	uniprotkb:P10398	MAP2K2	ARAF	psi-mi:"MI:0018"(two hybrid)	psi-mi:"MI:0915"(physical association)	Yin XL. et al.(2002)	intact:EBI-1991645|pubmed:11909642|imex:IM-19677	intact-miscore:0.91	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P10398	uniprotkb:P36507	ARAF	MAP2K2	psi-mi:"MI:0018"(two hybrid)	psi-mi:"MI:0915"(physical association)	Yin XL. et al.(2002)	intact:EBI-1991645|pubmed:11909642|imex:IM-19677	intact-miscore:0.91	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P10398	uniprotkb:P36507	ARAF	MAP2K2	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0407"(direct interaction)	Yin XL. et al.(2002)	intact:EBI-1991645|pubmed:11909642|imex:IM-19677	intact-miscore:0.91	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P36507	uniprotkb:P10398	MAP2K2	ARAF	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Kennedy SA et al.(2019)	intact:EBI-22274189|pubmed:31980649|imex:IM-26434	intact-miscore:0.91	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
