Network	Bait	Prey	Bait_uniprot	Prey_uniprot	Interaction	SILAC Ratio               (Prey abundance in EGFRNetmtKRAS-Lo AP/Prey abundance in EV control AP)	Log2 (SILAC ratio)	t-test                                   P value	Significance A	Is significantly rewired (relative to EGFRNetmtKRAS-Hi)?	Is interaction in Bioplex 2.0 (Huttlin et al., 2017)?	Is interaction in Rolland et al., 2014?	Is interaction in IID (Kotlyar et al. 2016)?	Is interaction in Hein et al., 2015?
EGFRNetmtKRAS-Lo	ABI1	WASF2	Q8IZP0	Q9Y6W5	ABI1_WASF2	6.34	2.66	1.60E-02	2.54E-34	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	ABI1	NCKAP1	Q8IZP0	Q9Y2A7	ABI1_NCKAP1	6.94	2.79	1.73E-08	1.41E-37	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	ABI1	DPP7	Q8IZP0	Q9UHL4	ABI1_DPP7	1.83	0.87	7.44E-03	4.21E-05	No	No	No	No	No
EGFRNetmtKRAS-Lo	ABI1	KIAA1522	Q8IZP0	Q9P206	ABI1_KIAA1522	2.88	1.53	1.72E-02	1.92E-12	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	ABI1	WASF1	Q8IZP0	Q92558	ABI1_WASF1	2.81	1.49	4.91E-02	6.54E-12	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	ABI1	ABI1	Q8IZP0	Q8IZP0	ABI1_ABI1	11.68	3.55	1.33E-08	2.29E-59	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	ABI1	CYFIP1	Q8IZP0	Q7L576	ABI1_CYFIP1	8.27	3.05	1.49E-07	2.27E-44	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	ABI1	NHSL1	Q8IZP0	Q5SYE7	ABI1_NHSL1	4.21	2.08	1.59E-02	1.59E-21	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	ABI1	HSD17B12	Q8IZP0	Q53GQ0	ABI1_HSD17B12	1.35	0.43	7.20E-03	2.80E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	ABI1	SLC25A11	Q8IZP0	Q02978	ABI1_SLC25A11	1.93	0.95	3.03E-02	8.75E-06	No	No	No	No	No
