Network	Bait	Prey	Bait_UniProt	Prey_UniProt	Interaction	SILAC Ratio               (Prey abundance in EGFRNetmtKRAS-Hi AP/Prey abundance in EV control AP)	Log2 (SILAC ratio)	t-test                    P value	Significance A	Is significantly rewired (relative to EGFRNetmtKRAS-Lo)?	Is interaction in Bioplex 2.0 (Huttlin et al., 2017)?	Is interaction in Rolland et al., 2014?	Is interaction in IID (Kotlyar et al. 2016)?	Is interaction in Hein et al., 2015?
EGFRNetmtKRAS-Hi	ABI1	IVNS1ABP	Q8IZP0	Q9Y6Y0	ABI1_IVNS1ABP	2.11	1.07	6.46E-06	4.60E-05	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ABI1	WASF2	Q8IZP0	Q9Y6W5	ABI1_WASF2	3.46	1.79	2.61E-04	3.23E-11	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	ABI1	NCKAP1	Q8IZP0	Q9Y2A7	ABI1_NCKAP1	6.68	2.74	3.84E-08	6.49E-24	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	ABI1	CORO1C	Q8IZP0	Q9ULV4	ABI1_CORO1C	1.62	0.70	4.89E-03	5.72E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ABI1	BCLAF1	Q8IZP0	Q9NYF8	ABI1_BCLAF1	1.49	0.57	4.95E-02	1.95E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ABI1	CYFIP2	Q8IZP0	Q96F07	ABI1_CYFIP2	2.99	1.58	2.22E-02	4.23E-09	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	ABI1	ABI1	Q8IZP0	Q8IZP0	ABI1_ABI1	10.17	3.35	3.08E-08	1.02E-34	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	ABI1	CYFIP1	Q8IZP0	Q7L576	ABI1_CYFIP1	5.66	2.50	2.33E-06	3.34E-20	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	ABI1	NHSL1	Q8IZP0	Q5SYE7	ABI1_NHSL1	3.21	1.68	1.27E-02	4.22E-10	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	ABI1	PDCD4	Q8IZP0	Q53EL6	ABI1_PDCD4	1.41	0.50	9.18E-03	3.63E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ABI1	PRPSAP1	Q8IZP0	Q14558	ABI1_PRPSAP1	2.22	1.15	3.33E-05	1.37E-05	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ABI1	AKAP12	Q8IZP0	Q02952	ABI1_AKAP12	1.46	0.55	2.61E-02	2.38E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ABI1	SLC25A3	Q8IZP0	Q00325	ABI1_SLC25A3	1.49	0.57	7.41E-03	1.91E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ABI1	TUBB4B	Q8IZP0	P68371	ABI1_TUBB4B	1.44	0.52	1.92E-02	2.94E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ABI1	TUBA1B	Q8IZP0	P68363	ABI1_TUBA1B	1.44	0.53	2.83E-02	2.88E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ABI1	TRA2B	Q8IZP0	P62995	ABI1_TRA2B	1.52	0.61	1.39E-02	1.42E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ABI1	PRPS1	Q8IZP0	P60891	ABI1_PRPS1	2.30	1.20	1.61E-04	6.03E-06	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ABI1	CMPK1	Q8IZP0	P30085	ABI1_CMPK1	1.57	0.65	3.97E-02	9.43E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	ABI1	PRPS2	Q8IZP0	P11908	ABI1_PRPS2	2.41	1.27	1.50E-04	1.93E-06	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ABI1	TUBB	Q8IZP0	P07437	ABI1_TUBB	1.47	0.56	9.91E-03	2.18E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ABI1	SLC25A5	Q8IZP0	P05141	ABI1_SLC25A5	1.44	0.53	1.56E-04	2.81E-02	No	No	No	No	No
