Majority protein IDs	Gene_name_canonical	graph_localization_annotation	umap_1	umap_2	3D_umap_1	3D_umap_2	3D_umap_3
A0A0S2Z3G9;O43707;Q96BG6	ACTN4	actin_cytoskeleton	-13.115277	-6.0213647	9.537033	6.9749317	3.4869688
Q9P1U1;Q59GD5;B7Z9W3	ACTR3B	actin_cytoskeleton	-12.799136	-6.631623	8.932042	6.803085	3.1863291
P35611	ADD1	actin_cytoskeleton	-13.276237	-5.9310417	9.754393	7.030869	3.415986
A0A0S2Z444;A0A0S2Z3Y3;A0A0S2Z3Z1;A0A0S2Z462;P52594;B8ZZY2;A0A024R458;B4DHC5;C9J2I0	AGFG1	actin_cytoskeleton	-13.177291	-5.944103	9.73131	7.167451	3.540106
Q4VCS5;E7ERM3;A6NP16	AMOT	actin_cytoskeleton	-13.350375	-6.0659256	9.618131	6.8936915	3.1768427
P07355;A0A024R5Z7;V9HW65;H0YMW4;H0YN42;H0YM50;H0YMU9;H0YMD0;A6NMY6;H0YKS4;H0YNB8;H0YNP5	ANXA2	actin_cytoskeleton	-12.712023	-6.895534	8.783182	7.554544	3.5157537
O95782;Q8N9K4	AP2A1	actin_cytoskeleton	-13.105523	-5.8027368	9.730282	6.795016	3.4990954
O94973;A0A0G2JS82;B7Z5S9;B7Z1Q4	AP2A2	actin_cytoskeleton	-13.137627	-5.535827	9.881518	6.618193	3.608391
P52907;A8K0T9	CAPZA1	actin_cytoskeleton	-13.001587	-6.1954646	9.426263	6.6177125	3.326557
Q53GE2;Q53GC7;A4D0V4;P47755;F8W9N7;A0A0D9SET8;B4DE01;C9JUG7	CAPZA2	actin_cytoskeleton	-13.309735	-5.992007	9.55441	6.667838	3.233381
B2R7T8;A0A384MR50;B1AK88;B4DWA6;B1AK87;P47756;B1AK85	CAPZB	actin_cytoskeleton	-12.957173	-6.0619283	9.414918	6.483761	3.4044068
A0A024RBI5;Q59EA2;Q9ULV4;Q53G58;B4DMH3;B7Z9V0;H0YHL7	CORO1C	actin_cytoskeleton	-13.3858795	-6.0494256	9.606712	6.7735643	3.2106771
Q16643;B3KSQ7	DBN1	actin_cytoskeleton	-13.354835	-6.1303525	9.541763	6.8756914	3.1505272
P78524	DENND2B	actin_cytoskeleton	-11.9449625	-7.7721186	7.859194	7.1170774	3.0210795
Q9BUP0;A0A024R493;Q59EU6;Q53S38;H7C0I0	EFHD1	actin_cytoskeleton	-13.353389	-6.2270722	9.455945	6.829098	3.0798485
P11171;A0A2R8YD30	EPB41	actin_cytoskeleton	-13.152264	-6.0720034	9.743965	7.2031426	3.4413023
O43491	EPB41L2	actin_cytoskeleton	-13.205565	-5.906256	9.761178	7.085768	3.538311
A0A024R4S1;Q9Y6I3	EPN1	actin_cytoskeleton	-13.5389805	-5.956041	9.722283	6.744543	3.2053905
Q9UBC2;A0A024R7G6;M0R165;A8K5P4;B4DME4;B4DQX5;A5PKY0;M0R2S2	EPS15L1	actin_cytoskeleton	-13.259157	-5.8306527	9.749746	6.7952642	3.3730812
P21333;Q8TES4	FLNA	actin_cytoskeleton	-13.112495	-6.20774	9.435855	7.0817604	3.345035
O75369;A0A024R321;E7EN95;Q68CT4	FLNB	actin_cytoskeleton	-13.368333	-6.004244	9.650378	6.889022	3.2867775
Q9NSB8	HOMER2	actin_cytoskeleton	-12.4060955	-7.2450113	8.267669	7.2426023	3.1754582
A0A024RC65;P46940;A4QPB0;A0A0J9YXZ5;H0YLE8;Q6P1N4	IQGAP1	actin_cytoskeleton	-13.038965	-7.056758	8.838291	7.8017445	3.3299356
A8KA33;Q8TAR8	LRCH1	actin_cytoskeleton	-12.388997	-7.1925564	8.301532	7.107235	3.14886
A0A0D9SEY1;A0A0D9SG62	MAP4K4	actin_cytoskeleton	-13.266742	-5.7780733	9.871294	7.044361	3.5432813
P35580	MYH10	actin_cytoskeleton	-13.19743	-6.218018	9.494853	7.091579	3.3993616
A0A024R1N1;P35579;Q86XU5	MYH9	actin_cytoskeleton	-13.252429	-7.0050077	9.000315	7.892714	3.2953231
O14950	MYL12B	actin_cytoskeleton	-13.237462	-6.9178395	9.098213	7.7872844	3.3163774
P60660;F8W1R7;G3V1V0;J3KND3;G3V1Y7	MYL6	actin_cytoskeleton	-13.078384	-6.937404	8.954078	7.6646037	3.3573365
A0A024R1J8;P35240;A0A024R1J9;A0A024R1F6;B7Z4B6;A0A024R1I0;A0A024R1D9;A0A5K1VW66	NF2	actin_cytoskeleton	-13.335705	-5.758705	9.848565	6.829407	3.374528
O75052;E9PSG0	NOS1AP	actin_cytoskeleton	-12.848153	-6.570956	8.944998	6.8937163	3.1867042
A8K5U9;A0A024R5P1;Q13492;B5BU72;A0A024R5L7	PICALM	actin_cytoskeleton	-13.153356	-6.0275683	9.583917	7.015801	3.4218626
A6PW57	PIP5K1A	actin_cytoskeleton	-13.275135	-5.7771244	9.8009405	6.8617516	3.3888137
Q16513;B1AL79	PKN2	actin_cytoskeleton	-12.833974	-5.9593573	9.58399	7.2041492	3.7813833
Q13136;A0A2R8Y7R9	PPFIA1	actin_cytoskeleton	-13.19415	-5.956928	9.784692	7.18127	3.4684126
D6RGI3;A0A384P5S0;D6RER5;Q9NVA2;D6RDU5;Q96KC0	SEPTIN11	actin_cytoskeleton	-13.159854	-5.9537416	9.58112	7.0547733	3.4439073
Q14141;Q541S4;Q548C9;B1AMS2;Q6B514;B4DZW0;B4E049	SEPTIN6	actin_cytoskeleton	-13.043421	-6.184204	9.501313	7.0687857	3.4775639
A0A024R8V0;A0A024R8Q0	SEPTIN9	actin_cytoskeleton	-13.305093	-5.926243	9.709287	7.0101495	3.3740466
Q13813	SPTAN1	actin_cytoskeleton	-13.217008	-6.021722	9.62939	7.008135	3.3761084
Q01082;B2ZZ89;D6W5C0	SPTBN1	actin_cytoskeleton	-13.254679	-6.056836	9.603038	6.9649477	3.33905
A8K9L8;Q9NZR1;G5EA42;Q4G0W6	TMOD2	actin_cytoskeleton	-12.357454	-7.148191	8.227059	7.2022505	3.2535217
A0A087WTU9;Q8TCU4;D6W5H5;A0A087WV20	ALMS1	centrosome	-10.457319	-12.127081	8.004588	10.826668	5.2304754
Q4AC94;A0A7P0Z4H1	C2CD3	centrosome	-10.229645	-11.691245	7.643801	10.671769	5.122738
O94986;B4E1E7	CEP152	centrosome	-10.455095	-12.028008	7.903583	10.78716	5.2310524
Q8TEP8;A0A0A0MR42;K7ENP4;H0Y966	CEP192	centrosome	-10.438328	-11.97265	7.9378014	10.794825	5.213832
Q96MT8	CEP63	centrosome	-10.24334	-11.814902	7.76612	10.659451	5.250148
Q6ICP7;O15182;E5RK82;E5RJF8;E5RFM2	CETN3	centrosome	-9.230093	-11.339864	7.3196845	10.299988	5.5460606
Q8N137;A8KAL1	CNTROB	centrosome	-10.714371	-12.239189	8.134078	10.940796	5.168774
Q8N4C6;C9J066;E9PN67;H9KV85	NIN	centrosome	-10.628041	-12.229485	8.07489	10.885101	5.2010345
Q5BJF6	ODF2	centrosome	-10.75926	-12.254228	8.182218	10.9041195	5.080991
O95613	PCNT	centrosome	-10.752938	-12.262049	8.164675	10.902301	5.101136
Q6ZTW0	TPGS1	centrosome	-10.572658	-11.744362	7.846899	10.433773	4.8713818
A0A0A0MRV3;A0A384MQZ3;Q9P2S5;Q5T0D5	WRAP73	centrosome	-10.706393	-12.225994	8.157774	10.856366	5.0828996
Q9BUW7	BBLN	cytosol	-13.128653	-10.763366	6.0746546	8.408794	1.5796131
B4DL54	CHURC1-FNTB	cytosol	-13.732224	-10.499534	6.429341	8.549659	1.2476408
Q8IY22;A0A087WY48;B7Z942;A0A087WU05	CMIP	cytosol	-13.740983	-10.613231	6.5669785	8.418688	1.0979033
A0A024R4F1;P06733;A0A2R8Y6G6;E2DRY6	ENO1	cytosol	-13.521102	-8.488678	8.187324	8.46976	2.7272823
P49327;A0A0U1RQF0	FASN	cytosol	-13.415104	-7.9456644	8.486807	8.768905	3.051701
Q96EW2;A8K045	HSPBAP1	cytosol	-13.8879	-10.752494	6.62477	8.49648	0.90603703
A0A140VJL6;Q2TAA2;H7C5G1;Q6NVV8;Q05D21;Q6PCA9	IAH1	cytosol	-13.407795	-10.765712	6.014582	8.671284	1.4176934
Q8IW41;R4GN33	MAPKAPK5	cytosol	-13.588243	-10.524512	6.3739877	8.455626	1.3116611
H0YIV4;A0A024RBB7;P55209;F8VY35;F5H4R6;F8W0J6;B7Z2V4;F8VUX1;F8W020	NAP1L1	cytosol	-13.421933	-8.632443	7.9055085	8.573154	2.6896534
O43175;A0A286YF22;V9HW79;A0A2C9F2M7;B3KSC3;A0A286YFA2;A0A286YFL2;Q9UMY2;Q8N5M8	PHGDH	cytosol	-13.46895	-7.843207	8.560555	8.866783	2.963536
V9HWB8;P14618;B4DNK4;Q8WUW7	PKM	cytosol	-13.390587	-8.341353	8.183261	8.677263	3.0321314
A0A384NPQ2;Q06830;A0A0A0MSI0;B2R4P2	PRDX1	cytosol	-13.489912	-8.385631	8.1964035	8.591656	2.7631578
E9PLX2;E9PQV2;Q8WVD5;E9PNF8	RNF141	cytosol	-13.499155	-10.813048	6.088378	8.524646	1.3447402
V9HWG1;Q13228	SELENBP1	cytosol	-13.499909	-10.847597	6.050105	8.223292	1.2766578
A0A1W2PR00;A0A1W2PQ00	STRADA	cytosol	-13.15932	-10.743732	6.1433706	8.216583	1.2667246
A2RTX5;B7ZLP8	TARS3	cytosol	-13.201381	-10.438302	6.448001	8.309331	1.5706075
Q9Y490;A0A1S5UZ07	TLN1	cytosol	-13.431192	-7.577852	8.809819	8.567057	3.153445
P68363;B3KT06;B3KPS3;B4DDU2	TUBA1B	cytosol	-13.14495	-8.659718	7.98203	9.002086	3.074549
A0A024R1A3;P22314	UBA1	cytosol	-13.404794	-7.8552275	8.487758	8.711632	3.0764928
C9J7I0	UMAD1	cytosol	-12.966273	-10.556072	6.167683	8.164554	1.7972711
Q9UHI8;A0A7I2YQL5;Q5HYL0;Q8NE26;B2RB33;A0A7I2V5J1	ADAMTS1	early_endosome	-11.983568	-4.391347	10.161354	5.747303	4.794797
A0A140VJE7;B3KXW5;O43747;Q8IY97	AP1G1	early_endosome	-11.7580385	-4.016602	10.15699	5.522749	5.0645328
A0A024R7K8;Q9BXS5;B3KNH5;B4DDG7;K7EJL1;E7ENJ6;B4DN99	AP1M1	early_endosome	-11.702841	-4.1724534	10.028506	5.572736	5.118684
A0A2R8YGH5;A0A024QYT6;P61966;H7C1E4	AP1S1	early_endosome	-11.746827	-4.0158963	10.176292	5.5355606	5.138747
A0A024RBX8;Q549M9;P56377;A0A5F9ZHW1;H0Y673;A0A5F9ZHX2;A6NH01;B4DIM6;Q7Z677	AP1S2	early_endosome	-11.730078	-4.0500927	10.14681	5.5523257	5.110639
O14617;Q6PK82	AP3D1	early_endosome	-11.654676	-4.3143	9.9032755	5.4955235	5.007875
Q92572;F5H459	AP3S1	early_endosome	-11.350698	-4.23477	10.002031	5.03478	4.7354717
Q06481;A0A024R3N3	APLP2	early_endosome	-11.958896	-3.808352	10.540139	5.5126524	4.904217
C0JYY2;P04114;E1A689	APOB	early_endosome	-11.517581	-4.3357763	10.023039	5.2042017	4.649316
P38606	ATP6V1A	early_endosome	-11.751835	-4.0494876	10.279247	5.3201838	4.7951517
A0A140VK65;P21281;Q59HF3;B4DFM5	ATP6V1B2	early_endosome	-11.896926	-3.8208878	10.433306	5.278857	4.803793
Q9H3H0;A0A024R683;Q9Y5K8;Q8N5Z9;Q6PJ05;G3V2S6;H0YJH8;G3V559	ATP6V1D	early_endosome	-11.55171	-4.206242	10.110022	5.197816	4.844191
P36543;Q53Y06;C9J8H1	ATP6V1E1	early_endosome	-11.735979	-3.7980857	10.434366	5.1761236	4.8137174
A0A024R883;O75348	ATP6V1G1	early_endosome	-11.716359	-3.7854145	10.471819	5.1674285	4.8139443
A0A024R7X3;A0A024R7U9;Q9UI12;G3V126;B4E054;B3KUZ7;Q8TF11	ATP6V1H	early_endosome	-11.664777	-3.7759972	10.393993	5.1913724	4.9050555
