node	identifier
AGO1	9606.ENSP00000362300
AGO2	9606.ENSP00000220592
AGO3	9606.ENSP00000362287
AGO4	9606.ENSP00000362306
AKT1	9606.ENSP00000451828
AKT2	9606.ENSP00000375892
AMER1	9606.ENSP00000364003
AP2A1	9606.ENSP00000351926
AP2A2	9606.ENSP00000327694
AP2B1	9606.ENSP00000483185
AP2M1	9606.ENSP00000403362
AP2S1	9606.ENSP00000470176
APC	9606.ENSP00000257430
ARRB2	9606.ENSP00000403701
ASH2L	9606.ENSP00000340896
AXIN1	9606.ENSP00000262320
AXIN2	9606.ENSP00000302625
BCL9	9606.ENSP00000234739
BCL9L	9606.ENSP00000335320
BTRC	9606.ENSP00000359206
CALM3	9606.ENSP00000291295
CAMK2A	9606.ENSP00000500386
CAV1	9606.ENSP00000339191
CBY1	9606.ENSP00000478962
CCDC88C	9606.ENSP00000374507
CDC73	9606.ENSP00000356405
CHD8	9606.ENSP00000495240
CLTA	9606.ENSP00000242285
CLTB	9606.ENSP00000309415
CLTC	9606.ENSP00000479606
CREBBP	9606.ENSP00000262367
CSNK1A1	9606.ENSP00000261798
CSNK1E	9606.ENSP00000380044
CSNK1G2	9606.ENSP00000255641
CSNK2A1	9606.ENSP00000217244
CSNK2A2	9606.ENSP00000262506
CSNK2B	9606.ENSP00000365042
CTBP1	9606.ENSP00000290921
CTBP2	9606.ENSP00000311825
CTNNB1	9606.ENSP00000495360
CTNNBIP1	9606.ENSP00000366474
CUL1	9606.ENSP00000326804
CUL3	9606.ENSP00000264414
CXXC4	9606.ENSP00000378248
DAAM1	9606.ENSP00000378557
DACT1	9606.ENSP00000337439
DKK1	9606.ENSP00000363081
DKK2	9606.ENSP00000285311
DKK4	9606.ENSP00000220812
DVL1	9606.ENSP00000368166
DVL2	9606.ENSP00000005340
DVL3	9606.ENSP00000316054
EP300	9606.ENSP00000263253
FRAT1	9606.ENSP00000360060
FRAT2	9606.ENSP00000360058
FZD1	9606.ENSP00000287934
FZD2	9606.ENSP00000323901
FZD3	9606.ENSP00000240093
FZD4	9606.ENSP00000434034
FZD5	9606.ENSP00000354607
FZD6	9606.ENSP00000351605
FZD7	9606.ENSP00000286201
FZD8	9606.ENSP00000363826
GNAO1	9606.ENSP00000262494
GNAT2	9606.ENSP00000251337
GNB1	9606.ENSP00000367872
GNB2	9606.ENSP00000305260
GNB3	9606.ENSP00000229264
GNB4	9606.ENSP00000232564
