Majority.protein.IDs	Gene.names
A0A024R1R8	TMA7B
A0A024RBG1	NUDT4B
A0A075B759;P0DN26	PPIAL4E;PPIAL4F
A0A075B7E8	IGHV3OR16-13
A0A096LP01	SMIM26
A0A0C4DH42	IGHV3-66
A0A0G2JND7	A0A0G2JND7
A0A0U1RRE5	NBDY
A0A140TA64	LOC100996750
A0A2R8Y4L2	HNRNPA1L3
A0A2R8YFR7	LOC107987545
A0A3B3IU46	RAMACL
A0A590UJ96	LOC122526780
A0A6I8PU40	TUG1
A0A6Q8PGS0	LOC128071547
A0A7P0TAN4	LOC122539214
A0A804HLA8	GNG5B
A0A8I5KY20	CCDC92B
A0AAG2SUK6;Q16540	;MRPL23
A0AAG2SVT6	A0AAG2SVT6
A0AAG2SXN7;O43272	;PRODH
A0AAG2SXZ4	A0AAG2SXZ4
A0AAG2UWQ9	NKRF
A0AAG2UXD8	LOC102724250
A0AAG2UY11;Q9BYB0	SHANK3
A0AV96	RBM47
A0AVF1	IFT56
A0AVI4	TMEM129
A0AVK6	E2F8
A0AVT1	UBA6
A0FGR8	ESYT2
A0JLT2	MED19
A0JNW5	BLTP3B
A0MZ66	SHTN1
A0PJW6	TMEM223
A0PJY2	FEZF1
A0PJZ3	GXYLT2
A0PK00	TMEM120B
A1A4S6	ARHGAP10
A1A4V9	CFAP119
A1A5C7	SLC22A23
A1IGU5	ARHGEF37
A1KXE4	FAM168B
A1L020	MEX3A
A1L0T0	ILVBL
A1L170	C1orf226
A1L390	PLEKHG3
A1X283	SH3PXD2B
A1XBS5	CIBAR1
A2A3K4	PTPDC1
A2A3N6	PIPSL
A2PYH4	HFM1
A2RRP1	NBAS
A2RTX5	TARS3
A2RU37	LINC02872
A2RU67	FAM234B
A2RUB1	MEIOC
A2RUB6	CCDC66
A2RUS2	DENND3
A2VDJ0	TMEM131L
A3KMH1	VWA8
A3KN83	SBNO1
A4D161	FAM221A
A4D1E9	GTPBP10
A4D1P6	WDR91
A4D1U4	DENND11
A5D8T8;Q8NCF0	CLEC18A;CLEC18C
A5D8V6	VPS37C
A5D8V7	ODAD3
A5PL33	KRBA1
A5PLN7	FAM149A
A5PLN9	TRAPPC13
A5YKK6	CNOT1
A6H8Y1	BDP1
A6NCE7;Q9GZQ8	MAP1LC3B2;MAP1LC3B
A6ND36	FAM83G
A6NDG6	PGP
A6NDU8	RIMOC1
A6NED2	RCCD1
A6NES4	MROH2A
A6NFI3	ZNF316
A6NFQ2	TCAF2
A6NGB9	WIPF3
A6NGE4;P0C7V8	DCAF8L1;DCAF8L2
A6NGG8	PCARE
A6NGY1;Q64ET8	FRG2C;FRG2
A6NHG4;P30046	DDTL;DDT
A6NHL2	TUBAL3
A6NHQ4	EPOP
A6NHR9	SMCHD1
A6NHX0	CASTOR2
A6NI28	ARHGAP42
A6NI79	CCDC69
A6NIH7	UNC119B
A6NIX2	WTIP
A6NJ78	METTL15
A6NJG2	SOWAHD
A6NJU9;A8MRT5;C9JG80;E5RHQ5;F8W0I5;Q92617	NPIPB13;NPIPB5;NPIPB4;NPIPB11;NPIPB12;NPIPB3
A6NK58	LIPT2
A6NKD9	CCDC85C
A6NKF1	SAC3D1
A6NKT7	RGPD3
A6NN14	ZNF729
A6NNL5	C15orf61
A6NNY8	USP27X
A6QL63	ABTB3
A7E2V4	ZSWIM8
A7KAX9	ARHGAP32
A7MCY6	TBKBP1
A8CG34	POM121C
A8K0R7	ZNF839
A8K2U0	A2ML1
A8K855	EFCAB7
A8K8P3	SFI1
A8MPS7	YDJC
A8MQ14	ZNF850
A8MQB3	LINC02693
A8MT69	CENPX
A8MTJ6	FOXI3
A8MTT3	CEBPZOS
A8MTZ0	BBIP1
A8MU93	C17orf100
A8MUK1;C9J2P7;C9JVI0;D6RA61;D6RBQ6;D6RCP7;D6RJB6;Q0WX57	USP17L5;USP17L15;USP17L11;USP17L22;USP17L17;USP17L19;USP17L20;USP17L24
A8MUX0	KRTAP16-1
A8MV65	VGLL3
A8MVW0	FAM171A2
A8MWD9	SNRPGP15
A8MXV4	NUDT19
A8MYB1	TMCO5B
A8MYU2	KCNU1
A9UHW6	MIF4GD
A9YTQ3	AHRR
B0YJ81	HACD1
B2RBV5	MRFAP1L2
B2RPK0	HMGB1P1
B2RTY4	MYO9A
B2RXF5	ZBTB42
B3KNS4	ERVK3-1
B3KU38	IQCJ-SCHIP1
B7ZAQ6;P0CG08	GPR89A;GPR89B
B7ZW38;P0DMR1	HNRNPCL3;HNRNPCL4
B8ZZ34	SHISA8
B9A064;P0CG04	IGLL5;IGLC1
C4AMC7;Q6VEQ5	WASH3P;WASH2P
C9J7I0	UMAD1
C9JH25	PRRT4
C9JLW8	MCRIP1
C9JTQ0	ANKRD63
contam_A2I7N0	SERPINA3-4
contam_E1BJK2	TUBB1
contam_E1BNR0	APOB
contam_F1MJK3	contam_F1MJK3
contam_G3N0S9	LOC515150
contam_O43790;O43790	KRT86
contam_O76013;O76013	KRT36
contam_O76015;O76015	KRT38
contam_O82803	SRPP
contam_P00698	LYZ
contam_P00711	LALBA
contam_P00722	lacZ
contam_P00735	F2
contam_P00761	contam_P00761
contam_P00767	contam_P00767
contam_P01012	SERPINB14
contam_P01795	contam_P01795
contam_P01966	HBA
contam_P02081	contam_P02081
contam_P02533;P02533	KRT14
contam_P02534	contam_P02534
contam_P02535	Krt10
contam_P02538;P02538	KRT6A
contam_P02662	CSN1S1
contam_P02663	CSN1S2
contam_P02668	CSN3
contam_P02676	FGB
contam_P02754	LGB
contam_P02768;P02768	ALB
contam_P04259;P04259	KRT6B
contam_P04264;P04264	KRT1
contam_P04745;P0DTE7;P0DTE8;P0DUB6	AMY1A;AMY1B;AMY1C;AMY1A
contam_P05787;P05787	KRT8
P06709	birA
contam_P06868	PLG
contam_P08727;P08727	KRT19
contam_P08779;P08779	KRT16
contam_P12035;P12035	KRT3
contam_P12763	AHSG
contam_P13645;P13645	KRT10
contam_P13646;P13646	KRT13
contam_P13647;P13647	KRT5
contam_P15252	contam_P15252
contam_P15636	contam_P15636
contam_P19012;P19012	KRT15
contam_P19013;P19013	KRT4
contam_P20930;P20930	FLG
contam_P25691	contam_P25691
contam_P34955	SERPINA1
contam_P35527;P35527	KRT9
contam_P35908;P35908	KRT2
P42212	GFP
contam_P48668;P48668	KRT6C
contam_P56652	ITIH3
contam_P60413;P60413	KRTAP10-12
contam_P78385;P78385	KRT83
contam_P78386;P78386	KRT85
contam_Q01546;Q01546	KRT76
contam_Q04695;Q04695	KRT17
contam_Q14525;Q14525	KRT33B
contam_Q14532;Q14532	KRT32
contam_Q14533;Q14533	KRT81
contam_Q148H6	KRT28
contam_Q14CN4;Q14CN4	KRT72
contam_Q15323;Q15323	KRT31
contam_Q28065	C4BPA
contam_Q28085	CFH
contam_Q28107	F5
contam_Q2UVX4	C3
contam_Q3SX14	GSN
contam_Q3SY84;Q3SY84	KRT71
contam_Q3SZH5	AGT
contam_Q3SZV7	HPX
contam_Q3T052	ITIH4
contam_Q3TTY5	Krt2
contam_Q3ZAW8;contam_Q9Z2K1	Krt16
contam_Q3ZBS7	VTN
contam_Q497I4	Krt35
contam_Q58D62	FETUB
contam_Q5D862;Q5D862	FLG2
contam_Q5KR48;P07951	TPM2
contam_Q5XKE5;Q5XKE5	KRT79
contam_Q61726	Krt83
contam_Q61765	Krt31
contam_Q6A163;Q6A163	KRT39
contam_Q6E0U4;Q6E0U4	DMKN
contam_Q6KB66;Q6KB66	KRT80
contam_Q7M135	contam_Q7M135
contam_Q7SIH1	A2M
contam_Q7Z3Y8;Q7Z3Y8	KRT27
contam_Q7Z3Z0;Q7Z3Z0	KRT25
contam_Q7Z794;Q7Z794	KRT77
contam_Q86Y46;Q86Y46	KRT73
contam_Q86YZ3;Q86YZ3	HRNR
contam_Q8N1N4;Q8N1N4	KRT78
contam_Q92764;Q92764	KRT35
contam_Q9BYQ5;Q9BYQ5	KRTAP4-6
contam_Q9BYQ7;Q9BYQ7	KRTAP4-1
contam_Q9BYR8;Q9BYR8	KRTAP3-1
contam_Q9BYR9;P0C7H8;Q9BYR9;Q9BYT5;Q9BYU5	KRTAP2-4;KRTAP2-3;KRTAP2-4;KRTAP2-2;KRTAP2-1
contam_Q9C075;Q9C075	KRT23
contam_Q9NSB2;Q9NSB2	KRT84
contam_Q9NSB4;Q9NSB4	KRT82
contam_Q9TTE1	SERPINA3-1
contam_TBIRA	tBirA
E9PAV3	NACA
E9PRG8	C11orf98
F2Z333	FNDC10
H0Y944	CAST
H0YL14	TMEM250
H3BQB6	STMND1
I3L3R5	CCER2
L0R819	ASDURF
O00116	AGPS
O00124	UBXN8
O00139	KIF2A
O00142	TK2
O00148	DDX39A
O00151	PDLIM1
O00154	ACOT7
O00159	MYO1C
O00161	SNAP23
O00165	HAX1
O00167	EYA2
O00170	AIP
O00178	GTPBP1
O00186	STXBP3
O00189	AP4M1
O00192	ARVCF
O00193	SMAP
O00203	AP3B1
O00213	APBB1
O00214	LGALS8
O00217	NDUFS8
O00221	NFKBIE
O00222	GRM8
O00231	PSMD11
O00232	PSMD12
O00233	PSMD9
O00244	ATOX1
O00255	MEN1
O00257	CBX4
O00258	GET1
O00264	PGRMC1
O00267	SUPT5H
O00268	TAF4
O00273	DFFA
O00287	RFXAP
O00291	HIP1
O00299	CLIC1
O00303	EIF3F
O00305	CACNB4
O00308	WWP2
O00311	CDC7
O00329	PIK3CD
O00330	PDHX
O00358	FOXE1
O00391	QSOX1
O00399	DCTN6
O00400	SLC33A1
O00401	WASL
O00409	FOXN3
O00410	IPO5
O00411	POLRMT
O00418	EEF2K
O00422	SAP18
O00423	EML1
O00425	IGF2BP3
O00429	DNM1L
O00442	RTCA
O00443	PIK3C2A
O00444	PLK4
O00458	IFRD1
O00459	PIK3R2
O00461	GOLIM4
O00462	MANBA
O00463	TRAF5
O00468	AGRN
O00469	PLOD2
O00470	MEIS1
O00471	EXOC5
O00472	ELL2
O00478	BTN3A3
O00479	HMGN4
O00483	NDUFA4
O00487	PSMD14
O00488	ZNF593
O00505	KPNA3
O00506	STK25
O00507	USP9Y
O00512	BCL9
O00519	FAAH
O00522	KRIT1
O00541	PES1
O00560	SDCBP
O00566	MPHOSPH10
O00567	NOP56
O00571	DDX3X
O00590	ACKR2
O00592	PODXL
O00622	CCN1
O00623	PEX12
O00628	PEX7
O00629	KPNA4
O00635	TRIM38
O00712	NFIB
O00716	E2F3
O00743	PPP6C
O00746	NME4
O00750	PIK3C2B
O00754	MAN2B1
O00762	UBE2C
O00763	ACACB
O00764	PDXK
O00767	SCD
O14492	SH2B2
O14495	PLPP3
O14497	ARID1A
O14503	BHLHE40
O14511	NRG2
O14512	SOCS7
O14513	NCKAP5
O14514	ADGRB1
O14519;O75956	CDK2AP1;CDK2AP2
O14523	C2CD2L
O14524	NEMP1
O14525	ASTN1
O14530	TXNDC9
O14531	DPYSL4
O14544	SOCS6
O14545	TRAFD1
O14548	COX7A2L
O14556	GAPDHS
O14559	ARHGAP33
O14561	NDUFAB1
O14562	UBFD1
O14578	CIT
O14579	COPE
O14593	RFXANK
O14595	CTDSP2
O14613	CDC42EP2
O14617	AP3D1
O14618	CCS
O14628	ZNF195
O14639	ABLIM1
O14640	DVL1
O14641	DVL2
O14646	CHD1
O14647	CHD2
O14653	GOSR2
O14654	IRS4
O14656	TOR1A
O14657	TOR1B
O14662	STX16
O14672	ADAM10
O14678	ABCD4
O14681	EI24
O14682	ENC1
O14686	KMT2D
O14713	ITGB1BP1
O14717	TRDMT1
O14727	APAF1
O14730	RIOK3
O14732	IMPA2
O14733	MAP2K7
O14734	ACOT8
O14735	CDIPT
O14737	PDCD5
O14744	PRMT5
O14745	NHERF1
O14757	CHEK1
O14763	TNFRSF10B
O14772	FPGT
O14773	TPP1
O14775	GNB5
O14776	TCERG1
O14777	NDC80
O14786	NRP1
O14787	TNPO2
O14795	UNC13B
O14802	POLR3A
O14818	PSMA7
O14827	RASGRF2
O14828	SCAMP3
O14832	PHYH
O14863	SLC30A4
O14867	BACH1
O14874	BCKDK
O14880	MGST3
O14893	GEMIN2
O14896	IRF6
O14908	GIPC1
O14910	LIN7A
O14920	IKBKB
O14924	RGS12
O14925	TIMM23
O14929	HAT1
O14936	CASK
O14939	PLD2
O14949	UQCRQ
O14950;P19105	MYL12B;MYL12A
O14957	UQCR11
O14964	HGS
O14965	AURKA
O14966	RAB29
O14967	CLGN
O14972	VPS26C
O14974	PPP1R12A
O14975	SLC27A2
O14976	GAK
O14979	HNRNPDL
O14980	XPO1
O14981	BTAF1
O15013	ARHGEF10
O15014	ZNF609
O15020	SPTBN2
O15021	MAST4
O15027	SEC16A
O15031	PLXNB2
O15033	AREL1
O15037	KHNYN
O15040	TECPR2
O15041	SEMA3E
O15042	U2SURP
O15047	SETD1A
O15049	N4BP3
O15054	KDM6B
O15056	SYNJ2
O15060	ZBTB39
O15061	SYNM
O15062	ZBTB5
O15063	GARRE1
O15066	KIF3B
O15067	PFAS
O15068	MCF2L
O15069	NACAD
O15072	ADAMTS3
O15075	DCLK1
O15078	CEP290
O15079	SNPH
O15083	ERC2
O15084	ANKRD28
O15085	ARHGEF11
O15090	ZNF536
O15091	PRORP
O15111	CHUK
O15116	LSM1
O15118	NPC1
O15119	TBX3
O15120	AGPAT2
O15121	DEGS1
O15123	ANGPT2
O15126	SCAMP1
O15127	SCAMP2
O15131	KPNA5
O15143	ARPC1B
O15144	ARPC2
O15145	ARPC3
O15151	MDM4
O15155	BET1
O15160	POLR1C
O15162	PLSCR1
O15164	TRIM24
O15169	AXIN1
O15173	PGRMC2
O15182	CETN3
O15194	CTDSPL
O15198	SMAD9
O15211	RGL2
O15212	PFDN6
O15213	WDR46
O15228	GNPAT
O15230	LAMA5
O15231	ZNF185
O15234	CASC3
O15235	MRPS12
O15239	NDUFA1
O15240	VGF
O15243	LEPROT
O15254	ACOX3
O15258	RER1
O15259	NPHP1
O15260	SURF4
O15264	MAPK13
O15265	ATXN7
O15269	SPTLC1
O15270	SPTLC2
O15287	FANCG
O15294	OGT
O15304	SIVA1
O15305	PMM2
O15315	RAD51B
O15318	POLR3G
O15321	TM9SF1
O15327	INPP4B
O15344	MID1
O15347	HMGB3
O15350	TP73
O15355	PPM1G
O15357	INPPL1
O15360	FANCA
O15370	SOX12
O15371	EIF3D
O15372	EIF3H
O15379	HDAC3
O15381	NVL
O15382	BCAT2
O15391	YY2
O15392	BIRC5
O15397	IPO8
O15400	STX7
O15405	TOX3
O15417	TNRC18
O15431	SLC31A1
O15439	ABCC4
O15440	ABCC5
O15446	POLR1G
O15455	TLR3
O15460	P4HA2
O15484	CAPN5
O15492	RGS16
O15498	YKT6
O15504	NUP42
O15511	ARPC5
O15519	CFLAR
O15520	FGF10
O15523	DDX3Y
O15525	MAFG
O15527	OGG1
O15530	PDPK1
O15533	TAPBP
O15534	PER1
O15541	RNF113A
O15550	KDM6A
O43143	DHX15
O43147	SGSM2
O43148	RNMT
O43149	ZZEF1
O43151	TET3
O43156	TTI1
O43157	PLXNB1
O43159	RRP8
O43164	PJA2
O43166	SIPA1L1
O43169	CYB5B
O43172	PRPF4
O43174	CYP26A1
O43175	PHGDH
O43181	NDUFS4
O43187	IRAK2
O43189	PHF1
O43237	DYNC1LI2
O43240	KLK10
O43242	PSMD3
O43251	RBFOX2
O43252	PAPSS1
O43257	ZNHIT1
O43264	ZW10
O43290	SART1
O43291	SPINT2
O43292	GPAA1
O43293	DAPK3
O43294	TGFB1I1
O43296	ZNF264
O43299	AP5Z1
O43301	HSPA12A
O43303	CCP110
O43306	ADCY6
O43310	CTIF
O43313	ATMIN
O43314	PPIP5K2
O43318	MAP3K7
O43324	EEF1E1
O43347	MSI1
O43353	RIPK2
O43361	ZNF749
O43374	RASA4
O43379	WDR62
O43390	HNRNPR
O43395	PRPF3
O43396	TXNL1
O43399	TPD52L2
O43402	EMC8
O43405	COCH
O43414	ERI3
O43422	THAP12
O43426	SYNJ1
O43427	FIBP
O43432	EIF4G3
O43435	TBX1
O43439	CBFA2T2
O43447	PPIH
O43462	MBTPS2
O43464	HTRA2
O43474	KLF4
O43482	OIP5
O43488	AKR7A2
O43491	EPB41L2
O43493	TGOLN2
O43502	RAD51C
O43504	LAMTOR5
O43505	B4GAT1
O43513	MED7
O43516	WIPF1
O43521	BCL2L11
O43524	FOXO3
O43541	SMAD6
O43542	XRCC3
O43543	XRCC2
O43548	TGM5
O43567	RNF13
O43570	CA12
O43572	AKAP10
O43583	DENR
O43592	XPOT
O43597	SPRY2
O43598	DNPH1
O43615	TIMM44
O43617	TRAPPC3
O43633	CHMP2A
O43639	NCK2
O43660	PLRG1
O43663	PRC1
O43665	RGS10
O43670	ZNF207
O43674	NDUFB5
O43676	NDUFB3
O43678	NDUFA2
O43681	GET3
O43683	BUB1
O43684	BUB3
O43707	ACTN4
O43708	GSTZ1
O43709	BUD23
O43711	TLX3
O43715	TRIAP1
O43716	GATC
O43719	HTATSF1
O43731	KDELR3
O43734	TRAF3IP2
O43739	CYTH3
O43741	PRKAB2
O43747	AP1G1
O43752	STX6
O43760	SYNGR2
O43761	SYNGR3
O43765	SGTA
O43766	LIAS
O43768	ENSA
O43772	SLC25A20
O43776	NARS1
O43791	SPOP
O43795	MYO1B
O43805	SSNA1
O43808	SLC25A17
O43809	NUDT21
O43813	LANCL1
O43815	STRN
O43818	RRP9
O43819	SCO2
O43822	CFAP410
O43823	AKAP8
O43824	GTPBP6
O43826	SLC37A4
O43829	ZBTB14
O43837	IDH3B
O43847	NRDC
O43852	CALU
O43854	EDIL3
O43861	ATP9B
O43865	AHCYL1
O43896	KIF1C
O43900	PRICKLE3
O43909	EXTL3
O43913	ORC5
O43920	NDUFS5
O43929	ORC4
O43933	PEX1
O43934	MFSD11
O60216	RAD21
O60220	TIMM8A
O60231	DHX16
O60232	ZNRD2
O60237	PPP1R12B
O60238	BNIP3L
O60243	HS6ST1
O60244	MED14
O60245	PCDH7
O60256	PRPSAP2
O60264	SMARCA5
O60266	ADCY3
O60271	SPAG9
O60279	SUSD5
O60281	ZNF292
O60282	KIF5C
O60287	URB1
O60291	MGRN1
O60292	SIPA1L3
O60293	ZFC3H1
O60294	LCMT2
O60296	TRAK2
O60299	LZTS3
O60303	KATNIP
O60306	AQR
O60307	MAST3
O60308	CEP104
O60313	OPA1
O60315	ZEB2
O60318	MCM3AP
O60331	PIP5K1C
O60333	KIF1B
O60336	MAPKBP1
O60337	MARCHF6
O60341	KDM1A
O60343	TBC1D4
O60346	PHLPP1
O60347	TBC1D12
O60353	FZD6
O60427	FADS1
O60437	PPL
O60443	GSDME
O60447	EVI5
O60462	NRP2
O60469	DSCAM
O60476	MAN1A2
O60478	GPR137B
O60488	ACSL4
O60493	SNX3
O60499	STX10
O60502	OGA
O60503	ADCY9
O60504	SORBS3
O60506	SYNCRIP
O60507	TPST1
O60508	CDC40
O60512	B4GALT3
O60513	B4GALT4
O60518	RANBP6
O60524	NEMF
O60547	GMDS
O60548	FOXD2
O60551	NMT2
O60563	CCNT1
O60566	BUB1B
O60568	PLOD3
O60573	EIF4E2
O60583	CCNT2
O60610	DIAPH1
O60613	SELENOF
O60637	TSPAN3
O60641	SNAP91
O60645	EXOC3
O60658	PDE8A
O60663	LMX1B
O60664	PLIN3
O60669	SLC16A7
O60671	RAD1
O60673	REV3L
O60674	JAK2
O60678	PRMT3
O60683	PEX10
O60684	KPNA6
O60688;Q96QA6	YPEL1;YPEL2
O60701	UGDH
O60704	TPST2
O60716	CTNND1
O60725	ICMT
O60733	PLA2G6
O60739	EIF1B
O60749	SNX2
O60762	DPM1
O60763	USO1
O60783	MRPS14
O60784	TOM1
O60814;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879;Q99880	H2BC12;H2BC5;H2BC4;H2BC18;H2BC9;H2BC15;H2BC14;H2BC13
O60825	PFKFB2
O60826	CCDC22
O60828	PQBP1
O60830	TIMM17B
O60831	PRAF2
O60832	DKC1
O60840	CACNA1F
O60841	EIF5B
O60858	TRIM13
O60861	GAS7
O60869	EDF1
O60870	KIN
O60879	DIAPH2
O60884	DNAJA2
O60885	BRD4
