from	to	type	width	color	network	category	strict_type
ERK1WT	IRS2	shared	1.5	grey80	WT	PI3K	both
ARAFWT	IRS2	AP-MS	1.5	skyblue	WT	PI3K	AP-MS
ARAFWT	IRS4	shared	1.5	grey80	WT	PI3K	both
RAF1WT	IRS4	shared	1.5	grey80	WT	PI3K	both
HRASWT	PIK3CA	shared	1.5	grey80	WT	PI3K	both
RAF1WT	PIK3R1	shared	1.5	grey80	WT	PI3K	both
ARAFWT	PIK3R1	core	1.5	grey80	WT	PI3K	both
ARAFWT	PIK3R2	shared	1.5	grey80	WT	PI3K	both
ARAFWT	PIK3R3	core	1.5	grey80	WT	PI3K	both
ERK2WT	PIK3R3	shared	1.5	grey80	WT	PI3K	both
RAF1WT	PIK3R3	core	1.5	grey80	WT	PI3K	both
ERK1WT	PIK3R3	TbID	1.5	pink	WT	PI3K	TbID
PIK3R1	PIK3CA	CORUM	1.5	black	WT	PI3K	CORUM
PIK3CA	PIK3R2	CORUM	1.5	black	WT	PI3K	CORUM
PIK3R1	PIK3CA	SIGNOR	1.5	#33a02c	WT	PI3K	SIGNOR
PIK3CA	IRS2	SIGNOR	1.5	#33a02c	WT	PI3K	SIGNOR
PIK3CA	PIK3R3	SIGNOR	1.5	#33a02c	WT	PI3K	SIGNOR
HRASS17N	IRS2	AP-MS	1.5	skyblue	Inactive	PI3K	AP-MS
ERK1AA	IRS2	AP-MS	1.5	skyblue	Inactive	PI3K	AP-MS
NRASS17N	IRS2	AP-MS	1.5	skyblue	Inactive	PI3K	AP-MS
ARAFD447A	IRS4	shared	1.5	grey80	Inactive	PI3K	both
RAF1D486A	IRS4	shared	1.5	grey80	Inactive	PI3K	both
RAF1D486A	PIK3CA	shared	1.5	grey80	Inactive	PI3K	both
ARAFD447A	PIK3R1	core	1.5	grey80	Inactive	PI3K	both
RAF1D486A	PIK3R1	core	1.5	grey80	Inactive	PI3K	both
RAF1D486A	PIK3R2	shared	1.5	grey80	Inactive	PI3K	both
RAF1D486A	PIK3R3	core	1.5	grey80	Inactive	PI3K	both
ARAFD447A	PIK3R3	core	1.5	grey80	Inactive	PI3K	both
PIK3R1	PIK3CA	CORUM	1.5	black	Inactive	PI3K	CORUM
PIK3CA	PIK3R2	CORUM	1.5	black	Inactive	PI3K	CORUM
PIK3R1	PIK3CA	SIGNOR	1.5	#33a02c	Inactive	PI3K	SIGNOR
PIK3CA	IRS2	SIGNOR	1.5	#33a02c	Inactive	PI3K	SIGNOR
PIK3CA	PIK3R3	SIGNOR	1.5	#33a02c	Inactive	PI3K	SIGNOR
BRAFV600E	IRS2	AP-MS	1.5	skyblue	Active	PI3K	AP-MS
MEK1DD	IRS2	AP-MS	1.5	skyblue	Active	PI3K	AP-MS
ERK1DD	IRS2	shared	1.5	grey80	Active	PI3K	both
RAF1S259F	IRS2	AP-MS	1.5	skyblue	Active	PI3K	AP-MS
NRASQ61R	IRS2	core	1.5	grey80	Active	PI3K	both
ARAFS214P	IRS4	shared	1.5	grey80	Active	PI3K	both
RAF1S259F	IRS4	AP-MS	1.5	skyblue	Active	PI3K	AP-MS
RAF1S257L	IRS4	shared	1.5	grey80	Active	PI3K	both
NRASQ61K	PIK3CA	core	1.5	grey80	Active	PI3K	both
NRASQ61R	PIK3CA	core	1.5	grey80	Active	PI3K	both
RAF1S259F	PIK3CA	shared	1.5	grey80	Active	PI3K	both
BRAFV600E	PIK3CA	shared	1.5	grey80	Active	PI3K	both
HRASG13R	PIK3CA	core	1.5	grey80	Active	PI3K	both
ARAFS214P	PIK3CA	shared	1.5	grey80	Active	PI3K	both
