subcell_localization	query	category	term_id	term_name	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PM	NRAS	GO Component	GO:0070161	Anchoring junction	18	1325	0.76	0.94	0.000000401	9606.ENSP00000222254,9606.ENSP00000250559,9606.ENSP00000256078,9606.ENSP00000312506,9606.ENSP00000321537,9606.ENSP00000340688,9606.ENSP00000341779,9606.ENSP00000347464,9606.ENSP00000349486,9606.ENSP00000355771,9606.ENSP00000356790,9606.ENSP00000357040,9606.ENSP00000370588,9606.ENSP00000373244,9606.ENSP00000378338,9606.ENSP00000428056,9606.ENSP00000485276,9606.ENSP00000495631	PIK3R2,RAP1B,KRAS,CSPG4,LLGL1,ADGRL1,PPP1CC,GIT2,SCRIB,AFDN,ATP1B1,VANGL2,CD99,CSPG5,GIT1,PIK3R1,SCARF2,ARHGEF7
unclassified	MEK1_2	GO Process	GO:0007049	Cell cycle	15	1246	0.6	0.43	0.0113	9606.ENSP00000246535,9606.ENSP00000249776,9606.ENSP00000261211,9606.ENSP00000264552,9606.ENSP00000271843,9606.ENSP00000281141,9606.ENSP00000287482,9606.ENSP00000287598,9606.ENSP00000300093,9606.ENSP00000302530,9606.ENSP00000323300,9606.ENSP00000334675,9606.ENSP00000341247,9606.ENSP00000408910,9606.ENSP00000484288	PDCD2L,KNSTRN,CDK17,UBE2S,JTB,CDC123,SASS6,BUB1B,PLK1,BUB1,SPAG5,ERCC6L,GSPT2,DCTN2,LIG4
unclassified	MEK2	GO Process	GO:0007049	Cell cycle	15	1246	0.65	0.52	0.0036	9606.ENSP00000246535,9606.ENSP00000249776,9606.ENSP00000261211,9606.ENSP00000264552,9606.ENSP00000271843,9606.ENSP00000281141,9606.ENSP00000287482,9606.ENSP00000287598,9606.ENSP00000300093,9606.ENSP00000302530,9606.ENSP00000323300,9606.ENSP00000334675,9606.ENSP00000341247,9606.ENSP00000408910,9606.ENSP00000484288	PDCD2L,KNSTRN,CDK17,UBE2S,JTB,CDC123,SASS6,BUB1B,PLK1,BUB1,SPAG5,ERCC6L,GSPT2,DCTN2,LIG4
nucleus	MEK1_2	GO Process	GO:0007049	Cell cycle	11	1246	0.67	0.35	0.0481	9606.ENSP00000209728,9606.ENSP00000216911,9606.ENSP00000247191,9606.ENSP00000254719,9606.ENSP00000275517,9606.ENSP00000300035,9606.ENSP00000337289,9606.ENSP00000358813,9606.ENSP00000361298,9606.ENSP00000384629,9606.ENSP00000416750	CDC6,AURKA,DLGAP5,RPA1,CDCA5,PCLAF,CENPQ,TTK,KIF2C,KMT5A,STK33
nucleus	MEK1	GO Process	GO:0007049	Cell cycle	10	1246	0.8	0.52	0.0112	9606.ENSP00000209728,9606.ENSP00000216911,9606.ENSP00000247191,9606.ENSP00000254719,9606.ENSP00000275517,9606.ENSP00000300035,9606.ENSP00000337289,9606.ENSP00000358813,9606.ENSP00000384629,9606.ENSP00000416750	CDC6,AURKA,DLGAP5,RPA1,CDCA5,PCLAF,CENPQ,TTK,KMT5A,STK33
PM	KRAS	COMPARTMENTS	GOCC:0030054	Cell junction	19	1053	0.8	1.08	0.0000000555	9606.ENSP00000216968,9606.ENSP00000250559,9606.ENSP00000256078,9606.ENSP00000256196,9606.ENSP00000282588,9606.ENSP00000293379,9606.ENSP00000296585,9606.ENSP00000312506,9606.ENSP00000329797,9606.ENSP00000347379,9606.ENSP00000349486,9606.ENSP00000355771,9606.ENSP00000370588,9606.ENSP00000380227,9606.ENSP00000389168,9606.ENSP00000400459,9606.ENSP00000402060,9606.ENSP00000407586,9606.ENSP00000462468	PROCR,RAP1B,KRAS,RRAS2,ITGA1,ITGA5,ITGA2,CSPG4,CADM1,OCLN,SCRIB,AFDN,CD99,ITGA4,PPP1R12A,SNAP91,PVR,HRAS,YES1
Actin	MEK1_2	GO Function	GO:0008092	Cytoskeletal protein binding	18	1002	0.93	1.31	0.0000000016	9606.ENSP00000245932,9606.ENSP00000263168,9606.ENSP00000265148,9606.ENSP00000277895,9606.ENSP00000308753,9606.ENSP00000320924,9606.ENSP00000342858,9606.ENSP00000343746,9606.ENSP00000346032,9606.ENSP00000348128,9606.ENSP00000356319,9606.ENSP00000358866,9606.ENSP00000362942,9606.ENSP00000365745,9606.ENSP00000388169,9606.ENSP00000394496,9606.ENSP00000417653,9606.ENSP00000480270	VASP,CAPZA1,CENPE,ABLIM1,TMOD3,WIPF2,FERMT2,CORO2A,ANXA2,SVIL,KIF14,FLNA,PHACTR4,CTTN,ARPC4,CORO1C,DBNL,PPP1R18
Actin	MEK2	GO Function	GO:0008092	Cytoskeletal protein binding	17	1002	0.92	1.25	0.00000000818	9606.ENSP00000245932,9606.ENSP00000263168,9606.ENSP00000265148,9606.ENSP00000277895,9606.ENSP00000308753,9606.ENSP00000320924,9606.ENSP00000342858,9606.ENSP00000346032,9606.ENSP00000348128,9606.ENSP00000356319,9606.ENSP00000358866,9606.ENSP00000362942,9606.ENSP00000365745,9606.ENSP00000388169,9606.ENSP00000394496,9606.ENSP00000417653,9606.ENSP00000480270	VASP,CAPZA1,CENPE,ABLIM1,TMOD3,WIPF2,FERMT2,ANXA2,SVIL,KIF14,FLNA,PHACTR4,CTTN,ARPC4,CORO1C,DBNL,PPP1R18
Actin	ERK1_2	GO Function	GO:0008092	Cytoskeletal protein binding	10	1002	1.06	1.16	0.00000838	9606.ENSP00000216181,9606.ENSP00000248846,9606.ENSP00000298159,9606.ENSP00000343158,9606.ENSP00000343746,9606.ENSP00000355809,9606.ENSP00000356319,9606.ENSP00000459626,9606.ENSP00000480316,9606.ENSP00000498671	MYH9,TUBGCP6,CFL2,EPB41L3,CORO2A,ENAH,KIF14,MRTFB,TUBGCP5,MRTFA
Actin	ERK2	GO Function	GO:0008092	Cytoskeletal protein binding	8	1002	1.05	0.92	0.00052	9606.ENSP00000216181,9606.ENSP00000248846,9606.ENSP00000298159,9606.ENSP00000343746,9606.ENSP00000356319,9606.ENSP00000459626,9606.ENSP00000480316,9606.ENSP00000498671	MYH9,TUBGCP6,CFL2,CORO2A,KIF14,MRTFB,TUBGCP5,MRTFA
