bait	prey	significant	HCDP	subcell_localization	logFC_APMS	padj_APMS	logFC_TbID	padj_TbID	method
MEK2DD	AAK1	shared	no	plasma_membrane	0.883464519235144	0.00242355102738998	1.68532177266249	6.00256460551129e-11	TbID
MEK2AA	AAK1	TbID	no	plasma_membrane	-0.0147047157887081	0.975858130736682	0.921905076345455	1.37192493625869e-08	TbID
NrasQ61R	AAMDC	shared	no	cytosol	1.1105165628471	5.66886118675869e-05	0.259960963698763	0.000632849489837512	AP-MS
BrafG469A	ABCB11	TbID	yes	NA	NA	NA	1.26595440144882	0.00102099543411951	TbID
HrasG13R	ABCB11	TbID	yes	NA	NA	NA	1.12882574417471	0.00333217582798211	TbID
Raf1S259F	ABCB11	TbID	yes	NA	NA	NA	0.97996570812566	0.0064565268635034	TbID
BrafD594N	ABCB11	TbID	yes	NA	NA	NA	1.19517305717371	0.00291211364509355	TbID
BrafV600E	ABCB11	TbID	yes	NA	NA	NA	1.31531479223018	0.000721798948923604	TbID
ArafS214P	ABCB11	TbID	yes	NA	NA	NA	1.35814120626211	0.000809041727605033	TbID
MEK2DD	ABCB11	TbID	yes	NA	NA	NA	1.12764098414387	0.0031505415156148	TbID
MEK2DD	ABCB6	AP-MS	yes	NA	1.15479642686931	2.70804070428121e-05	-0.0162821644666731	0.877820644568942	AP-MS
HrasG13R	ABHD13	TbID	no	NA	NA	NA	0.85126616906285	4.82782834283215e-07	TbID
BrafV600E	ABHD13	TbID	no	NA	NA	NA	0.99485548687232	1.86532786341961e-08	TbID
HrasS17N	ABHD13	TbID	no	NA	NA	NA	0.935377160956527	4.01333143632523e-08	TbID
NrasQ61R	ABHD14B	shared	no	cytosol	1.03316415529237	2.0304293332595e-05	0.461475381393659	4.98183712280359e-07	AP-MS
Raf1S259F	ABHD15	shared	no	NA	1.25926229510931	0.000433603756030244	0.255558448379119	0.00178040091997493	AP-MS
ERK1WT	ABHD17C	AP-MS	no	NA	1.91822440368345	0.00652079677099336	0.155486593636095	0.152716977843771	AP-MS
ArafD447A	ABHD17C	AP-MS	no	NA	1.88118168352202	0.00372173496718484	0.156979215518269	0.170868259557834	AP-MS
ArafWT	ABHD17C	AP-MS	no	NA	1.92948884297892	0.00278571018609116	-0.1122826663547	0.277040525971449	AP-MS
NrasQ61R	ABHD17C	AP-MS	no	NA	2.03902552241082	0.00283052301646783	-0.103683809382586	0.352534874418289	AP-MS
Raf1WT	ABHD17C	shared	no	NA	1.92937281144332	0.00579208359785189	0.250517569196374	0.0203543163235476	AP-MS
NrasQ61R	ABHD18	shared	no	mitochondrion	1.05673975006819	1.41914236011893e-06	0.513198254468045	4.2913990236449e-06	AP-MS
ERK2AA	ABHD3	shared	no	NA	0.621699103547707	0.00350237111699508	0.859611446035811	1.45859426577982e-07	Both
NrasQ61K	ABHD3	shared	no	NA	1.42298184136587	0.000194852532113571	0.651369358171367	4.58008132904196e-06	Both
MEK2DD	ABHD3	shared	no	NA	1.2842643989278	5.24149998975349e-05	0.176728958709095	0.0252405505382753	Both
HrasS17N	ABHD3	shared	no	NA	0.591099819484449	0.0229901926236953	0.949624205669074	1.03754311964285e-07	Both
MEK2DD	ABLIM1	TbID	no	actin_cytoskeleton	-0.450073665193535	0.000721778136640821	1.06796782312089	1.62698524950262e-09	TbID
ArafWT	ABR	shared	no	cytosol	1.32609533253987	3.51583859092442e-08	0.737894280818942	6.74583670481115e-08	AP-MS
Raf1S259F	ACAN	TbID	yes	NA	NA	NA	1.87570720030863	5.53179382539532e-07	TbID
NrasQ61R	ACAN	TbID	yes	NA	NA	NA	1.74695502893075	3.65340698727406e-06	TbID
Raf1S257L	ACAN	TbID	yes	NA	NA	NA	1.7398311844605	1.63024275102792e-06	TbID
BrafV600E	ACAN	TbID	yes	NA	NA	NA	1.42433383512844	1.24756986336223e-05	TbID
ArafWT	ACAP3	AP-MS	no	NA	1.4885308092715	0.00123155178003584	-0.0690696716643345	0.652449362751352	AP-MS
KrasG12D	ACBD4	TbID	no	NA	NA	NA	1.17947109439706	0.000903224862585362	TbID
KrasS17N	ACBD4	TbID	no	NA	NA	NA	0.888250911977085	0.0399307947714251	TbID
HrasS17N	ACBD7	AP-MS	no	cytosol	1.02431959108686	0.00551930249116898	0.163640128463753	0.123529590376605	AP-MS
NrasS17N	ACBD7	shared	no	cytosol	1.04765522072915	0.00547159591701476	0.236072645472473	0.0268624889955609	AP-MS
NrasQ61R	ACOT1	shared	no	NA	0.587682252865776	0.000170117072088887	0.913700172920272	8.68459811167792e-07	TbID
HrasG13R	ACSF2	TbID	no	mitochondrion	NA	NA	0.94629247878265	0.0179147311864308	TbID
MEK2DD	ACSL4	AP-MS	yes	early_endosome	1.18999815780112	8.94493365463974e-07	0.145430692561112	0.163172881930309	Both
BrafG469A	ACSL4	shared	yes	early_endosome	0.53252361004245	0.000762706258641555	1.04383117404461	1.57754668326608e-07	Both
MEK2DD	ACSS3	AP-MS	no	mitochondrion	1.02116730279221	0.0276396995885294	NA	NA	AP-MS
ArafS214P	ACTA1	TbID	yes	NA	-0.0244681789188799	0.892696430472547	1.15690865371394	3.51922767885738e-05	TbID
NrasS17N	ACTA1	TbID	yes	NA	-0.0238295674575391	0.904601316394779	0.903131878946288	0.000280867191281099	TbID
Raf1D486A	ACTA1	TbID	yes	NA	0.0648360895088213	0.709694946009529	1.49859316364825	1.17970282578382e-06	TbID
HrasG13R	ACTA1	TbID	yes	NA	0.108489503817398	0.494245562537497	1.31492018073085	9.08113209052533e-06	TbID
